Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-01-04T14:35:00Z,QQQ,109.13,-781,Market,Filled,-85230.53,"ENTRY_SHORT | estimate=109.13 | stop=109.45 | shares=781" 
2016-01-04T14:35:00Z,QQQ,109.45,781,Stop Market,Filled,85480.45,"EXIT_STOP" 
2016-01-04T14:35:00Z,QQQ,0,781,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-04T20:40:00Z,QQQ,0,781,Market On Close,Canceled,0,"Sibling canceled after STOP" 
2016-01-05T14:35:00Z,QQQ,109.85,-749,Market,Filled,-82277.65,"ENTRY_SHORT | estimate=109.85 | stop=110.18 | shares=749" 
2016-01-05T14:35:00Z,QQQ,0,749,Stop Market,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-01-05T14:35:00Z,QQQ,0,749,Limit,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-01-05T20:40:00Z,QQQ,109.31,749,Market On Close,Filled,81873.19,"EXIT_EOD" 
2016-01-06T14:35:00Z,QQQ,107.58,935,Market,Filled,100587.3,"ENTRY_LONG | estimate=107.57 | stop=107.41 | shares=935" 
2016-01-06T14:35:00Z,QQQ,0,-935,Stop Market,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-01-06T14:35:00Z,QQQ,0,-935,Limit,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-01-06T20:40:00Z,QQQ,108.26,-935,Market On Close,Filled,-101223.1,"EXIT_EOD" 
2016-01-07T14:35:00Z,QQQ,105.79,-974,Market,Filled,-103039.46,"ENTRY_SHORT | estimate=105.80 | stop=106.00 | shares=974" 
2016-01-07T14:35:00Z,QQQ,106,974,Stop Market,Filled,103244,"EXIT_STOP" 
2016-01-07T14:35:00Z,QQQ,0,974,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-08T14:35:00Z,QQQ,106.07,482,Market,Filled,51125.74,"ENTRY_LONG | estimate=106.07 | stop=105.54 | shares=482" 
2016-01-08T14:35:00Z,QQQ,105.54,-482,Stop Market,Filled,-50870.28,"EXIT_STOP" 
2016-01-08T14:35:00Z,QQQ,0,-482,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-11T14:35:00Z,QQQ,104.88,966,Market,Filled,101314.08,"ENTRY_LONG | estimate=104.87 | stop=104.73 | shares=966" 
2016-01-11T14:35:00Z,QQQ,104.73,-966,Stop Market,Filled,-101169.18,"EXIT_STOP" 
2016-01-11T14:35:00Z,QQQ,0,-966,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-12T14:35:00Z,QQQ,105.59,719,Market,Filled,75919.21,"ENTRY_LONG | estimate=105.59 | stop=105.24 | shares=719" 
2016-01-12T14:35:00Z,QQQ,105.24,-719,Stop Market,Filled,-75667.56,"EXIT_STOP" 
2016-01-12T14:35:00Z,QQQ,0,-719,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-14T14:35:00Z,QQQ,102.17,-975,Market,Filled,-99615.75,"ENTRY_SHORT | estimate=102.18 | stop=102.43 | shares=975" 
2016-01-14T14:35:00Z,QQQ,102.43,975,Stop Market,Filled,99869.25,"EXIT_STOP" 
2016-01-14T14:35:00Z,QQQ,0,975,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-15T14:35:00Z,QQQ,101.02,432,Market,Filled,43640.64,"ENTRY_LONG | estimate=101.01 | stop=100.44 | shares=432" 
2016-01-15T14:35:00Z,QQQ,100.44,-432,Stop Market,Filled,-43390.08,"EXIT_STOP" 
2016-01-15T14:35:00Z,QQQ,0,-432,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-19T14:35:00Z,QQQ,102.08,-842,Market,Filled,-85951.36,"ENTRY_SHORT | estimate=102.08 | stop=102.37 | shares=842" 
2016-01-19T14:35:00Z,QQQ,0,842,Stop Market,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-01-19T14:35:00Z,QQQ,0,842,Limit,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-01-19T20:40:00Z,QQQ,101.06,842,Market On Close,Filled,85092.52,"EXIT_EOD" 
2016-01-20T14:35:00Z,QQQ,99.77,616,Market,Filled,61458.32,"ENTRY_LONG | estimate=99.76 | stop=99.35 | shares=616" 
2016-01-20T14:35:00Z,QQQ,99.35,-616,Stop Market,Filled,-61199.6,"EXIT_STOP" 
2016-01-20T14:35:00Z,QQQ,0,-616,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-21T14:35:00Z,QQQ,100.99,-991,Market,Filled,-100081.09,"ENTRY_SHORT | estimate=100.98 | stop=101.20 | shares=991" 
2016-01-21T14:35:00Z,QQQ,101.2,991,Stop Market,Filled,100289.2,"EXIT_STOP" 
2016-01-21T14:35:00Z,QQQ,0,991,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-22T14:35:00Z,QQQ,102.84,-964,Market,Filled,-99137.76,"ENTRY_SHORT | estimate=102.85 | stop=102.95 | shares=964" 
2016-01-22T14:35:00Z,QQQ,102.95,964,Stop Market,Filled,99243.8,"EXIT_STOP" 
2016-01-22T14:35:00Z,QQQ,0,964,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-25T14:35:00Z,QQQ,103.47,955,Market,Filled,98813.85,"ENTRY_LONG | estimate=103.47 | stop=103.34 | shares=955" 
2016-01-25T14:35:00Z,QQQ,103.34,-955,Stop Market,Filled,-98689.7,"EXIT_STOP" 
2016-01-25T14:35:00Z,QQQ,0,-955,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-26T14:35:00Z,QQQ,102.7,819,Market,Filled,84111.3,"ENTRY_LONG | estimate=102.70 | stop=102.40 | shares=819" 
2016-01-26T14:35:00Z,QQQ,102.4,-819,Stop Market,Filled,-83865.6,"EXIT_STOP" 
2016-01-26T14:35:00Z,QQQ,0,-819,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-27T14:35:00Z,QQQ,102.52,-949,Market,Filled,-97291.48,"ENTRY_SHORT | estimate=102.54 | stop=102.68 | shares=949" 
2016-01-27T14:35:00Z,QQQ,102.68,949,Stop Market,Filled,97443.32,"EXIT_STOP" 
2016-01-27T14:35:00Z,QQQ,0,949,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-01-28T14:35:00Z,QQQ,102.15,-946,Market,Filled,-96633.9,"ENTRY_SHORT | estimate=102.16 | stop=102.29 | shares=946" 
2016-01-28T14:35:00Z,QQQ,0,946,Stop Market,Canceled,0,"Sibling canceled after TARGET_10R" 
2016-01-28T14:35:00Z,QQQ,100.75,946,Limit,Filled,95309.5,"EXIT_TARGET_10R" 
2016-01-29T14:35:00Z,QQQ,102.06,999,Market,Filled,101957.94,"ENTRY_LONG | estimate=102.05 | stop=101.94 | shares=999" 
2016-01-29T14:35:00Z,QQQ,0,-999,Stop Market,Canceled,0,"Sibling canceled after TARGET_10R" 
2016-01-29T14:35:00Z,QQQ,103.26,-999,Limit,Filled,-103156.74,"EXIT_TARGET_10R" 
