Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-01-04T14:35:00Z,"QQQ",2016-01-04T20:59:00Z,Sell,109.13,109.45,781,-249.92,0.781,-249.92,773.19,1023.11,0,"	1,2" 
2016-01-05T14:35:00Z,"QQQ",2016-01-05T21:00:00Z,Sell,109.85,109.31,749,404.46,0.749,-82.39,786.45,808.92,1,"	5,8" 
2016-01-06T14:35:00Z,"QQQ",2016-01-06T21:00:00Z,Buy,107.58,108.26,935,635.8,0.935,-84.15,1178.1,1262.25,1,"	9,12" 
2016-01-07T14:35:00Z,"QQQ",2016-01-07T14:36:00Z,Sell,105.79,106,974,-204.54,0.974,-204.54,0,204.54,0,"	13,14" 
2016-01-08T14:35:00Z,"QQQ",2016-01-08T15:11:00Z,Buy,106.07,105.54,482,-255.46,0.482,-255.46,96.4,351.86,0,"	16,17" 
2016-01-11T14:35:00Z,"QQQ",2016-01-11T14:36:00Z,Buy,104.88,104.73,966,-144.9,0.966,-144.9,0,144.9,0,"	19,20" 
2016-01-12T14:35:00Z,"QQQ",2016-01-12T15:47:00Z,Buy,105.59,105.24,719,-251.65,0.719,-251.65,330.74,582.39,0,"	22,23" 
2016-01-14T14:35:00Z,"QQQ",2016-01-14T15:25:00Z,Sell,102.17,102.43,975,-253.5,0.975,-253.5,1404,1657.5,0,"	25,26" 
2016-01-15T14:35:00Z,"QQQ",2016-01-15T17:06:00Z,Buy,101.02,100.44,432,-250.56,0.432,-250.56,367.2,617.76,0,"	28,29" 
2016-01-19T14:35:00Z,"QQQ",2016-01-19T21:00:00Z,Sell,102.08,101.06,842,858.84,0.842,-117.88,1827.14,1313.52,1,"	31,34" 
2016-01-20T14:35:00Z,"QQQ",2016-01-20T14:40:00Z,Buy,99.77,99.35,616,-258.72,0.616,-258.72,0,258.72,0,"	35,36" 
2016-01-21T14:35:00Z,"QQQ",2016-01-21T15:11:00Z,Sell,100.99,101.2,991,-208.11,0.991,-287.39,1119.83,1407.22,0,"	38,39" 
