Date,Total profit/loss,Net liquidity,Drawdown,ROI
1/2/2013,0,12330,0,0
1/3/2013,0,12330,0,0
1/4/2013,-22.69,12307.31,0.18,-0.18
1/5/2013,-22.69,12307.31,0.18,-0.18
1/6/2013,-22.69,12307.31,0.18,-0.18
1/7/2013,-42.69,12287.31,0.35,-0.35
1/8/2013,-62.69,12267.31,0.51,-0.51
1/9/2013,-42.69,12287.31,0.35,-0.35
1/10/2013,-12.69,12317.31,0.1,-0.1
1/11/2013,-25.38,12304.62,0.21,-0.21
1/12/2013,-25.38,12304.62,0.21,-0.21
1/13/2013,-25.38,12304.62,0.21,-0.21
1/14/2013,-145.38,12184.62,1.18,-1.18
1/15/2013,-225.38,12104.62,1.83,-1.83
1/16/2013,-215.38,12114.62,1.75,-1.75
1/17/2013,-155.38,12174.62,1.26,-1.26
1/18/2013,-278.07,12051.93,2.26,-2.26
1/19/2013,-278.07,12051.93,2.26,-2.26
1/20/2013,-278.07,12051.93,2.26,-2.26
1/21/2013,-278.07,12051.93,2.26,-2.26
1/22/2013,-248.07,12081.93,2.01,-2.01
1/23/2013,-108.07,12221.93,0.88,-0.88
1/24/2013,-533.45,11796.55,4.33,-4.33
1/25/2013,-546.14,11783.86,4.43,-4.43
1/26/2013,-546.14,11783.86,4.43,-4.43
1/27/2013,-546.14,11783.86,4.43,-4.43
1/28/2013,-486.14,11843.86,3.94,-3.94
1/29/2013,-496.14,11833.86,4.02,-4.02
1/30/2013,-556.14,11773.86,4.51,-4.51
1/31/2013,-596.14,11733.86,4.83,-4.83
2/1/2013,-468.83,11861.17,3.8,-3.8
2/2/2013,-468.83,11861.17,3.8,-3.8
2/3/2013,-468.83,11861.17,3.8,-3.8
2/4/2013,-931.52,11398.48,7.55,-7.55
2/5/2013,-691.52,11638.48,5.61,-5.61
2/6/2013,-851.52,11478.48,6.91,-6.91
2/7/2013,-831.52,11498.48,6.74,-6.74
2/8/2013,-634.21,11695.79,5.14,-5.14
2/9/2013,-634.21,11695.79,5.14,-5.14
2/10/2013,-634.21,11695.79,5.14,-5.14
2/11/2013,-684.21,11645.79,5.55,-5.55
2/12/2013,-874.21,11455.79,7.09,-7.09
2/13/2013,-794.21,11535.79,6.44,-6.44
2/14/2013,-954.21,11375.79,7.74,-7.74
2/15/2013,-1116.9,11213.1,9.06,-9.06
2/16/2013,-1116.9,11213.1,9.06,-9.06
2/17/2013,-1116.9,11213.1,9.06,-9.06
2/18/2013,-1116.9,11213.1,9.06,-9.06
2/19/2013,-916.9,11413.1,7.44,-7.44
2/20/2013,-1464.97,10865.03,11.88,-11.88
2/21/2013,-1504.97,10825.03,12.21,-12.21
2/22/2013,-1497.66,10832.34,12.15,-12.15
2/23/2013,-1497.66,10832.34,12.15,-12.15
2/24/2013,-1497.66,10832.34,12.15,-12.15
2/25/2013,-1557.66,10772.34,12.63,-12.63
2/26/2013,-1607.66,10722.34,13.04,-13.04
2/27/2013,-1497.66,10832.34,12.15,-12.15
2/28/2013,-1557.66,10772.34,12.63,-12.63
3/1/2013,-1590.35,10739.65,12.9,-12.9
3/2/2013,-1590.35,10739.65,12.9,-12.9
3/3/2013,-1590.35,10739.65,12.9,-12.9
3/4/2013,-1520.35,10809.65,12.33,-12.33
3/5/2013,-1010.35,11319.65,8.19,-8.19
3/6/2013,-1150.35,11179.65,9.33,-9.33
3/7/2013,-1040.35,11289.65,8.44,-8.44
3/8/2013,-1103.04,11226.96,8.95,-8.95
3/9/2013,-1103.04,11226.96,8.95,-8.95
3/10/2013,-1103.04,11226.96,8.95,-8.95
3/11/2013,-1033.04,11296.96,8.38,-8.38
3/12/2013,-1233.04,11096.96,10,-10
3/13/2013,-1343.04,10986.96,10.89,-10.89
3/14/2013,-1323.04,11006.96,10.73,-10.73
3/15/2013,-1635.73,10694.27,13.27,-13.27
3/16/2013,-1635.73,10694.27,13.27,-13.27
3/17/2013,-1635.73,10694.27,13.27,-13.27
3/18/2013,-1668.42,10661.58,13.53,-13.53
3/19/2013,-1791.11,10538.89,14.53,-14.53
3/20/2013,-1841.11,10488.89,14.93,-14.93
3/21/2013,-2061.11,10268.89,16.72,-16.72
3/22/2013,-1763.8,10566.2,14.3,-14.3
3/23/2013,-1763.8,10566.2,14.3,-14.3
3/24/2013,-1763.8,10566.2,14.3,-14.3
3/25/2013,-2133.8,10196.2,17.31,-17.31
3/26/2013,-2023.8,10306.2,16.41,-16.41
3/27/2013,-2066.49,10263.51,16.76,-16.76
3/28/2013,-1986.49,10343.51,16.11,-16.11
3/29/2013,-1986.49,10343.51,16.11,-16.11
3/30/2013,-1986.49,10343.51,16.11,-16.11
3/31/2013,-1986.49,10343.51,16.11,-16.11
4/1/2013,-2319.18,10010.82,18.81,-18.81
4/2/2013,-2169.18,10160.82,17.59,-17.59
4/3/2013,-2309.18,10020.82,18.73,-18.73
4/4/2013,-2349.18,9980.82,19.05,-19.05
4/5/2013,-2477.25,9852.75,20.09,-20.09
4/6/2013,-2477.25,9852.75,20.09,-20.09
4/7/2013,-2477.25,9852.75,20.09,-20.09
4/8/2013,-2447.25,9882.75,19.85,-19.85
4/9/2013,-2387.25,9942.75,19.36,-19.36
4/10/2013,-2047.25,10282.75,16.6,-16.6
4/11/2013,-2057.25,10272.75,16.68,-16.68
4/12/2013,-2169.94,10160.06,17.6,-17.6
4/13/2013,-2169.94,10160.06,17.6,-17.6
4/14/2013,-2169.94,10160.06,17.6,-17.6
4/15/2013,-2589.94,9740.06,21.01,-21.01
4/16/2013,-2319.94,10010.06,18.82,-18.82
4/17/2013,-2609.94,9720.06,21.17,-21.17
4/18/2013,-2762.63,9567.369999999999,22.41,-22.41
4/19/2013,-2715.32,9614.68,22.02,-22.02
4/20/2013,-2715.32,9614.68,22.02,-22.02
4/21/2013,-2715.32,9614.68,22.02,-22.02
4/22/2013,-2525.32,9804.68,20.48,-20.48
4/23/2013,-2255.32,10074.68,18.29,-18.29
4/24/2013,-2335.32,9994.68,18.94,-18.94
4/25/2013,-2005.32,10324.68,16.26,-16.26
4/26/2013,-2318.01,10011.99,18.8,-18.8
4/27/2013,-2318.01,10011.99,18.8,-18.8
4/28/2013,-2318.01,10011.99,18.8,-18.8
4/29/2013,-1758.01,10571.99,14.26,-14.26
4/30/2013,-1148.01,11181.99,9.31,-9.31
5/1/2013,-1708.01,10621.99,13.85,-13.85
