Date,Time,Trade No.,Price,Effect,Legs
1/4/2013,3:45:00 PM,1,0.13,debit,"buy to open 10 x $69 call exp. 2/1/2013 (28 DTE); sell to open 10 x $70 call exp. 2/1/2013 (28 DTE)"
1/11/2013,3:45:00 PM,2,0.2,debit,"buy to open 10 x $70 call exp. 2/16/2013 (36 DTE); sell to open 10 x $72 call exp. 2/16/2013 (36 DTE)"
1/18/2013,3:45:00 PM,3,0.28,debit,"buy to open 10 x $69 call exp. 2/22/2013 (35 DTE); sell to open 10 x $71 call exp. 2/22/2013 (35 DTE)"
1/24/2013,3:45:00 PM,1,0.01,credit,"sell to close 10 x $69 call exp. 2/1/2013 (8 DTE); buy to close 10 x $70 call exp. 2/1/2013 (8 DTE)"
1/24/2013,3:45:00 PM,2,0.02,credit,"sell to close 10 x $70 call exp. 2/16/2013 (23 DTE); buy to close 10 x $72 call exp. 2/16/2013 (23 DTE)"
1/25/2013,3:45:00 PM,4,0.22,debit,"buy to open 10 x $69 call exp. 3/1/2013 (35 DTE); sell to open 10 x $71 call exp. 3/1/2013 (35 DTE)"
2/1/2013,3:45:00 PM,5,0.3,debit,"buy to open 10 x $69 call exp. 3/1/2013 (28 DTE); sell to open 10 x $71 call exp. 3/1/2013 (28 DTE)"
2/4/2013,3:45:00 PM,3,0.06,credit,"sell to close 10 x $69 call exp. 2/22/2013 (18 DTE); buy to close 10 x $71 call exp. 2/22/2013 (18 DTE)"
2/8/2013,3:45:00 PM,6,0.23,debit,"buy to open 10 x $70 call exp. 3/16/2013 (36 DTE); sell to open 10 x $72 call exp. 3/16/2013 (36 DTE)"
2/15/2013,3:45:00 PM,7,0.22,debit,"buy to open 10 x $69.5 call exp. 3/22/2013 (35 DTE); sell to open 10 x $71 call exp. 3/22/2013 (35 DTE)"
2/20/2013,3:45:00 PM,4,0.03,credit,"sell to close 10 x $69 call exp. 3/1/2013 (9 DTE); buy to close 10 x $71 call exp. 3/1/2013 (9 DTE)"
2/20/2013,3:45:00 PM,5,0.03,credit,"sell to close 10 x $69 call exp. 3/1/2013 (9 DTE); buy to close 10 x $71 call exp. 3/1/2013 (9 DTE)"
2/20/2013,3:45:00 PM,6,0.04,credit,"sell to close 10 x $70 call exp. 3/16/2013 (24 DTE); buy to close 10 x $72 call exp. 3/16/2013 (24 DTE)"
2/22/2013,3:45:00 PM,8,0.27,debit,"buy to open 10 x $69 call exp. 3/28/2013 (34 DTE); sell to open 10 x $71 call exp. 3/28/2013 (34 DTE)"
3/1/2013,3:45:00 PM,9,0.2,debit,"buy to open 10 x $69.5 call exp. 4/5/2013 (35 DTE); sell to open 10 x $71 call exp. 4/5/2013 (35 DTE)"
3/8/2013,3:45:00 PM,10,0.14,debit,"buy to open 10 x $70.5 call exp. 4/5/2013 (28 DTE); sell to open 10 x $71.5 call exp. 4/5/2013 (28 DTE)"
3/15/2013,3:45:00 PM,11,0.29,debit,"buy to open 10 x $70 call exp. 4/20/2013 (36 DTE); sell to open 10 x $72 call exp. 4/20/2013 (36 DTE)"
3/18/2013,3:45:00 PM,7,0.05,credit,"sell to close 10 x $69.5 call exp. 3/22/2013 (4 DTE); buy to close 10 x $71 call exp. 3/22/2013 (4 DTE)"
3/19/2013,3:45:00 PM,10,0.04,credit,"sell to close 10 x $70.5 call exp. 4/5/2013 (17 DTE); buy to close 10 x $71.5 call exp. 4/5/2013 (17 DTE)"
3/22/2013,3:45:00 PM,12,0.12,debit,"buy to open 10 x $71 call exp. 4/26/2013 (35 DTE); sell to open 10 x $72 call exp. 4/26/2013 (35 DTE)"
3/27/2013,3:45:00 PM,8,0.06,credit,"sell to close 10 x $69 call exp. 3/28/2013 (1 DTE); buy to close 10 x $71 call exp. 3/28/2013 (1 DTE)"
4/1/2013,3:45:00 PM,9,0.04,credit,"sell to close 10 x $69.5 call exp. 4/5/2013 (4 DTE); buy to close 10 x $71 call exp. 4/5/2013 (4 DTE)"
4/5/2013,3:45:00 PM,11,0.05,credit,"sell to close 10 x $70 call exp. 4/20/2013 (15 DTE); buy to close 10 x $72 call exp. 4/20/2013 (15 DTE)"
4/5/2013,3:45:00 PM,12,0.03,credit,"sell to close 10 x $71 call exp. 4/26/2013 (21 DTE); buy to close 10 x $72 call exp. 4/26/2013 (21 DTE)"
4/5/2013,3:45:00 PM,13,0.19,debit,"buy to open 10 x $70 call exp. 5/3/2013 (28 DTE); sell to open 10 x $71.5 call exp. 5/3/2013 (28 DTE)"
4/12/2013,3:45:00 PM,14,0.23,debit,"buy to open 10 x $72 call exp. 5/18/2013 (36 DTE); sell to open 10 x $74 call exp. 5/18/2013 (36 DTE)"
4/18/2013,3:45:00 PM,14,0.02,credit,"sell to close 10 x $72 call exp. 5/18/2013 (30 DTE); buy to close 10 x $74 call exp. 5/18/2013 (30 DTE)"
4/19/2013,3:45:00 PM,15,0.34,debit,"buy to open 10 x $70 call exp. 5/24/2013 (35 DTE); sell to open 10 x $72 call exp. 5/24/2013 (35 DTE)"
4/26/2013,3:45:00 PM,16,0.26,debit,"buy to open 10 x $71.5 call exp. 5/31/2013 (35 DTE); sell to open 10 x $73 call exp. 5/31/2013 (35 DTE)"
5/3/2013,3:45:00 PM,17,0.31,debit,"buy to open 10 x $74 call exp. 6/7/2013 (35 DTE); sell to open 10 x $76 call exp. 6/7/2013 (35 DTE)"
5/3/2013,4:00:00 PM,13,72.12,credit,"sell to close 1000 shares"
5/3/2013,4:00:00 PM,13,72.12,debit,"buy to close 1000 shares"
5/10/2013,3:45:00 PM,18,0.24,debit,"buy to open 10 x $75 call exp. 6/7/2013 (28 DTE); sell to open 10 x $77 call exp. 6/7/2013 (28 DTE)"
5/17/2013,3:45:00 PM,19,0.31,debit,"buy to open 10 x $76 call exp. 6/22/2013 (36 DTE); sell to open 10 x $78 call exp. 6/22/2013 (36 DTE)"
5/24/2013,3:45:00 PM,20,0.19,debit,"buy to open 10 x $76 call exp. 6/28/2013 (35 DTE); sell to open 10 x $78 call exp. 6/28/2013 (35 DTE)"
5/24/2013,4:00:00 PM,15,73.41,credit,"sell to close 1000 shares"
5/24/2013,4:00:00 PM,15,73.41,debit,"buy to close 1000 shares"
5/31/2013,3:45:00 PM,18,0.05,credit,"sell to close 10 x $75 call exp. 6/7/2013 (7 DTE); buy to close 10 x $77 call exp. 6/7/2013 (7 DTE)"
5/31/2013,3:45:00 PM,21,0.34,debit,"buy to open 10 x $75 call exp. 7/5/2013 (35 DTE); sell to open 10 x $77 call exp. 7/5/2013 (35 DTE)"
5/31/2013,4:00:00 PM,16,73.25,credit,"sell to close 1000 shares"
5/31/2013,4:00:00 PM,16,73.25,debit,"buy to close 1000 shares"
6/4/2013,3:45:00 PM,19,0.06,credit,"sell to close 10 x $76 call exp. 6/22/2013 (18 DTE); buy to close 10 x $78 call exp. 6/22/2013 (18 DTE)"
6/5/2013,3:45:00 PM,17,0.01,credit,"sell to close 10 x $74 call exp. 6/7/2013 (2 DTE); buy to close 10 x $76 call exp. 6/7/2013 (2 DTE)"
6/5/2013,3:45:00 PM,20,0.05,credit,"sell to close 10 x $76 call exp. 6/28/2013 (23 DTE); buy to close 10 x $78 call exp. 6/28/2013 (23 DTE)"
6/7/2013,3:45:00 PM,22,0.28,debit,"buy to open 10 x $75 call exp. 7/5/2013 (28 DTE); sell to open 10 x $77 call exp. 7/5/2013 (28 DTE)"
6/14/2013,3:45:00 PM,23,0.24,debit,"buy to open 10 x $75 call exp. 7/20/2013 (36 DTE); sell to open 10 x $77 call exp. 7/20/2013 (36 DTE)"
6/20/2013,3:45:00 PM,21,0.02,credit,"sell to close 10 x $75 call exp. 7/5/2013 (15 DTE); buy to close 10 x $77 call exp. 7/5/2013 (15 DTE)"
6/20/2013,3:45:00 PM,22,0.02,credit,"sell to close 10 x $75 call exp. 7/5/2013 (15 DTE); buy to close 10 x $77 call exp. 7/5/2013 (15 DTE)"
6/21/2013,3:45:00 PM,23,0.05,credit,"sell to close 10 x $75 call exp. 7/20/2013 (29 DTE); buy to close 10 x $77 call exp. 7/20/2013 (29 DTE)"
6/21/2013,3:45:00 PM,24,0.34,debit,"buy to open 10 x $73 call exp. 7/26/2013 (35 DTE); sell to open 10 x $75 call exp. 7/26/2013 (35 DTE)"
6/28/2013,3:45:00 PM,25,0.24,debit,"buy to open 10 x $74 call exp. 8/2/2013 (35 DTE); sell to open 10 x $76 call exp. 8/2/2013 (35 DTE)"
7/5/2013,3:45:00 PM,26,0.14,debit,"buy to open 10 x $75 call exp. 8/2/2013 (28 DTE); sell to open 10 x $76 call exp. 8/2/2013 (28 DTE)"
7/12/2013,3:45:00 PM,27,0.12,debit,"buy to open 10 x $78 call exp. 8/17/2013 (36 DTE); sell to open 10 x $79 call exp. 8/17/2013 (36 DTE)"
7/19/2013,3:45:00 PM,28,0.24,debit,"buy to open 10 x $77 call exp. 8/23/2013 (35 DTE); sell to open 10 x $79 call exp. 8/23/2013 (35 DTE)"
7/22/2013,3:45:00 PM,27,0.04,credit,"sell to close 10 x $78 call exp. 8/17/2013 (26 DTE); buy to close 10 x $79 call exp. 8/17/2013 (26 DTE)"
7/26/2013,3:45:00 PM,29,0.12,debit,"buy to open 10 x $78 call exp. 8/30/2013 (35 DTE); sell to open 10 x $79 call exp. 8/30/2013 (35 DTE)"
7/26/2013,4:00:00 PM,24,75.37,credit,"sell to close 1000 shares"
7/26/2013,4:00:00 PM,24,75.37,debit,"buy to close 1000 shares"
8/2/2013,3:45:00 PM,30,0.27,debit,"buy to open 10 x $79 call exp. 9/6/2013 (35 DTE); sell to open 10 x $81 call exp. 9/6/2013 (35 DTE)"
8/2/2013,4:00:00 PM,25,76.97,credit,"sell to close 1000 shares"
8/2/2013,4:00:00 PM,25,76.97,debit,"buy to close 1000 shares"
8/2/2013,4:00:00 PM,26,76.97,credit,"sell to close 1000 shares"
8/2/2013,4:00:00 PM,26,76.97,debit,"buy to close 1000 shares"
