OPENED     | CLOSED     | PX OPEN| PX CLOSE|L/S STRIKES | EXP        | DTE| DEBIT| Value| P/L    | REASON      | MULT
2020-06-05 | 2020-07-08 | 240.18 | 259.24 | 252.0/260.0 | 2020-07-10 | 35 | 1.10 | 5.84 | 474.00 | take profit | 5.31
2020-06-12 | 2020-07-17 | 233.87 | 259.91 | 250.0/261.0 | 2020-07-17 | 35 | 1.69 | 9.83 | 814.00 | take profit | 5.82
2020-06-19 | 2020-07-24 | 244.45 | 255.15 | 259.0/270.0 | 2020-07-24 | 35 | 1.59 | 0.00 | -159.00 | stop loss | 0.00
2020-06-26 | 2020-07-31 | 241.04 | 264.49 | 258.0/269.0 | 2020-07-31 | 35 | 1.66 | 6.37 | 471.00 | expiration | 3.84
2020-07-10 | 2020-07-24 | 263.65 | 255.15 | 281.0/292.5 | 2020-08-14 | 35 | 1.63 | 0.22 | -141.00 | stop loss | 0.13
2020-07-17 | 2020-08-21 | 259.90 | 281.41 | 276.0/288.0 | 2020-08-21 | 35 | 1.65 | 5.19 | 354.00 | expiration | 3.15
2020-07-24 | 2020-08-25 | 254.89 | 285.60 | 272.0/284.0 | 2020-08-28 | 35 | 1.77 | 10.39 | 862.00 | take profit | 5.87
2020-07-31 | 2020-08-31 | 264.45 | 296.16 | 280.0/290.0 | 2020-09-04 | 35 | 1.54 | 8.79 | 725.00 | take profit | 5.71
2020-08-07 | 2020-09-02 | 270.46 | 303.09 | 286.0/297.5 | 2020-09-11 | 35 | 1.68 | 9.19 | 751.00 | take profit | 5.47
2020-08-14 | 2020-09-02 | 271.50 | 303.09 | 288.0/300.0 | 2020-09-18 | 35 | 1.54 | 8.46 | 692.00 | take profit | 5.49
2020-08-21 | 2020-09-11 | 281.99 | 270.43 | 299.0/312.0 | 2020-09-30 | 40 | 1.68 | 0.23 | -145.00 | stop loss | 0.14
2020-08-28 | 2020-09-08 | 292.27 | 271.22 | 312.5/327.5 | 2020-10-02 | 35 | 1.86 | 0.19 | -167.00 | stop loss | 0.10
2020-09-04 | 2020-09-11 | 286.23 | 270.43 | 311.0/329.0 | 2020-10-09 | 35 | 2.31 | 0.16 | -215.00 | stop loss | 0.07
2020-09-11 | 2020-10-16 | 270.84 | 289.75 | 292.0/307.0 | 2020-10-16 | 35 | 2.00 | 0.00 | -200.00 | stop loss | 0.00
2020-09-18 | 2020-10-23 | 266.85 | 284.38 | 287.5/302.5 | 2020-10-23 | 35 | 2.03 | 0.00 | -203.00 | stop loss | 0.00
2020-09-25 | 2020-10-28 | 271.89 | 273.48 | 292.0/307.5 | 2020-10-30 | 35 | 2.11 | 0.00 | -211.00 | stop loss | 0.00
2020-10-02 | 2020-10-30 | 275.35 | 268.32 | 298.0/315.0 | 2020-11-06 | 35 | 2.34 | 0.06 | -228.00 | stop loss | 0.03
2020-10-09 | 2020-10-30 | 285.41 | 268.32 | 306.0/320.0 | 2020-11-13 | 35 | 1.89 | 0.06 | -183.00 | stop loss | 0.03
2020-10-16 | 2020-10-30 | 290.37 | 268.32 | 312.0/330.0 | 2020-11-20 | 35 | 2.22 | 0.10 | -212.00 | stop loss | 0.05
2020-10-23 | 2020-11-02 | 283.99 | 268.34 | 304.0/319.0 | 2020-11-27 | 35 | 2.10 | 0.33 | -177.00 | stop loss | 0.16
2020-10-30 | 2020-12-02 | 267.74 | 303.70 | 291.0/306.0 | 2020-12-04 | 35 | 2.25 | 11.73 | 948.00 | take profit | 5.21
2020-11-06 | 2020-11-18 | 294.11 | 291.12 | 310.0/322.5 | 2020-12-04 | 28 | 1.69 | 0.24 | -145.00 | stop loss | 0.14
2020-11-13 | 2020-12-18 | 290.65 | 308.27 | 308.0/321.0 | 2020-12-18 | 35 | 1.65 | 0.86 | -79.00 | expiration | 0.52
2020-11-20 | 2020-12-24 | 291.32 | 309.56 | 306.0/318.0 | 2020-12-24 | 34 | 1.48 | 3.46 | 198.00 | expiration | 2.34
2020-11-27 | 2020-12-31 | 299.01 | 313.01 | 314.0/327.0 | 2020-12-31 | 34 | 1.52 | 0.05 | -147.00 | stop loss | 0.03
2020-12-04 | 2021-01-04 | 305.09 | 309.09 | 322.0/337.5 | 2021-01-08 | 35 | 1.77 | 0.17 | -160.00 | stop loss | 0.10
2020-12-11 | 2021-01-15 | 301.50 | 311.96 | 319.0/333.0 | 2021-01-15 | 35 | 1.80 | 0.00 | -180.00 | stop loss | 0.00
2020-12-18 | 2021-01-15 | 308.25 | 311.96 | 324.0/336.0 | 2021-01-22 | 35 | 1.75 | 0.21 | -154.00 | stop loss | 0.12
2021-01-08 | 2021-02-12 | 318.22 | 335.69 | 336.0/350.0 | 2021-02-12 | 35 | 1.84 | 0.16 | -168.00 | stop loss | 0.09
2021-01-15 | 2021-02-19 | 312.49 | 331.06 | 330.0/343.0 | 2021-02-19 | 35 | 1.92 | 1.13 | -79.00 | expiration | 0.59
2021-01-22 | 2021-02-19 | 326.24 | 331.06 | 344.0/357.5 | 2021-02-26 | 35 | 1.84 | 0.14 | -170.00 | stop loss | 0.08
2021-01-29 | 2021-02-25 | 316.30 | 313.07 | 337.5/352.0 | 2021-03-05 | 35 | 2.23 | 0.14 | -209.00 | stop loss | 0.06
2021-02-05 | 2021-02-22 | 330.78 | 322.84 | 347.5/361.0 | 2021-03-12 | 35 | 1.70 | 0.22 | -148.00 | stop loss | 0.13
2021-02-12 | 2021-02-25 | 335.14 | 313.07 | 351.0/365.0 | 2021-03-19 | 35 | 1.79 | 0.19 | -160.00 | stop loss | 0.11
2021-02-19 | 2021-03-02 | 331.46 | 319.45 | 348.0/361.0 | 2021-03-26 | 35 | 1.84 | 0.26 | -158.00 | stop loss | 0.14
2021-02-26 | 2021-03-08 | 316.04 | 301.96 | 336.0/349.0 | 2021-04-01 | 34 | 1.95 | 0.25 | -170.00 | stop loss | 0.13
2021-03-05 | 2021-04-09 | 308.58 | 336.44 | 327.5/342.5 | 2021-04-09 | 35 | 2.03 | 8.89 | 686.00 | expiration | 4.38
2021-03-12 | 2021-04-16 | 314.79 | 342.01 | 334.0/350.0 | 2021-04-16 | 35 | 2.06 | 7.96 | 590.00 | expiration | 3.86
2021-03-19 | 2021-04-23 | 313.59 | 340.23 | 333.0/347.5 | 2021-04-23 | 35 | 1.82 | 7.18 | 536.00 | expiration | 3.95
2021-03-26 | 2021-04-15 | 313.20 | 341.60 | 331.0/345.0 | 2021-04-30 | 35 | 1.69 | 9.17 | 748.00 | take profit | 5.43
2021-04-09 | 2021-05-03 | 336.30 | 336.19 | 352.5/365.0 | 2021-05-14 | 35 | 1.58 | 0.15 | -143.00 | stop loss | 0.09
2021-04-16 | 2021-05-03 | 341.93 | 336.19 | 356.0/368.0 | 2021-05-21 | 35 | 1.56 | 0.24 | -132.00 | stop loss | 0.15
2021-04-23 | 2021-05-04 | 340.37 | 328.57 | 355.0/367.0 | 2021-05-28 | 35 | 1.66 | 0.22 | -144.00 | stop loss | 0.13
2021-04-30 | 2021-05-10 | 338.12 | 326.78 | 353.0/365.0 | 2021-06-04 | 35 | 1.54 | 0.20 | -134.00 | stop loss | 0.13
2021-05-07 | 2021-05-19 | 334.71 | 321.11 | 349.0/361.0 | 2021-06-11 | 35 | 1.53 | 0.20 | -133.00 | stop loss | 0.13
2021-05-14 | 2021-06-18 | 326.76 | 343.73 | 342.0/355.0 | 2021-06-18 | 35 | 1.76 | 1.73 | -3.00 | expiration | 0.98
2021-05-21 | 2021-06-25 | 327.89 | 349.19 | 343.0/355.0 | 2021-06-25 | 35 | 1.54 | 6.14 | 460.00 | expiration | 3.99
2021-05-28 | 2021-07-02 | 334.59 | 358.56 | 348.0/360.0 | 2021-07-02 | 35 | 1.39 | 10.45 | 906.00 | take profit | 7.52
2021-06-04 | 2021-07-02 | 335.65 | 358.56 | 348.0/360.0 | 2021-07-07 | 33 | 1.41 | 9.68 | 827.00 | take profit | 6.87
2021-06-11 | 2021-07-06 | 340.60 | 360.25 | 353.0/363.0 | 2021-07-16 | 35 | 1.19 | 6.42 | 523.00 | take profit | 5.39
2021-06-18 | 2021-07-23 | 343.46 | 368.24 | 357.0/368.0 | 2021-07-23 | 35 | 1.45 | 10.82 | 937.00 | take profit | 7.46
2021-06-25 | 2021-07-30 | 349.52 | 364.30 | 362.5/374.0 | 2021-07-30 | 35 | 1.43 | 1.78 | 35.00 | expiration | 1.24
2021-07-02 | 2021-08-02 | 358.39 | 364.17 | 372.0/382.5 | 2021-08-06 | 35 | 1.27 | 0.19 | -108.00 | stop loss | 0.15
2021-07-09 | 2021-08-06 | 361.08 | 367.82 | 376.0/388.0 | 2021-08-13 | 35 | 1.43 | 0.15 | -128.00 | stop loss | 0.10
2021-07-16 | 2021-08-17 | 357.87 | 364.88 | 372.0/384.0 | 2021-08-20 | 35 | 1.65 | 0.14 | -151.00 | stop loss | 0.08
2021-07-23 | 2021-08-11 | 367.93 | 365.90 | 382.0/392.0 | 2021-08-27 | 35 | 1.26 | 0.14 | -112.00 | stop loss | 0.11
2021-07-30 | 2021-09-03 | 364.39 | 381.53 | 379.0/390.0 | 2021-09-03 | 35 | 1.45 | 2.43 | 98.00 | expiration | 1.68
2021-08-06 | 2021-09-10 | 367.98 | 377.12 | 381.0/390.0 | 2021-09-10 | 35 | 1.29 | 0.00 | -129.00 | stop loss | 0.00
2021-08-13 | 2021-09-14 | 368.43 | 374.64 | 380.0/389.0 | 2021-09-15 | 33 | 1.29 | 0.05 | -124.00 | stop loss | 0.04
2021-08-20 | 2021-09-20 | 367.70 | 363.79 | 381.0/390.0 | 2021-09-24 | 35 | 1.30 | 0.09 | -121.00 | stop loss | 0.07
2021-08-27 | 2021-09-20 | 376.38 | 363.79 | 387.5/396.0 | 2021-10-01 | 35 | 1.24 | 0.06 | -118.00 | stop loss | 0.05
2021-09-03 | 2021-09-17 | 381.63 | 374.25 | 394.0/404.0 | 2021-10-08 | 35 | 1.31 | 0.13 | -118.00 | stop loss | 0.10
2021-09-10 | 2021-09-20 | 377.43 | 363.79 | 392.0/402.0 | 2021-10-15 | 35 | 1.37 | 0.13 | -124.00 | stop loss | 0.09
