Trade#,Entry Date,Exit Date,Expiry,Strike,Entry Price,Exit Price,Delta,Profit %,Equity,Open Contracts,Free Margin
2,2015-10-02,2015-11-27,2016-09-30,190,16.78,25.21,0.61,50.24%,$90018.50,10.0,$88380.82
1,2015-01-16,2016-01-08,2016-01-15,195,17.35,1.37,0.63,-92.1%,$100000.00,0,$99000.00
4,2016-01-22,2016-04-01,2017-01-20,185,17.03,26.23,0.62,53.99%,$82027.50,10.0,$80600.23
5,2016-03-04,2016-07-22,2017-03-17,195,16.08,25.73,0.62,59.98%,$89061.00,20.0,$85156.39
3,2015-11-27,2016-11-25,2016-12-16,205,16.23,16.87,0.60,3.94%,$106447.00,20.0,$103844.53
7,2016-05-27,2016-12-09,2017-06-16,205,15.63,24.14,0.62,54.45%,$103361.50,30.0,$97022.88
9,2016-11-25,2017-03-03,2017-12-15,216,16.72,27.00,0.62,61.48%,$128075.50,30.0,$122658.74
11,2017-01-06,2017-06-02,2018-01-19,222,16.53,25.13,0.63,52.03%,$138133.00,20.0,$132765.67
12,2017-01-20,2017-06-02,2018-01-19,221,16.34,25.93,0.63,58.66%,$135271.50,30.0,$128565.29
14,2017-03-17,2017-10-06,2018-03-16,233,15.70,24.28,0.62,54.65%,$162660.50,30.0,$155074.89
13,2017-03-03,2017-10-20,2018-03-16,234,16.00,25.34,0.62,58.34%,$165675.00,40.0,$156689.75
17,2017-06-30,2017-10-20,2018-07-20,237,16.59,25.29,0.64,52.44%,$166623.00,40.0,$158840.27
16,2017-06-16,2017-11-03,2018-06-15,238,16.20,24.68,0.64,52.38%,$170939.50,30.0,$164302.61
15,2017-06-02,2017-12-01,2018-06-15,239,16.41,28.98,0.64,76.57%,$173014.00,40.0,$167824.36
19,2017-09-08,2017-12-01,2018-09-21,242,16.26,28.69,0.64,76.45%,$175975.00,60.0,$163694.25
20,2017-09-22,2017-12-01,2018-09-21,242,18.53,28.69,0.67,54.83%,$191493.50,70.0,$175879.07
21,2017-12-01,2018-01-12,2018-12-21,261,17.06,26.43,0.62,54.95%,$246654.50,30.0,$244187.95
22,2017-12-15,2018-01-26,2018-12-21,260,19.57,35.00,0.66,78.85%,$247558.50,10.0,$243216.42
23,2017-12-29,2018-01-26,2019-01-18,265,17.78,31.34,0.61,76.24%,$247317.00,20.0,$241043.83
27,2018-06-01,2018-09-21,2019-06-21,270,19.55,31.45,0.63,60.84%,$278585.00,20.0,$272532.15
25,2018-02-23,2019-02-22,2019-03-15,270,20.99,10.30,0.63,-50.91%,$290708.00,0,$287800.92
26,2018-03-09,2019-02-22,2019-03-15,270,23.79,10.30,0.66,-56.68%,$293336.50,10.0,$288040.64
33,2018-12-28,2019-02-22,2020-01-17,244,23.92,41.98,0.63,75.5%,$202733.00,60.0,$198180.67
35,2019-03-08,2019-04-26,2020-03-20,271,20.57,32.68,0.64,58.87%,$262844.00,40.0,$256315.56
29,2018-09-07,2019-08-30,2019-09-20,285,20.14,10.04,0.62,-50.12%,$308482.00,40.0,$294920.18
30,2018-09-21,2019-08-30,2019-09-20,285,23.12,10.04,0.66,-56.55%,$325475.50,50.0,$311174.24
31,2018-10-05,2019-09-13,2019-09-30,285,20.89,16.30,0.62,-22.0%,$314336.00,40.0,$302055.64
32,2018-11-30,2019-11-08,2019-12-20,270,24.58,39.77,0.64,61.8%,$267224.50,50.0,$258036.76
38,2019-06-07,2019-11-08,2020-06-19,280,23.36,36.17,0.69,54.86%,$298971.50,50.0,$288361.78
37,2019-04-05,2019-11-22,2020-03-31,283,21.30,31.96,0.67,50.05%,$306961.00,60.0,$291106.39
40,2019-07-05,2019-12-20,2020-06-30,294,20.75,35.20,0.66,69.64%,$341253.50,70.0,$320705.47
41,2019-08-30,2019-12-20,2020-09-18,290,25.92,39.92,0.62,54.03%,$298422.00,80.0,$282518.78
43,2019-10-11,2019-12-20,2020-10-16,289,27.37,41.51,0.65,51.66%,$305269.50,70.0,$284888.80
44,2019-11-08,2020-01-17,2020-11-20,304,24.36,37.94,0.63,55.73%,$367503.00,80.0,$345133.47
46,2019-12-06,2020-02-14,2020-12-18,308,24.75,38.99,0.65,57.54%,$383459.00,60.0,$360985.91
51,2020-03-13,2020-07-10,2021-03-19,247,45.93,77.62,0.70,69.01%,$388249.50,30.0,$381520.01
50,2020-02-28,2020-08-07,2021-03-19,290,31.57,54.72,0.63,73.31%,$409656.00,20.0,$403729.44
52,2020-06-12,2020-08-07,2021-06-18,295,35.50,53.38,0.60,50.37%,$449438.00,40.0,$431384.12
48,2020-01-03,2020-11-13,2021-01-15,320,25.00,41.21,0.60,64.84%,$421395.00,40.0,$404336.05
53,2021-03-05,2021-05-07,2022-03-18,370,40.61,63.74,0.61,56.97%,$543974.00,0,$538534.26
55,2022-02-25,2023-02-24,2023-03-17,420,51.95,0.46,0.62,-99.12%,$583888.00,0,$578049.12
62,2023-03-10,2023-06-09,2024-03-15,385,42.00,64.80,0.63,54.29%,$434036.00,60.0,$410170.64
59,2022-12-30,2023-07-07,2024-01-19,380,46.35,71.99,0.63,55.32%,$489262.00,40.0,$473918.38
58,2022-12-16,2023-07-21,2023-12-15,380,47.52,82.04,0.63,72.64%,$501263.50,30.0,$489352.36
61,2023-02-24,2023-07-21,2024-03-15,395,44.50,74.61,0.63,67.66%,$486469.00,60.0,$461433.81
56,2022-09-09,2023-08-18,2023-09-15,395,51.66,43.72,0.63,-15.38%,$552846.50,10.0,$545226.54
57,2022-12-02,2023-11-24,2023-12-15,400,50.18,56.56,0.64,12.72%,$537370.00,20.0,$526325.80
63,2023-06-09,2024-01-19,2024-06-21,425,43.09,68.76,0.67,59.57%,$599729.50,70.0,$560129.20
64,2023-06-23,2024-01-19,2024-06-21,425,45.42,68.76,0.68,51.39%,$619951.50,70.0,$573619.48
65,2023-09-01,2024-02-02,2024-09-20,445,44.88,67.79,0.69,51.05%,$671802.50,30.0,$648993.97
66,2023-09-15,2024-02-02,2024-09-20,445,39.50,67.79,0.64,71.62%,$647301.00,40.0,$622663.99
67,2023-12-08,2024-02-02,2024-12-20,455,43.56,66.11,0.69,51.77%,$668568.00,40.0,$643053.32
68,2023-12-22,2024-03-01,2024-12-20,465,47.75,71.80,0.70,50.36%,$723291.50,50.0,$687268.58
69,2024-01-05,2024-03-01,2024-12-31,459,47.50,77.42,0.70,62.99%,$685285.00,60.0,$648710.15
70,2024-01-19,2024-04-05,2025-01-17,475,43.92,70.70,0.71,60.97%,$753853.50,70.0,$718737.46
71,2024-03-01,2024-07-12,2025-03-21,505,50.76,78.36,0.70,54.38%,$841469.50,30.0,$826570.30
72,2024-03-15,2024-07-12,2025-03-21,505,50.11,78.36,0.67,56.39%,$825920.00,20.0,$806397.80
73,2024-04-05,2024-10-04,2025-03-31,506,56.00,84.47,0.70,50.85%,$839303.50,30.0,$820181.46
74,2024-05-31,2024-10-04,2025-06-20,520,53.00,79.86,0.70,50.67%,$835020.50,30.0,$810745.30
78,2024-08-09,2024-10-04,2025-08-15,523,53.84,81.69,0.70,51.74%,$850461.50,50.0,$818707.89
79,2024-09-06,2024-10-04,2025-09-19,545,44.90,67.67,0.64,50.7%,$867980.00,60.0,$828685.70
75,2024-06-14,2024-11-29,2025-06-20,535,50.57,87.02,0.70,72.07%,$876884.00,40.0,$842751.16
76,2024-06-28,2024-11-29,2025-06-30,538,53.00,84.12,0.68,58.72%,$884937.50,50.0,$844699.12
77,2024-07-26,2024-11-29,2025-08-15,534,58.00,92.15,0.70,58.88%,$899083.00,40.0,$867739.67
