side,zone_created,entry_time,entry,stop,target,risk_price,exit_time,result_r,net_r,pnl,equity
short,2026-01-05 13:35:00+00:00,2026-01-05 13:35:00+00:00,1.34254,1.34329,1.34179,0.0007500000000000284,2026-01-05 13:50:00+00:00,-1.0,-1.0533333333333312,-105.33333333333313,9894.666666666666
long,2026-01-06 14:05:00+00:00,2026-01-06 14:50:00+00:00,1.3531,1.35153,1.35467,0.0015700000000000713,2026-01-06 15:00:00+00:00,-1.0,-1.0254777070063683,-101.46760084925678,9793.199065817409
short,2026-01-07 13:05:00+00:00,2026-01-07 13:05:00+00:00,1.34854,1.34932,1.34776,0.0007800000000000029,2026-01-07 13:25:00+00:00,-1.0,-1.051282051282051,-102.95414402525992,9690.24492179215
short,2026-01-08 12:10:00+00:00,2026-01-08 12:30:00+00:00,1.34408,1.34473,1.34343,0.0006500000000000394,2026-01-08 13:20:00+00:00,-1.0,-1.0615384615384578,-102.86567686210093,9587.379244930049
long,2026-01-12 13:05:00+00:00,2026-01-12 13:40:00+00:00,1.3478,1.3463,1.3493000000000002,0.0015000000000000568,2026-01-12 17:00:00+00:00,-1.0,-1.0266666666666657,-98.43042691461508,9488.948818015433
short,2026-01-13 11:00:00+00:00,2026-01-13 12:10:00+00:00,1.3469,1.34728,1.34652,0.00038000000000004697,2026-01-13 12:35:00+00:00,1.0,0.8947368421052762,84.90112100329722,9573.84993901873
short,2026-01-14 12:05:00+00:00,2026-01-14 12:05:00+00:00,1.34438,1.34505,1.3437099999999997,0.0006700000000001705,2026-01-14 12:15:00+00:00,-1.0,-1.0597014925372983,-101.4542306970627,9472.395708321666
short,2026-01-15 12:10:00+00:00,2026-01-15 12:10:00+00:00,1.34157,1.34204,1.3411,0.00046999999999997044,2026-01-15 12:45:00+00:00,1.0,0.9148936170212713,86.66234371443176,9559.058052036098
short,2026-01-19 11:15:00+00:00,2026-01-19 12:25:00+00:00,1.34104,1.34129,1.34079,0.0002500000000000835,2026-01-19 12:30:00+00:00,1.0,0.8400000000000534,80.29608763710833,9639.354139673207
short,2026-01-20 12:45:00+00:00,2026-01-20 12:45:00+00:00,1.34434,1.34514,1.3435400000000002,0.0007999999999999119,2026-01-20 13:15:00+00:00,-1.0,-1.0500000000000056,-101.21321846656922,9538.140921206637
long,2026-01-21 12:35:00+00:00,2026-01-21 12:35:00+00:00,1.34222,1.34132,1.3431199999999999,0.0008999999999999009,2026-01-21 13:20:00+00:00,-1.0,-1.0444444444444494,-99.62058295482535,9438.520338251812
long,2026-01-22 14:50:00+00:00,2026-01-22 15:00:00+00:00,1.3452,1.34391,1.34649,0.0012900000000000134,2026-01-22 15:10:00+00:00,1.0,0.9689922480620158,91.45853040941682,9529.978868661228
short,2026-01-26 12:00:00+00:00,2026-01-26 12:00:00+00:00,1.3664,1.36724,1.36556,0.0008399999999999519,2026-01-26 12:20:00+00:00,1.0,0.9523809523809497,90.76170351105907,9620.740572172288
long,2026-01-27 12:05:00+00:00,2026-01-27 12:05:00+00:00,1.37135,1.37078,1.37192,0.0005699999999999594,2026-01-27 12:10:00+00:00,1.0,0.9298245614035038,89.45600882896991,9710.196581001257
long,2026-01-28 12:25:00+00:00,2026-01-28 12:25:00+00:00,1.37835,1.3778,1.3789,0.0005500000000000504,2026-01-28 12:35:00+00:00,1.0,0.9272727272727339,90.04000466019411,9800.23658566145
long,2026-01-29 12:25:00+00:00,2026-01-29 12:25:00+00:00,1.3801,1.37947,1.3807300000000002,0.0006300000000001305,2026-01-29 12:40:00+00:00,-1.0,-1.0634920634920504,-104.22473829195383,9696.011847369497
short,2026-02-02 13:30:00+00:00,2026-02-02 13:30:00+00:00,1.36605,1.36673,1.36537,0.0006800000000000139,2026-02-02 13:55:00+00:00,1.0,0.9411764705882365,91.25658209288949,9787.268429462387
long,2026-02-03 12:45:00+00:00,2026-02-03 14:10:00+00:00,1.36637,1.36587,1.3668700000000003,0.000500000000000167,2026-02-03 14:15:00+00:00,-1.0,-1.0799999999999732,-105.70249903819115,9681.565930424196
short,2026-02-04 15:00:00+00:00,2026-02-04 15:00:00+00:00,1.36809,1.36999,1.36619,0.0019000000000000128,2026-02-04 15:30:00+00:00,1.0,0.9789473684210528,94.77743489783688,9776.343365322033
short,2026-02-05 12:00:00+00:00,2026-02-05 12:00:00+00:00,1.35764,1.3615,1.35378,0.0038599999999999746,2026-02-05 14:55:00+00:00,1.0,0.9896373056994818,96.75034107650302,9873.093706398537
long,2026-02-09 11:50:00+00:00,2026-02-09 12:10:00+00:00,1.36418,1.36306,1.3653,0.0011200000000000099,2026-02-09 12:45:00+00:00,1.0,0.9642857142857146,95.20483216884307,9968.29853856738
short,2026-02-10 13:25:00+00:00,2026-02-10 13:50:00+00:00,1.36795,1.36895,1.36695,0.0009999999999998899,2026-02-10 14:20:00+00:00,-1.0,-1.0400000000000045,-103.6703048011012,9864.62823376628
short,2026-02-11 12:00:00+00:00,2026-02-11 12:00:00+00:00,1.36894,1.36948,1.3684,0.0005399999999999849,2026-02-11 12:15:00+00:00,1.0,0.9259259259259238,91.33915031265053,9955.967384078931
long,2026-02-12 14:05:00+00:00,2026-02-12 14:05:00+00:00,1.36539,1.36465,1.3661300000000003,0.000740000000000185,2026-02-12 14:10:00+00:00,-1.0,-1.0540540540540406,-104.941277832182,9851.026106246749
short,2026-02-16 12:45:00+00:00,2026-02-16 13:05:00+00:00,1.36407,1.36468,1.36346,0.0006099999999999994,2026-02-16 13:10:00+00:00,1.0,0.9344262295081966,92.05057181246961,9943.076678059218
short,2026-02-17 13:05:00+00:00,2026-02-17 13:05:00+00:00,1.35418,1.35499,1.35337,0.0008099999999999774,2026-02-17 13:15:00+00:00,1.0,0.950617283950616,94.52060545809368,10037.597283517312
