date,equity,holding
2026-06-12,24994.269881245924,TQQQ
2026-06-15,27159.77319240315,TQQQ
2026-06-16,25732.44289302571,TQQQ
2026-06-17,25000.397139546705,TQQQ
2026-06-18,26632.94843196614,TQQQ
2026-06-22,26544.1242666219,TQQQ
2026-06-23,24050.88524532063,TQQQ
2026-06-24,23753.401701924635,TQQQ
2026-06-25,24259.949828145338,TQQQ
2026-06-26,23302.111327168775,TQQQ
2026-06-29,24947.631514546705,TQQQ
2026-06-30,26117.300765034986,TQQQ
2026-07-01,25030.520483968092,TQQQ
2026-07-02,23768.750296590162,TQQQ
2026-07-06,24711.240202901197,TQQQ
2026-07-07,23424.9117956136,TQQQ
2026-07-08,23575.341139790846,TQQQ
2026-07-09,24686.67964076741,TQQQ
2026-07-10,24898.510390279127,TQQQ
2026-07-13,23550.780577657057,TQQQ
2026-07-14,24281.439734456373,TQQQ
2026-07-15,24103.381514546705,TQQQ
2026-07-16,22967.480109212232,TQQQ
2026-07-17,21982.010390279127,TQQQ
2026-07-20,22018.85123347981,TQQQ
2026-07-21,23160.89160823567,TQQQ
2026-07-22,22826.260390279127,TQQQ
2026-07-23,21604.401701924635,TQQQ
2026-07-24,20898.300765034986,TQQQ
2026-07-27,20714.10123347981,TQQQ
2026-07-28,20149.22118663533,TQQQ
2026-07-29,18979.550765034986,TQQQ
2026-07-30,20683.400530812574,TQQQ
2026-07-31,21088.64160823567,TQQQ
2026-08-03,22114.020483968092,TQQQ
2026-08-04,24220.04067134602,TQQQ
2026-08-05,23612.17964076741,TQQQ
2026-08-06,23363.510390279127,TQQQ
2026-08-07,24112.591139790846,TQQQ
2026-08-10,23906.901701924635,TQQQ
2026-08-11,23679.720015523268,TQQQ
2026-08-12,24152.500296590162,TQQQ
2026-08-13,24935.35123347981,TQQQ
2026-08-14,24824.83104610188,TQQQ
2026-08-17,24705.10123347981,TQQQ
2026-08-18,23517.010390279127,TQQQ
2026-08-19,23372.720015523268,TQQQ
2026-08-20,22887.6617956136,TQQQ
2026-08-21,23099.490202901197,TQQQ
2026-08-24,22436.37142085774,TQQQ
2026-08-25,22823.189734456373,TQQQ
2026-08-26,22884.591139790846,TQQQ
2026-08-27,23753.401701924635,TQQQ
2026-08-28,23308.250296590162,TQQQ
2026-08-31,23329.740202901197,TQQQ
2026-09-01,22479.35123347981,TQQQ
2026-09-02,22617.500296590162,TQQQ
2026-09-03,23363.510390279127,TQQQ
2026-09-04,23467.89160823567,TQQQ
