date,equity,ending_balance,tax_withdrawal,cumulative_tax_withdrawal,holding,branch,cash,shares
2021-01-04,23669.650260530787,23669.650260530787,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-05,24231.58701666482,24231.58701666482,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-06,23281.706306063013,23281.706306063013,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-07,24872.14237555154,24872.14237555154,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-08,25787.22204931863,25787.22204931863,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-11,24703.302760683375,24703.302760683375,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-12,24601.485530458765,24601.485530458765,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-13,25055.155833803492,25055.155833803492,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-14,24692.992259584742,24692.992259584742,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-15,24123.322627626734,24123.322627626734,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-19,25114.447406374293,25114.447406374293,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-20,26777.056983553248,26777.056983553248,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-21,27411.16724737771,27411.16724737771,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-22,27174.017467104273,27174.017467104273,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-25,27893.19555624612,27893.19555624612,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-26,27921.54943426736,27921.54943426736,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-27,25771.752170168238,25771.752170168238,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-28,26132.63415487893,26132.63415487893,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-01-29,24583.440089784937,24583.440089784937,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-01,26297.60836371072,26297.60836371072,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-02,27509.117007814722,27509.117007814722,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-03,27207.532786928492,27207.532786928492,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-04,28125.18802221902,28125.18802221902,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
2021-02-05,28406.157432161646,28406.157432161646,0.0,0.0,TQQQ,bull_trend,1263.0905071128182,1082
