date,signal_date,action,symbol,price,shares,fee,branch
2021-01-04,2021-01-04,BUY,TQQQ,21.927030470797117,1082,11.86252348470124,bull_trend
2021-04-16,2021-04-16,SELL,TQQQ,26.660738127097787,1082,14.423459326759904,bull_overbought
2021-04-16,2021-04-16,BUY,UVXY,11500.0,2,11.5,bull_overbought
2021-04-19,2021-04-19,SELL,UVXY,11375.0,2,11.375,bull_trend
2021-04-19,2021-04-19,BUY,TQQQ,26.24144401893711,1079,14.15725904821657,bull_trend
2021-07-06,2021-07-06,SELL,TQQQ,30.36288805900584,1079,16.38077810783365,bull_overbought
2021-07-06,2021-07-06,BUY,UVXY,6695.0,4,13.39,bull_overbought
2021-07-08,2021-07-08,SELL,UVXY,7960.0,4,15.92,bull_trend
2021-07-08,2021-07-08,BUY,TQQQ,29.467127114052218,1265,18.63795789963803,bull_trend
2021-07-14,2021-07-14,SELL,TQQQ,31.770846570999367,1265,20.095060456157103,bull_overbought
2021-07-14,2021-07-14,BUY,UVXY,6752.5,5,16.88125,bull_overbought
2021-07-15,2021-07-15,SELL,UVXY,7022.5,5,17.556250000000002,bull_trend
2021-07-15,2021-07-15,BUY,TQQQ,31.306298407199264,1318,20.630850650344318,bull_trend
2021-11-04,2021-11-04,SELL,TQQQ,39.411007066709075,1318,25.97185365696128,bull_overbought
2021-11-04,2021-11-04,BUY,UVXY,3602.5,14,25.2175,bull_overbought
2021-11-10,2021-11-10,SELL,UVXY,4177.5,14,29.2425,bull_trend
2021-11-10,2021-11-10,BUY,TQQQ,38.765391317528525,1520,29.46169740132168,bull_trend
2021-12-31,2021-12-31,SELL_FOR_TAX,TQQQ,39.62541198730469,409,8.103396751403809,annual_tax_withdrawal
2022-01-24,2022-01-24,SELL,TQQQ,25.657771585711952,1111,14.25289211586299,bear_tqqq_oversold
2022-01-24,2022-01-24,BUY,TECL,52.20363719085393,560,14.6170184134391,bear_tqqq_oversold
2022-01-26,2022-01-26,SELL,TECL,56.665009398942644,560,15.86620263170394,bull_trend
2022-01-26,2022-01-26,BUY,TQQQ,27.15387847097372,1164,15.803557270106705,bull_trend
2022-01-27,2022-01-27,SELL,TQQQ,26.396296875082705,1164,15.362644781298133,bear_tqqq_oversold
2022-01-27,2022-01-27,BUY,TECL,55.572801802557244,553,15.365879698407078,bear_tqqq_oversold
2022-01-31,2022-01-31,SELL,TECL,58.793885894581976,553,16.256509449851915,bull_trend
2022-01-31,2022-01-31,BUY,TQQQ,27.182468138548913,1192,16.200751010575154,bull_trend
2022-02-14,2022-02-14,SELL,TQQQ,25.20512779650307,1192,15.02225616671583,bear_relative_inverse
2022-02-14,2022-02-14,BUY,TECS,3289.95001106037,9,14.804775049771665,bear_relative_inverse
2022-02-15,2022-02-15,SELL,TECS,3107.9492764417387,9,13.985771743987824,bull_trend
2022-02-15,2022-02-15,BUY,TQQQ,26.601178335352667,1073,14.271532176916706,bull_trend
2022-02-18,2022-02-18,SELL,TQQQ,25.057423881799494,1073,13.44330791258543,bear_relative_inverse
2022-02-18,2022-02-18,BUY,TECS,3235.0884357228233,8,12.940353742891293,bear_relative_inverse
2022-02-24,2022-02-24,SELL,TECS,4138.997782272823,8,16.555991129091293,bear_tqqq_oversold
2022-02-24,2022-02-24,BUY,TECL,41.60556035848611,812,16.89185750554536,bear_tqqq_oversold
2022-02-25,2022-02-25,SELL,TECL,51.87041937361622,812,21.059390265688187,bear_relative_inverse
2022-02-25,2022-02-25,BUY,TECS,3309.9791463989723,12,19.859874878393835,bear_relative_inverse
2022-03-01,2022-03-01,SELL,TECS,3261.2131277314866,12,19.567278766388917,bear_relative_bond
2022-03-01,2022-03-01,BUY,BSV,69.6657796406965,589,20.51657210418512,bear_relative_bond
2022-03-02,2022-03-02,SELL,BSV,69.57827504881357,589,20.490802001875597,bear_relative_inverse
2022-03-02,2022-03-02,BUY,TECS,3363.9695518337526,12,20.183817311002517,bear_relative_inverse
2022-03-03,2022-03-03,SELL,TECS,3109.690418125987,12,18.658142508755923,bear_relative_bond
2022-03-03,2022-03-03,BUY,BSV,69.41206672504431,548,19.01890628266214,bear_relative_bond
2022-03-04,2022-03-04,SELL,BSV,69.48206559627123,548,19.038085973378315,bear_relative_inverse
2022-03-04,2022-03-04,BUY,TECS,3391.8358983788185,11,18.6550974410835,bear_relative_inverse
2022-03-17,2022-03-17,SELL,TECS,3337.8451899517613,11,18.358148544734686,bear_trend_long
2022-03-17,2022-03-17,BUY,TECL,47.79780256727523,783,18.712839705088253,bear_trend_long
2022-03-21,2022-03-21,SELL,TECL,51.87967581072867,783,20.310893079900275,bull_trend
2022-03-21,2022-03-21,BUY,TQQQ,25.18607207692487,1606,20.22441587777067,bull_trend
2022-04-11,2022-04-11,SELL,TQQQ,23.742376003875187,1606,19.065127931111775,bear_relative_inverse
2022-04-11,2022-04-11,BUY,TECS,3195.901739975156,11,17.577459569863358,bear_relative_inverse
2022-04-20,2022-04-20,SELL,TECS,3097.4991274833424,11,17.036245201158383,bull_trend
2022-04-20,2022-04-20,BUY,TQQQ,24.094959298549398,1542,18.577213619181585,bull_trend
2022-04-22,2022-04-22,SELL,TQQQ,21.46485712247638,1542,16.54940484142929,bear_relative_inverse
2022-04-22,2022-04-22,BUY,TECS,3395.3192235654474,9,15.278936506044513,bear_relative_inverse
2022-04-27,2022-04-27,SELL,TECS,3753.225240966112,9,16.889513584347505,bear_tqqq_oversold
2022-04-27,2022-04-27,BUY,TECL,39.023140864051506,930,18.14576050178395,bear_tqqq_oversold
2022-04-28,2022-04-28,SELL,TECL,41.290855430160015,930,19.20024777502441,bear_relative_inverse
2022-04-28,2022-04-28,BUY,TECS,3549.454305989583,10,17.747271529947916,bear_relative_inverse
