date,equity,holding
2023-10-10,24951.220036202783,TQQQ
2023-10-11,25455.46412342202,TQQQ
2023-10-12,25172.594250375147,TQQQ
2023-10-13,24268.651356393213,TQQQ
2023-10-16,25043.457478219385,TQQQ
2023-10-17,24815.93297260415,TQQQ
2023-10-18,23819.75505512368,TQQQ
2023-10-19,23217.128071481104,TQQQ
2023-10-20,22227.093189889307,TQQQ
2023-10-23,22411.570492440576,TQQQ
2023-10-24,23008.047184640283,TQQQ
2023-10-25,21437.56030353846,TECS
2023-10-26,22040.20026133594,TECL
2023-10-27,22373.17310069141,TECL
2023-10-30,22912.926995152724,BSV
2023-10-31,22907.144853965572,BSV
2023-11-01,22998.858017325925,BSV
2023-11-02,23081.166201045162,TQQQ
2023-11-03,23853.9981083175,TQQQ
2023-11-06,24113.62086336816,TQQQ
2023-11-07,24759.656010081417,TQQQ
2023-11-08,24801.922388484127,TQQQ
2023-11-09,24240.40812533105,TQQQ
2023-11-10,25780.03320734704,TQQQ
2023-11-13,25556.638098170406,TQQQ
2023-11-14,27090.222073008663,TQQQ
2023-11-15,27162.674990107662,TQQQ
2023-11-16,27204.938993861324,TQQQ
2023-11-17,27223.04806750024,TQQQ
2023-11-20,28152.860899378902,TQQQ
2023-11-21,27663.80667727197,TQQQ
2023-11-22,27971.732168604976,TQQQ
2023-11-24,27838.901424815303,TQQQ
2023-11-27,27760.412149836666,TQQQ
2023-11-28,27971.732168604976,TQQQ
2023-11-29,27875.131445338375,TQQQ
2023-11-30,27651.729212214595,TQQQ
2023-12-01,27875.131445338375,TQQQ
2023-12-04,27114.37462847436,TQQQ
2023-12-05,27301.54446642602,TQQQ
2023-12-06,26836.63805048669,TQQQ
2023-12-07,27911.351967265255,TQQQ
2023-12-08,28231.35017435754,TQQQ
2023-12-11,28919.656448771602,TQQQ
2023-12-12,29589.846525599605,TQQQ
2023-12-13,29742.489315444425,UVXY
2023-12-14,29578.739315444425,UVXY
2023-12-15,30940.46107833162,TQQQ
2023-12-18,31715.966394020677,UVXY
2023-12-19,32414.216394020677,UVXY
2023-12-20,35107.46639402068,UVXY
2023-12-21,34590.336538359334,TQQQ
2023-12-22,34721.450670286824,TQQQ
2023-12-26,35324.62804989498,TQQQ
2023-12-27,35501.64278225582,TQQQ
2023-12-28,35416.41127972286,TQQQ
2023-12-29,34950.922864958455,TQQQ
