date,equity,holding,branch,cash,shares
2026-01-02,24192.327864737446,TQQQ,bull_trend,1301.317404837544,439
2026-01-05,24738.91253957265,TQQQ,bull_trend,1301.317404837544,439
2026-01-06,25355.460829825337,TQQQ,bull_trend,1301.317404837544,439
2026-01-07,25425.424445242817,TQQQ,bull_trend,1301.317404837544,439
2026-01-08,24996.901068777974,TQQQ,bull_trend,1301.317404837544,439
2026-01-09,25683.41129979604,TQQQ,bull_trend,1301.317404837544,439
2026-01-12,25740.25736531728,TQQQ,bull_trend,1301.317404837544,439
2026-01-13,25613.45103368276,TQQQ,bull_trend,1301.317404837544,439
2026-01-14,24839.48712071889,TQQQ,bull_trend,1301.317404837544,439
2026-01-15,25079.983908743794,TQQQ,bull_trend,1301.317404837544,439
2026-01-16,24975.036810965474,TQQQ,bull_trend,1301.317404837544,439
2026-01-20,23483.95170125478,TQQQ,bull_trend,1301.317404837544,439
2026-01-21,24358.490195364888,TQQQ,bull_trend,1301.317404837544,439
2026-01-22,24870.094737143452,TQQQ,bull_trend,1301.317404837544,439
2026-01-23,25079.983908743794,TQQQ,bull_trend,1301.317404837544,439
2026-01-26,25386.071795554097,TQQQ,bull_trend,1301.317404837544,439
2026-01-27,26024.484343619282,TQQQ,bull_trend,1301.317404837544,439
2026-01-28,26251.863581747944,TQQQ,bull_trend,1301.317404837544,439
2026-01-29,25805.84846410268,TQQQ,bull_trend,1301.317404837544,439
2026-01-30,24913.821578116353,TQQQ,bull_trend,1301.317404837544,439
2026-02-02,25394.815154166157,TQQQ,bull_trend,1301.317404837544,439
2026-02-03,24266.662322134907,TQQQ,bull_trend,1301.317404837544,439
2026-02-04,23059.802516074116,TQQQ,bull_trend,1301.317404837544,439
2026-02-05,22132.79214772695,TQQQ,bull_trend,1301.317404837544,439
2026-02-06,23422.73646840566,TQQQ,bull_trend,1301.317404837544,439
2026-02-09,23925.594302267964,TQQQ,bull_trend,1301.317404837544,439
2026-02-10,23610.7597075414,TQQQ,bull_trend,1301.317404837544,439
2026-02-11,23776.923712820942,TQQQ,bull_trend,1301.317404837544,439
2026-02-12,22403.89822682851,TQQQ,bull_trend,1301.317404837544,439
2026-02-13,22495.72610005849,TQQQ,bull_trend,1301.317404837544,439
2026-02-17,22443.25255116933,TQQQ,bull_trend,1301.317404837544,439
2026-02-18,22898.012702078755,TQQQ,bull_trend,1301.317404837544,439
2026-02-19,22653.143397421773,TQQQ,bull_trend,1301.317404837544,439
2026-02-20,23190.983038992817,TQQQ,bull_trend,1301.317404837544,439
2026-02-23,22395.15319356435,TQQQ,bull_trend,1301.317404837544,439
2026-02-24,23068.547549338276,TQQQ,bull_trend,1301.317404837544,439
2026-02-25,23982.438693137105,TQQQ,bull_trend,1301.317404837544,439
2026-02-26,23186.608847708638,TQQQ,bull_trend,1301.317404837544,439
2026-02-27,22954.858767599995,TQQQ,bull_trend,1301.317404837544,439
2026-03-02,23033.567416281636,TQQQ,bull_trend,1301.317404837544,439
2026-03-03,22333.93628606313,TQQQ,bull_trend,1301.317404837544,439
2026-03-04,23278.43504628652,TQQQ,bull_trend,1301.317404837544,439
2026-03-05,23077.292582602437,TQQQ,bull_trend,1301.317404837544,439
2026-03-06,22089.065306754048,TQQQ,bull_trend,1301.317404837544,439
2026-03-09,22898.012702078755,TQQQ,bull_trend,1301.317404837544,439
2026-03-10,22902.385218710835,TQQQ,bull_trend,1301.317404837544,439
2026-03-11,22880.520960898335,TQQQ,bull_trend,1301.317404837544,439
2026-03-12,21778.606577963765,TQQQ,bull_trend,1301.317404837544,439
2026-03-13,21385.06333455556,TQQQ,bull_trend,1301.317404837544,439
2026-03-16,22054.083499045308,TQQQ,bull_trend,1301.317404837544,439
2026-03-17,22360.17306050771,TQQQ,bull_trend,1301.317404837544,439
2026-03-18,21459.397791953023,TQQQ,bull_trend,1301.317404837544,439
2026-03-19,21280.11791142934,TQQQ,bull_trend,1301.317404837544,439
2026-03-20,20138.84920415395,TQQQ,bull_trend,1301.317404837544,439
2026-03-23,20775.973991238887,SPXL,bear_spy_oversold,1186.30629714709,103
2026-03-24,20378.916940806626,TECS,bear_relative_inverse,1184.9173070175639,99
2026-03-25,20123.650842784165,TECS,bear_relative_inverse,1184.9173070175639,99
