date,signal_date,action,symbol,price,shares,fee,branch
2012-01-03,2011-12-30,BUY,TQQQ,0.3555669228960737,66761,11.869001669732388,bull_trend
2012-02-03,2012-02-02,SELL,TQQQ,0.4542363478353358,66761,15.162636408917425,bull_overbought
2012-02-03,2012-02-02,BUY,UVXY,83550003200.0,0,0.0,bull_overbought
2012-02-13,2012-02-10,SELL,UVXY,97199996928.0,0,0.0,bull_trend
2012-02-13,2012-02-10,BUY,TQQQ,0.4794354584703209,62505,14.983556665843704,bull_trend
2012-02-15,2012-02-14,SELL,TQQQ,0.4927527944253448,62505,15.39975670777809,bull_overbought
2012-02-15,2012-02-14,BUY,UVXY,99599998976.0,0,0.0,bull_overbought
2012-02-16,2012-02-15,SELL,UVXY,113700003840.0,0,0.0,bull_trend
2012-02-16,2012-02-15,BUY,TQQQ,0.4763663023920467,64506,15.364242351050681,bull_trend
2012-03-27,2012-03-26,SELL,TQQQ,0.6081071710202057,64506,19.613280586914694,bull_overbought
2012-03-27,2012-03-26,BUY,UVXY,32849999872.0,0,0.0,bull_overbought
2012-03-29,2012-03-28,SELL,UVXY,43475001344.0,0,0.0,bull_trend
2012-03-29,2012-03-28,BUY,TQQQ,0.5941454654419445,65244,19.38221337364711,bull_trend
2012-08-21,2012-08-20,SELL,TQQQ,0.5998393052418034,65244,19.56795781559811,bull_overbought
2012-08-21,2012-08-20,BUY,UVXY,12275000320.0,0,0.0,bull_overbought
2012-08-22,2012-08-21,SELL,UVXY,13699999744.0,0,0.0,bull_trend
2012-08-22,2012-08-21,BUY,TQQQ,0.5828083690178866,67055,19.540107592247193,bull_trend
2012-09-17,2012-09-14,SELL,TQQQ,0.6402378000100548,67055,21.465572839837115,bull_overbought
2012-09-17,2012-09-14,BUY,UVXY,8482500096.0,0,0.0,bull_overbought
2012-09-18,2012-09-17,SELL,UVXY,8142499840.0,0,0.0,bull_trend
2012-09-18,2012-09-17,BUY,TQQQ,0.6344946071734437,67294,21.348840047564863,bull_trend
2012-11-15,2012-11-14,SELL,TQQQ,0.4440872525331526,67294,14.942203785982988,bear_tqqq_oversold
2012-11-15,2012-11-14,BUY,TECL,0.9769362796424207,31217,15.248509920798725,bear_tqqq_oversold
2012-11-20,2012-11-19,SELL,TECL,1.0357660141141742,31217,16.16675383130109,bull_trend
2012-11-20,2012-11-19,BUY,TQQQ,0.47596981280006045,67674,16.105390555715644,bull_trend
2013-01-28,2013-01-25,SELL,TQQQ,0.5551831857743276,67674,18.78573345704592,bull_overbought
2013-01-28,2013-01-25,BUY,UVXY,2624999936.0,0,0.0,bull_overbought
2013-01-29,2013-01-28,SELL,UVXY,2862500096.0,0,0.0,bull_trend
2013-01-29,2013-01-28,BUY,TQQQ,0.5561727074424683,67008,18.634010390152458,bull_trend
2013-01-30,2013-01-29,SELL,TQQQ,0.5621137710301254,67008,18.833059784593324,bull_overbought
2013-01-30,2013-01-29,BUY,UVXY,2740000000.0,0,0.0,bull_overbought
2013-01-31,2013-01-30,SELL,UVXY,2982500096.0,0,0.0,bull_trend
2013-01-31,2013-01-30,BUY,TQQQ,0.5544893875717545,67828,18.80495309010848,bull_trend
2013-05-20,2013-05-17,SELL,TQQQ,0.7413330204197524,67828,25.141568054515485,bull_overbought
2013-05-20,2013-05-17,BUY,UVXY,1450000000.0,0,0.0,bull_overbought
2013-05-21,2013-05-20,SELL,UVXY,1440000000.0,0,0.0,bull_trend
2013-05-21,2013-05-20,BUY,TQQQ,0.7433129590546652,66731,24.801008535338433,bull_trend
2014-06-09,2014-06-06,SELL,TQQQ,1.423057746036822,66731,47.481033225391585,bull_overbought
2014-06-09,2014-06-06,BUY,UVXY,188687504.0,0,0.0,bull_overbought
2014-06-12,2014-06-11,SELL,UVXY,198812496.0,0,0.0,bull_trend
