date,equity,holding
2023-10-10,24616.94201582119,TQQQ
2023-10-11,25114.02806394741,TQQQ
2023-10-12,24835.173693830224,TQQQ
2023-10-13,23944.062796766015,TQQQ
2023-10-16,24707.870093518944,TQQQ
2023-10-17,24483.57543104336,TQQQ
2023-10-18,23501.538840467187,TQQQ
2023-10-19,22907.46649854824,TQQQ
2023-10-20,21931.48573988125,TQQQ
2023-10-23,22113.344279462548,TQQQ
2023-10-24,22701.35363691494,TQQQ
2023-10-25,21131.305304700585,TQQQ
2023-10-26,20419.049155814173,TECS
2023-10-27,19047.776092762342,TECL
2023-10-30,19636.652412376632,SPXL
2023-10-31,19222.744835846577,TECS
2023-11-01,18238.065148346577,TECS
2023-11-02,17780.941542535802,TQQQ
2023-11-03,18376.860121637365,TQQQ
2023-11-06,18577.051161676427,TQQQ
2023-11-07,19075.19874468424,TQQQ
2023-11-08,19107.789687067052,TQQQ
2023-11-09,18674.814833551427,TQQQ
2023-11-10,19861.99561968424,TQQQ
2023-11-13,19689.739149957677,TQQQ
2023-11-14,20872.26173296549,TQQQ
2023-11-15,20928.129042535802,TQQQ
2023-11-16,20960.718153863927,TQQQ
2023-11-17,20974.681776910802,TQQQ
2023-11-20,21691.645888238927,TQQQ
2023-11-21,21314.543837457677,TQQQ
2023-11-22,21551.980360895177,TQQQ
2023-11-24,21449.55665484049,TQQQ
2023-11-27,21389.034804254552,TQQQ
2023-11-28,21551.980360895177,TQQQ
2023-11-29,21477.493056207677,TQQQ
2023-11-30,21305.231093317052,TQQQ
2023-12-01,21477.493056207677,TQQQ
2023-12-04,20890.885390192052,TQQQ
2023-12-05,21035.209120660802,TQQQ
2023-12-06,20676.72706499674,TQQQ
2023-12-07,21505.422133356115,TQQQ
2023-12-08,21752.167738824865,TQQQ
2023-12-11,22282.909926324865,TQQQ
2023-12-12,22799.682997613927,TQQQ
2023-12-13,23572.51075640299,TQQQ
2023-12-14,23254.95653205654,UVXY
2023-12-15,24310.70653205654,UVXY
2023-12-18,24387.95653205654,UVXY
2023-12-19,24928.70653205654,UVXY
2023-12-20,27014.45653205654,UVXY
2023-12-21,26686.45157712793,TQQQ
2023-12-22,26787.5633668313,TQQQ
2023-12-26,27252.717987955566,TQQQ
2023-12-27,27389.22712034082,TQQQ
2023-12-28,27323.49881452417,TQQQ
2023-12-29,26964.526322306152,TQQQ
2024-01-02,25665.145485819336,TQQQ
2024-01-03,24886.526696146484,TQQQ
2024-01-04,24492.158841074463,TQQQ
2024-01-05,24578.10910886621,TQQQ
2024-01-08,25978.61361402368,TQQQ
2024-01-09,26140.40316861963,TQQQ
2024-01-10,26630.834252298828,TQQQ
2024-01-11,26752.173943460937,TQQQ
2024-01-12,26782.512825907226,TQQQ
2024-01-16,26767.34338468408,TQQQ
2024-01-17,26327.47512525415,TQQQ
2024-01-18,27399.33810132837,TQQQ
2024-01-19,28906.016816080566,TQQQ
2024-01-22,29017.247506083007,TQQQ
2024-01-23,29345.88705533838,TQQQ
2024-01-24,29805.98123639917,TQQQ
2024-01-25,29886.878983438964,TQQQ
2024-01-26,29361.05253690576,TQQQ
2024-01-29,30185.179650248047,TQQQ
2024-01-30,29608.79631894922,TQQQ
2024-01-31,27945.38453000879,TQQQ
2024-02-01,28885.792874277588,TQQQ
2024-02-02,30271.127938211914,TQQQ
2024-02-05,30124.50584501123,TQQQ
2024-02-06,29957.657830179687,TQQQ
2024-02-07,30812.11788648462,TQQQ
2024-02-08,30933.45955747461,TQQQ
2024-02-09,31803.087075174804,TQQQ
2024-02-12,31444.112603128906,TQQQ
2024-02-13,30018.329655588623,TQQQ
2024-02-14,30928.401097239013,TQQQ
2024-02-15,31176.14487928247,TQQQ
2024-02-16,30357.082165659423,TQQQ
2024-02-20,29684.6375855813,TQQQ
2024-02-21,29330.723553598877,TQQQ
2024-02-22,31752.524250925537,TQQQ
2024-02-23,31474.451485575195,TQQQ
2024-02-26,31434.003601969238,TQQQ
2024-02-27,31621.071598947998,TQQQ
2024-02-28,31130.64447492456,TQQQ
2024-02-29,31848.591439188476,TQQQ
2024-03-01,33249.09198469018,TQQQ
2024-03-04,32869.897530497066,TQQQ
2024-03-05,31181.203339518066,TQQQ
2024-03-06,31732.30426877832,TQQQ
2024-03-07,33087.302430094234,TQQQ
2024-03-08,31696.910885752197,TQQQ
2024-03-11,31342.994873941894,TQQQ
2024-03-12,32617.097268045898,TQQQ
2024-03-13,31889.037342966552,TQQQ
2024-03-14,31641.295540750976,TQQQ
2024-03-15,30534.039181650634,TQQQ
2024-03-18,31358.160355509277,TQQQ
2024-03-19,31565.458233774658,TQQQ
2024-03-20,32638.653634012695,TQQQ
2024-03-21,33044.58764356469,TQQQ
2024-03-22,33110.55352872705,TQQQ
2024-03-25,32785.80236142968,TQQQ
2024-03-26,32491.49896711206,TQQQ
2024-03-27,32765.501206339355,TQQQ
2024-03-28,32567.611470163818,TQQQ
2024-04-01,32760.428887308593,TQQQ
2024-04-02,31918.10913556909,TQQQ
2024-04-03,32121.083069742675,TQQQ
2024-04-04,30669.855374277588,TQQQ
2024-04-05,31704.996502817627,TQQQ
2024-04-08,31725.291718424316,TQQQ
2024-04-09,32039.894288004394,TQQQ
2024-04-10,31233.09462827539,TQQQ
2024-04-11,32638.653634012695,TQQQ
2024-04-12,31126.538311899658,TQQQ
2024-04-15,29629.641926706787,TQQQ
2024-04-16,29634.71622556543,TQQQ
2024-04-17,28584.358139933105,TQQQ
2024-04-18,28097.235348642822,TQQQ
2024-04-19,26437.96733945703,TQQQ
2024-04-22,27168.652516306396,TQQQ
2024-04-23,28320.498558939453,TQQQ
2024-04-24,28584.358139933105,TQQQ
2024-04-25,28147.976357401367,TQQQ
2024-04-26,29381.007222116943,TQQQ
2024-04-29,29715.90698713159,TQQQ
2024-04-30,28092.1590699563,TQQQ
2024-05-01,27513.69889921045,TQQQ
2024-05-02,28482.872162760254,TQQQ
2024-05-03,30101.549740732666,TQQQ
2024-05-06,31045.345570505615,TQQQ
2024-05-07,31045.345570505615,TQQQ
2024-05-08,30989.53224271631,TQQQ
2024-05-09,31151.90980619287,TQQQ
2024-05-10,31354.87384122705,TQQQ
2024-05-13,31552.773476541992,TQQQ
2024-05-14,32116.008770884033,TQQQ
2024-05-15,33536.78869336938,TQQQ
2024-05-16,33338.8930177102,TQQQ
2024-05-17,33267.850853861324,TQQQ
2024-05-20,33927.497826517574,TQQQ
2024-05-21,34094.94572919702,TQQQ
2024-05-22,34074.65249341821,TQQQ
2024-05-23,33587.529702127926,TQQQ
2024-05-24,34490.73906034326,TQQQ
2024-05-28,34851.00833982324,TQQQ
2024-05-29,34150.76895612573,TQQQ
2024-05-30,33095.32865232324,TQQQ
2024-05-31,33059.80856031274,TQQQ
2024-06-03,33369.332871378414,TQQQ
2024-06-04,33607.824917734615,TQQQ
2024-06-05,35556.31806272363,TQQQ
2024-06-06,35515.73555082177,TQQQ
2024-06-07,35388.872139872066,TQQQ
2024-06-10,35749.137459696285,TQQQ
2024-06-11,36459.53138059472,TQQQ
2024-06-12,37844.789231241695,TQQQ
2024-06-13,38428.32370084619,TQQQ
2024-06-14,37881.97136280826,UVXY
2024-06-17,37561.87180683902,UVXY
2024-06-18,37358.17047474674,UVXY
2024-06-20,39075.0709187775,UVXY
2024-06-21,38145.88594140549,TQQQ
2024-06-24,36918.92187585373,TQQQ
2024-06-25,38087.454377074435,TQQQ
2024-06-26,38313.7489327385,TQQQ
2024-06-27,38577.68072595139,TQQQ
2024-06-28,38000.94876184006,TQQQ
2024-07-01,38592.34275903244,TQQQ
2024-07-02,39716.46362390061,TQQQ
2024-07-03,40645.09578027268,TQQQ
2024-07-05,41818.09262170334,TQQQ
2024-07-08,42377.66440197928,UVXY
2024-07-09,42377.66440197928,UVXY
2024-07-10,42228.46383282645,UVXY
2024-07-11,42414.96383282645,UVXY
2024-07-12,40165.30611134382,TQQQ
2024-07-15,40448.830967911206,TQQQ
2024-07-16,40477.194474228345,TQQQ
2024-07-17,37098.403264053784,TQQQ
2024-07-18,36573.860238083325,TQQQ
2024-07-19,35638.19514942976,TQQQ
2024-07-22,37103.127453812085,TQQQ
2024-07-23,36725.085740097486,TQQQ
2024-07-24,32987.14590168806,TQQQ
2024-07-25,31956.971302994214,TQQQ
2024-07-26,32812.30128765913,TQQQ
2024-07-29,32991.877438553296,TQQQ
2024-07-30,31730.14223385664,TQQQ
2024-07-31,34324.4883470616,TQQQ
2024-08-01,31999.501868256055,TQQQ
2024-08-02,29816.285164841138,TQQQ
2024-08-05,27396.783665665112,TQQQ
2024-08-06,28030.012444504224,TQQQ
2024-08-07,27193.586565979444,TQQQ
2024-08-08,29494.94107533308,TQQQ
2024-08-09,29868.262272842847,TQQQ
2024-08-12,30057.286803253613,TQQQ
2024-08-13,32094.015051849805,TQQQ
2024-08-14,32145.993996628247,TQQQ
2024-08-15,34409.542130478345,TQQQ
2024-08-16,34494.60693455549,TQQQ
2024-08-19,35751.61243916365,TQQQ
2024-08-20,35543.689312942945,TQQQ
2024-08-21,36002.06429386946,TQQQ
2024-08-22,34371.73391819807,TQQQ
2024-08-23,35387.74329472395,TQQQ
2024-08-26,34409.542130478345,TQQQ
2024-08-27,34683.63330174299,TQQQ
2024-08-28,33577.8422784886,TQQQ
2024-08-29,33412.444207199536,TQQQ
2024-08-30,34480.42701817366,TQQQ
2024-09-03,31522.217270859204,TQQQ
2024-09-04,31271.759905823194,TQQQ
2024-09-05,31366.274926193677,TQQQ
2024-09-06,28989.30766583296,TQQQ
2024-09-09,29991.12977887007,TQQQ
2024-09-10,30742.498200424634,TQQQ
2024-09-11,32571.294138916455,TQQQ
2024-09-12,33473.884388931714,TQQQ
2024-09-13,33885.00645161482,TQQQ
2024-09-16,33459.70447254988,TQQQ
2024-09-17,33478.60490513655,TQQQ
2024-09-18,33067.48284245344,TQQQ
2024-09-19,35411.36791706892,TQQQ
2024-09-20,35198.72060108992,TQQQ
2024-09-23,35444.451939590894,TQQQ
2024-09-24,35917.00683689924,TQQQ
2024-09-25,36035.523018845044,TQQQ
2024-09-26,36756.12726689192,TQQQ
2024-09-27,36158.78910542341,TQQQ
2024-09-30,36424.27314091536,TQQQ
2024-10-01,34968.84064579817,TQQQ
2024-10-02,35092.110405930005,TQQQ
2024-10-03,35016.25887394758,TQQQ
2024-10-04,36177.755661972486,TQQQ
2024-10-07,35054.18096638533,TQQQ
2024-10-08,36485.90434742781,TQQQ
2024-10-09,37315.54700947615,TQQQ
2024-10-10,37192.28092289778,TQQQ
2024-10-11,37282.360127457105,TQQQ
2024-10-14,38183.1044168553,TQQQ
2024-10-15,36741.910614975415,TQQQ
2024-10-16,36722.94405842634,TQQQ
2024-10-17,36827.23991490217,TQQQ
2024-10-18,37443.540959366284,TQQQ
2024-10-21,37637.91602040144,TQQQ
2024-10-22,37742.21555043074,TQQQ
2024-10-23,36092.41534138533,TQQQ
2024-10-24,36903.091446884595,TQQQ
2024-10-25,37490.951840408765,TQQQ
2024-10-28,37524.13504887434,TQQQ
2024-10-29,38505.480774887525,TQQQ
2024-10-30,37694.80466938826,TQQQ
2024-10-31,34983.06831837507,TQQQ
2024-11-01,35684.70968342634,TQQQ
2024-11-04,35371.82211399885,TQQQ
2024-11-05,36637.61108494612,TQQQ
2024-11-06,39444.16185093733,TQQQ
2024-11-07,41193.5190324864,TQQQ
2024-11-08,41288.32977391096,TQQQ
2024-11-11,41217.21712590071,TQQQ
2024-11-12,41003.87918186995,TQQQ
2024-11-13,40833.216908462964,TQQQ
2024-11-14,40013.05201435896,TQQQ
2024-11-15,37268.1324548802,TQQQ
2024-11-18,37979.251587875806,TQQQ
2024-11-19,38699.85583592268,TQQQ
2024-11-20,38657.187512405835,TQQQ
2024-11-21,39017.48963642927,TQQQ
2024-11-22,39154.97604847761,TQQQ
2024-11-25,39325.638321884595,TQQQ
2024-11-26,39904.01727391096,TQQQ
2024-11-27,38989.04898548933,TQQQ
2024-11-29,39932.4579248509,TQQQ
2024-12-02,41160.335824020825,TQQQ
2024-12-03,41506.41027546736,TQQQ
2024-12-04,42947.611424454175,TQQQ
2024-12-05,42611.01106739851,TQQQ
2024-12-06,43653.99167347761,TQQQ
2024-12-09,42682.12738896223,TQQQ
2024-12-10,42241.234848984204,TQQQ
2024-12-11,44388.81624699446,TQQQ
2024-12-12,43549.68846989485,TQQQ
2024-12-13,44440.96233845564,TQQQ
2024-12-16,46285.137608536206,TQQQ
2024-12-17,45692.530983932935,TQQQ
2024-12-18,40975.438530930005,TQQQ
2024-12-19,40425.50022984358,TQQQ
2024-12-20,41421.077301987134,TQQQ
2024-12-23,42517.46035481306,TQQQ
2024-12-24,44125.17266178938,TQQQ
2024-12-26,44034.79957295271,TQQQ
2024-12-27,42327.19967366072,TQQQ
2024-12-30,40709.96918965193,TQQQ
2024-12-31,39696.821511276685,TQQQ
2025-01-02,39458.995659836255,TQQQ
2025-01-03,41252.21506977888,TQQQ
2025-01-06,42588.804436691724,TQQQ
2025-01-07,40405.55283451887,TQQQ
2025-01-08,40434.08899784895,TQQQ
2025-01-10,38602.815247543775,TQQQ
2025-01-13,38222.29388523909,TQQQ
2025-01-14,38093.86645603987,TQQQ
2025-01-15,40529.21933842512,TQQQ
2025-01-16,39744.39035511824,TQQQ
2025-01-17,41604.20394230696,TQQQ
2025-01-21,42260.60916996809,TQQQ
2025-01-22,43820.75630665632,TQQQ
2025-01-23,44077.61116505476,TQQQ
2025-01-24,43321.318345077954,TQQQ
2025-01-27,39701.57876301619,TQQQ
2025-01-28,41371.131669052564,TQQQ
2025-01-29,41128.544892319165,TQQQ
2025-01-30,41618.46835041853,TQQQ
2025-01-31,41404.425084122144,TQQQ
2025-02-03,40453.110657700025,TQQQ
2025-02-04,41846.78704548689,TQQQ
2025-02-05,42365.2503404698,TQQQ
2025-02-06,42969.32579899641,TQQQ
2025-02-07,41409.182335861646,TQQQ
2025-02-10,42793.34422016951,TQQQ
2025-02-11,42503.188599594556,TQQQ
2025-02-12,42584.054532059155,TQQQ
2025-02-13,44291.65443135115,TQQQ
2025-02-14,44786.33146763655,TQQQ
2025-02-18,45052.704503067456,TQQQ
2025-02-19,45057.45808125349,TQQQ
2025-02-20,44534.23753453108,TQQQ
2025-02-21,41875.32320881697,TQQQ
2025-02-24,40443.59615422102,TQQQ
2025-02-25,38978.586705215894,TQQQ
2025-02-26,39216.41255665632,TQQQ
2025-02-27,36134.165276535474,TQQQ
2025-02-28,37694.31608677717,TQQQ
2025-03-03,35392.13686467024,TQQQ
2025-03-04,35025.890931137525,TQQQ
2025-03-05,36310.15787602278,TQQQ
2025-03-06,33470.49737263533,TQQQ
2025-03-07,34122.14534855696,TQQQ
2025-03-10,30507.164855011426,TQQQ
2025-03-11,30096.835230715318,TECL
2025-03-12,31449.6445492578,TECL
2025-03-13,29773.844805605455,TECL
2025-03-14,32189.247557528062,TECL
2025-03-17,31990.135819893363,BSV
2025-03-18,32017.408285793284,BSV
2025-03-19,32064.166040733304,BSV
2025-03-20,32083.641867833107,BSV
2025-03-21,32103.127156873208,BSV
2025-03-24,32032.992101453226,BSV
2025-03-25,32187.435897218726,TQQQ
2025-03-26,30488.398608552954,TQQQ
2025-03-27,30476.983707548894,BSV
2025-03-28,30551.12030631949,BSV
2025-03-31,30565.944625199343,BSV
2025-04-01,30595.704295306936,BSV
2025-04-02,30577.101875724707,BSV
2025-04-03,30718.428049337388,BSV
