date,time,action,symbol,price,shares,fee,branch
2023-10-10,11:30,BUY,TQQQ,18.977551102392436,1250,11.860969438995273,bull_trend
2023-10-26,11:30,SELL,TQQQ,15.164659666859814,1250,9.477912291787383,bear_relative_inverse
2023-10-26,11:30,BUY,TECS,1544.7091812225565,12,9.268255087335339,bear_relative_inverse
2023-10-27,11:30,SELL,TECS,1491.505753866792,12,8.949034523200753,bear_tqqq_oversold
2023-10-27,11:30,BUY,TECL,38.42063757789349,483,9.278583975061277,bear_tqqq_oversold
2023-10-30,11:30,SELL,TECL,37.908859401902355,483,9.154989545559419,bear_spy_oversold
2023-10-30,11:30,BUY,SPXL,67.73367361246135,270,9.144045937682282,bear_spy_oversold
2023-10-31,11:30,SELL,SPXL,69.07020419689584,270,9.32447756658094,bear_relative_inverse
2023-10-31,11:30,BUY,TECS,1487.898616839152,12,8.927391701034912,bear_relative_inverse
2023-11-02,11:30,SELL,TECS,1320.1718636681928,12,7.921031182009157,bull_trend
2023-11-02,11:30,BUY,TQQQ,17.41001909849784,960,8.356809167278964,bull_trend
2023-12-14,11:30,SELL,TQQQ,23.651437418222407,960,11.352689960746755,bull_overbought
2023-12-14,11:30,BUY,UVXY,217.24998474121094,103,11.188374214172363,bull_overbought
2023-12-21,11:30,SELL,UVXY,245.40499877929688,103,12.63835743713379,bull_trend
2023-12-21,11:30,BUY,TQQQ,24.18877553568892,1038,12.55397450302255,bull_trend
2024-06-14,11:30,SELL,TQQQ,35.893421601873264,1038,18.628685811372222,bull_overbought
2024-06-14,11:30,BUY,UVXY,125.44999694824219,291,18.25297455596924,bull_overbought
2024-06-21,11:30,SELL,UVXY,124.6500015258789,291,18.13657522201538,bull_trend
2024-06-21,11:30,BUY,TQQQ,36.506871839095645,996,18.18042217586963,bull_trend
2024-07-08,11:30,SELL,TQQQ,40.32196820657938,996,20.08034016687653,bull_overbought
2024-07-08,11:30,BUY,UVXY,106.94999694824219,373,19.94617443084717,bull_overbought
2024-07-12,11:30,SELL,UVXY,103.66950225830078,373,19.334362171173098,bull_trend
2024-07-12,11:30,BUY,TQQQ,40.20915475396411,963,19.360708014033715,bull_trend
2025-03-11,11:30,SELL,TQQQ,29.374015547106318,963,14.143588485931692,bear_tqqq_oversold
2025-03-11,11:30,BUY,TECL,57.44277370115622,501,14.389414812139634,bear_tqqq_oversold
2025-03-17,11:30,SELL,TECL,61.11470504441184,501,15.309233613625167,bear_relative_bond
2025-03-17,11:30,BUY,BSV,73.94946197392325,412,15.23358916662819,bear_relative_bond
2025-03-25,11:30,SELL,BSV,74.03486320783297,412,15.251181820813592,bull_trend
2025-03-25,11:30,BUY,TQQQ,33.184683408605785,919,15.248362026254359,bull_trend
2025-03-27,11:30,SELL,TQQQ,31.509116526624346,919,14.478439043983888,bear_relative_bond
2025-03-27,11:30,BUY,BSV,74.01588193841604,392,14.507112859929544,bear_relative_bond
2025-04-04,11:30,SELL,BSV,74.80975720303944,392,14.66271241179573,bear_tqqq_oversold
2025-04-04,11:30,BUY,TECL,39.276800290168275,746,14.650246508232767,bear_tqqq_oversold
2025-04-10,11:30,SELL,TECL,41.46977855327445,746,15.46822740037137,bear_relative_bond
2025-04-10,11:30,BUY,BSV,74.30534554656968,414,15.381206528139925,bear_relative_bond
2025-04-14,11:30,SELL,BSV,74.20073759178186,414,15.359552681498844,bear_relative_inverse
2025-04-14,11:30,BUY,TECS,541.3208127785447,56,15.156982757799252,bear_relative_inverse
