date,qqq_close,cash,qqq_shares,open_spreads,equity
2013-01-02,67.2,12330.0,0,0,12330.0
2013-01-03,66.8521,12330.0,0,0,12330.0
2013-01-04,66.63,12167.0,0,1,12277.0
2013-01-07,66.6504,12167.0,0,1,12267.0
2013-01-08,66.52,12167.0,0,1,12247.0
2013-01-09,66.77,12167.0,0,1,12257.0
2013-01-10,67.17,12167.0,0,1,12287.0
2013-01-11,67.26,12014.0,0,2,12264.0
2013-01-14,66.96,12014.0,0,2,12174.0
2013-01-15,66.63,12014.0,0,2,12124.0
2013-01-16,66.9,12014.0,0,2,12124.0
2013-01-17,67.22,12014.0,0,2,12174.0
2013-01-18,67.07,11711.0,0,3,12061.0
2013-01-22,67.18,11711.0,0,3,12011.0
2013-01-23,67.59,11711.0,0,3,12181.0
2013-01-24,66.66,11695.0,0,1,11805.0
2013-01-25,67.0,11695.0,0,1,11835.0
2013-01-28,67.15,11695.0,0,1,11845.0
2013-01-29,67.16,11695.0,0,1,11835.0
2013-01-30,67.02,11695.0,0,1,11815.0
2013-01-31,66.87,11695.0,0,1,11795.0
2013-02-01,67.66,11352.0,0,2,11812.0
2013-02-04,66.48,11352.0,0,2,11492.0
2013-02-05,67.46,11352.0,0,2,11712.0
2013-02-06,67.24,11352.0,0,2,11592.0
2013-02-07,67.3,11352.0,0,2,11592.0
2013-02-08,67.99,11352.0,0,2,11832.0
2013-02-11,68.01,11352.0,0,2,11772.0
2013-02-12,67.73,11352.0,0,2,11622.0
2013-02-13,67.97,11352.0,0,2,11692.0
2013-02-14,67.95,11352.0,0,2,11582.0
2013-02-15,67.75,11106.0,0,2,11416.0
2013-02-19,68.24,11106.0,0,2,11516.0
2013-02-20,67.19,11123.0,0,1,11223.0
2013-02-21,66.47,11123.0,0,1,11173.0
2013-02-22,67.139,10830.0,0,2,11170.0
2013-02-25,66.31,10830.0,0,2,11080.0
2013-02-26,66.56,10830.0,0,2,11080.0
2013-02-27,67.239,10830.0,0,2,11170.0
2013-02-28,67.1,10830.0,0,2,11110.0
2013-03-01,67.38,10637.0,0,3,11057.0
2013-03-04,67.68,10637.0,0,3,11107.0
2013-03-05,68.68,10637.0,0,3,11637.0
2013-03-06,68.51,10637.0,0,3,11497.0
2013-03-07,68.69,10637.0,0,3,11587.0
2013-03-08,68.77,10637.0,0,3,11557.0
2013-03-11,68.97,10637.0,0,3,11667.0
2013-03-12,68.72,10637.0,0,3,11447.0
2013-03-13,68.63,10637.0,0,3,11347.0
2013-03-14,68.86,10637.0,0,3,11397.0
2013-03-15,68.51,10334.0,0,4,11144.0
2013-03-18,68.36,10361.0,0,3,11061.0
2013-03-19,68.23,10361.0,0,3,11011.0
2013-03-20,68.709,10361.0,0,3,11071.0
2013-03-21,67.93,10361.0,0,3,10731.0
2013-03-22,68.59,10198.0,0,4,10948.0
2013-03-25,68.34,10198.0,0,4,10628.0
2013-03-26,68.71,10198.0,0,4,10748.0
2013-03-27,68.801,10198.0,0,4,10768.0
2013-03-28,68.97,9932.0,0,4,10642.0
2013-04-01,68.5,9932.0,0,4,10282.0
2013-04-02,69.04,9932.0,0,4,10552.0
2013-04-03,68.41,9939.0,0,3,10239.0
2013-04-04,68.43,9939.0,0,3,10209.0
2013-04-05,67.861,9936.0,0,2,10036.0
2013-04-08,68.22,9936.0,0,2,10036.0
2013-04-09,68.68,9936.0,0,2,10126.0
2013-04-10,70.015,9936.0,0,2,10736.0
2013-04-11,69.99,9936.0,0,2,10676.0
