date,from_symbol,to_symbol,fee
2012-01-03,CASH,QQQ,0.0
2012-02-01,QQQ,UVXY,0.0
2012-02-10,UVXY,QQQ,0.0
2012-02-13,QQQ,UVXY,0.0
2012-02-15,UVXY,QQQ,0.0
2012-02-28,QQQ,UVXY,0.0
2012-02-29,UVXY,QQQ,0.0
2012-03-06,QQQ,XLU,0.0
2012-03-07,XLU,QQQ,0.0
2012-03-19,QQQ,UVXY,0.0
2012-03-22,UVXY,QQQ,0.0
2012-03-26,QQQ,UVXY,0.0
2012-03-28,UVXY,QQQ,0.0
2012-04-09,QQQ,XLU,0.0
2012-04-17,XLU,QQQ,0.0
2012-04-18,QQQ,XLU,0.0
2012-04-26,XLU,QQQ,0.0
2012-05-04,QQQ,XLU,0.0
2012-05-14,XLU,TQQQ,0.0
2012-05-21,TQQQ,XLU,0.0
2012-06-01,XLU,TQQQ,0.0
2012-06-04,TQQQ,XLU,0.0
2012-06-14,XLU,QQQ,0.0
2012-06-25,QQQ,XLU,0.0
2012-06-26,XLU,QQQ,0.0
2012-07-24,QQQ,XLU,0.0
2012-07-26,XLU,QQQ,0.0
2012-08-16,QQQ,UVXY,0.0
2012-08-21,UVXY,QQQ,0.0
2012-10-10,QQQ,TQQQ,0.0
2012-10-15,TQQQ,XLU,0.0
2012-10-16,XLU,QQQ,0.0
2012-10-19,QQQ,TQQQ,0.0
2012-10-22,TQQQ,XLU,0.0
2012-10-23,XLU,TQQQ,0.0
2012-10-26,TQQQ,XLU,0.0
2012-10-31,XLU,TQQQ,0.0
2012-11-01,TQQQ,XLU,0.0
2012-11-08,XLU,TQQQ,0.0
2012-11-19,TQQQ,XLU,0.0
2012-11-23,XLU,QQQ,0.0
2012-11-27,QQQ,XLU,0.0
2012-11-28,XLU,QQQ,0.0
2012-12-28,QQQ,XLU,0.0
2012-12-31,XLU,QQQ,0.0
2013-02-25,QQQ,XLU,0.0
2013-02-27,XLU,QQQ,0.0
2013-04-15,QQQ,XLU,0.0
2013-04-16,XLU,QQQ,0.0
2013-04-17,QQQ,XLU,0.0
2013-04-22,XLU,QQQ,0.0
2013-05-15,QQQ,UVXY,0.0
2013-05-16,UVXY,QQQ,0.0
2013-05-17,QQQ,UVXY,0.0
2013-05-20,UVXY,QQQ,0.0
2013-05-21,QQQ,UVXY,0.0
2013-05-22,UVXY,QQQ,0.0
2013-06-05,QQQ,XLU,0.0
2013-06-07,XLU,QQQ,0.0
2013-06-11,QQQ,XLU,0.0
2013-06-13,XLU,QQQ,0.0
2013-06-14,QQQ,XLU,0.0
2013-06-17,XLU,QQQ,0.0
2013-06-19,QQQ,XLU,0.0
2013-06-24,XLU,TQQQ,0.0
2013-06-25,TQQQ,XLU,0.0
2013-07-05,XLU,QQQ,0.0
2013-08-15,QQQ,XLU,0.0
2013-09-09,XLU,QQQ,0.0
2013-10-07,QQQ,XLU,0.0
2013-10-10,XLU,QQQ,0.0
2013-12-11,QQQ,XLU,0.0
2013-12-16,XLU,QQQ,0.0
2013-12-17,QQQ,XLU,0.0
2013-12-18,XLU,QQQ,0.0
2014-01-24,QQQ,XLU,0.0
2014-02-11,XLU,QQQ,0.0
2014-03-26,QQQ,XLU,0.0
2014-03-28,XLU,QQQ,0.0
2014-04-07,QQQ,XLU,0.0
2014-04-09,XLU,QQQ,0.0
2014-04-10,QQQ,XLU,0.0
2014-04-16,XLU,QQQ,0.0
2014-06-06,QQQ,UVXY,0.0
2014-06-11,UVXY,QQQ,0.0
2014-06-27,QQQ,UVXY,0.0
2014-07-08,UVXY,QQQ,0.0
2014-07-31,QQQ,XLU,0.0
2014-08-18,XLU,QQQ,0.0
2014-08-26,QQQ,UVXY,0.0
2014-08-28,UVXY,QQQ,0.0
2014-08-29,QQQ,UVXY,0.0
2014-09-03,UVXY,QQQ,0.0
2014-09-23,QQQ,XLU,0.0
2014-09-24,XLU,QQQ,0.0
2014-09-25,QQQ,XLU,0.0
2014-10-13,XLU,TQQQ,0.0
2014-10-17,TQQQ,GLD,0.0
2014-10-20,GLD,XLU,0.0
2014-10-23,XLU,QQQ,0.0
2014-11-26,QQQ,UVXY,0.0
2014-12-01,UVXY,QQQ,0.0
2014-12-10,QQQ,XLU,0.0
2014-12-16,XLU,TQQQ,0.0
2014-12-17,TQQQ,XLU,0.0
2014-12-18,XLU,QQQ,0.0
2015-01-05,QQQ,XLU,0.0
2015-01-06,XLU,TQQQ,0.0
2015-01-07,TQQQ,XLU,0.0
2015-01-08,XLU,QQQ,0.0
2015-01-09,QQQ,XLU,0.0
2015-01-22,XLU,QQQ,0.0
2015-01-27,QQQ,XLU,0.0
2015-02-03,XLU,QQQ,0.0
2015-03-10,QQQ,XLU,0.0
2015-03-16,XLU,QQQ,0.0
2015-03-17,QQQ,XLU,0.0
2015-03-18,XLU,QQQ,0.0
2015-03-25,QQQ,XLU,0.0
2015-04-08,XLU,QQQ,0.0
2015-04-30,QQQ,XLU,0.0
2015-05-01,XLU,QQQ,0.0
2015-05-06,QQQ,XLU,0.0
2015-05-08,XLU,QQQ,0.0
2015-05-26,QQQ,XLU,0.0
2015-05-27,XLU,QQQ,0.0
2015-06-04,QQQ,XLU,0.0
2015-06-11,XLU,QQQ,0.0
2015-06-12,QQQ,XLU,0.0
2015-06-18,XLU,QQQ,0.0
2015-06-25,QQQ,XLU,0.0
2015-07-13,XLU,QQQ,0.0
2015-07-24,QQQ,XLU,0.0
2015-07-28,XLU,QQQ,0.0
2015-08-06,QQQ,XLU,0.0
2015-08-10,XLU,QQQ,0.0
2015-08-11,QQQ,XLU,0.0
2015-08-14,XLU,QQQ,0.0
2015-08-19,QQQ,XLU,0.0
2015-08-20,XLU,TQQQ,0.0
2015-08-26,TQQQ,GLD,0.0
2015-09-28,GLD,TQQQ,0.0
2015-09-30,TQQQ,GLD,0.0
2015-10-02,GLD,QQQ,0.0
2015-10-28,QQQ,UVXY,0.0
2015-10-29,UVXY,QQQ,0.0
2015-11-13,QQQ,GLD,0.0
2015-11-16,GLD,QQQ,0.0
2015-12-03,QQQ,XLU,0.0
2015-12-04,XLU,QQQ,0.0
2015-12-08,QQQ,XLU,0.0
2015-12-11,XLU,GLD,0.0
2015-12-16,GLD,QQQ,0.0
2015-12-17,QQQ,GLD,0.0
2015-12-23,GLD,QQQ,0.0
2015-12-28,QQQ,XLU,0.0
2015-12-29,XLU,QQQ,0.0
2015-12-31,QQQ,GLD,0.0
2016-01-07,GLD,TQQQ,0.0
2016-01-12,TQQQ,GLD,0.0
2016-01-13,GLD,TQQQ,0.0
2016-01-14,TQQQ,GLD,0.0
2016-01-15,GLD,TQQQ,0.0
2016-01-22,TQQQ,GLD,0.0
2016-02-08,GLD,TQQQ,0.0
2016-02-12,TQQQ,GLD,0.0
2016-02-17,GLD,QQQ,0.0
2016-04-28,QQQ,TQQQ,0.0
2016-05-02,TQQQ,QQQ,0.0
2016-05-03,QQQ,XLU,0.0
2016-05-04,XLU,TQQQ,0.0
