date,qqq_close,cash,qqq_shares,open_spreads,equity
2013-01-02,67.2,25000.0,0,0,25000.0
2013-01-03,66.8521,25000.0,0,0,25000.0
2013-01-04,66.63,25000.0,0,0,25000.0
2013-01-07,66.6504,25000.0,0,0,25000.0
2013-01-08,66.52,25000.0,0,0,25000.0
2013-01-09,66.77,25000.0,0,0,25000.0
2013-01-10,67.17,25000.0,0,0,25000.0
2013-01-11,67.26,25000.0,0,0,25000.0
2013-01-14,66.96,25000.0,0,0,25000.0
2013-01-15,66.63,25000.0,0,0,25000.0
2013-01-16,66.9,25000.0,0,0,25000.0
2013-01-17,67.22,25000.0,0,0,25000.0
2013-01-18,67.07,24818.2,0,1,24968.2
2013-01-22,67.18,24818.2,0,1,24950.2
2013-01-23,67.59,24818.2,0,1,25010.2
2013-01-24,66.66,24818.2,0,1,24884.2
2013-01-25,67.0,24660.4,0,2,24864.4
2013-01-28,67.15,24660.4,0,2,24882.4
2013-01-29,67.16,24660.4,0,2,24870.4
2013-01-30,67.02,24660.4,0,2,24852.4
2013-01-31,66.87,24660.4,0,2,24822.4
2013-02-01,67.66,24660.4,0,2,24936.4
2013-02-04,66.48,24660.4,0,2,24744.4
2013-02-05,67.46,24660.4,0,2,24876.4
2013-02-06,67.24,24660.4,0,2,24804.4
2013-02-07,67.3,24660.4,0,2,24804.4
2013-02-08,67.99,24483.300000000003,0,3,24925.300000000003
2013-02-11,68.01,24483.300000000003,0,3,24875.300000000003
2013-02-12,67.73,24483.300000000003,0,3,24743.300000000003
2013-02-13,67.97,24483.300000000003,0,3,24813.300000000003
2013-02-14,67.95,24483.300000000003,0,3,24719.300000000003
2013-02-15,67.75,24309.400000000005,0,3,24577.400000000005
2013-02-19,68.24,24309.400000000005,0,3,24670.400000000005
2013-02-20,67.19,24319.600000000006,0,2,24424.600000000006
2013-02-21,66.47,24324.500000000007,0,1,24359.500000000007
2013-02-22,67.139,24324.500000000007,0,1,24387.500000000007
2013-02-25,66.31,24324.500000000007,0,1,24366.500000000007
2013-02-26,66.56,24324.500000000007,0,1,24366.500000000007
2013-02-27,67.239,24324.500000000007,0,1,24387.500000000007
2013-02-28,67.1,24324.500000000007,0,1,24373.500000000007
2013-03-01,67.38,24150.800000000007,0,2,24316.800000000007
2013-03-04,67.68,24150.800000000007,0,2,24332.800000000007
2013-03-05,68.68,24150.800000000007,0,2,24556.800000000007
2013-03-06,68.51,24150.800000000007,0,2,24492.800000000007
2013-03-07,68.69,24150.800000000007,0,2,24531.800000000007
2013-03-08,68.77,23968.100000000006,0,3,24452.100000000006
2013-03-11,68.97,23968.100000000006,0,3,24502.100000000006
2013-03-12,68.72,23968.100000000006,0,3,24379.100000000006
2013-03-13,68.63,23968.100000000006,0,3,24297.100000000006
2013-03-14,68.86,23968.100000000006,0,3,24324.100000000006
2013-03-15,68.51,23968.100000000006,0,3,24217.100000000006
2013-03-18,68.36,23987.000000000007,0,2,24167.000000000007
