opened,closed,px_open,px_close,long_strike,short_strike,long_delta,short_delta,expiration,dte,days_held,contracts,debit,cost,entry_equity,equity_fraction,value_at_close,gross_pnl,fees,net_pnl,reason,multiple
2013-01-04,2013-01-24,66.63,66.66,69.0,70.0,0.17496,0.09201,2013-02-01,28,20,11,0.15,165.0,25000.0,0.0066,0.0,-165.0,28.6,-193.60000000000002,SL,0.0
2013-01-11,2013-01-24,67.26,66.66,70.0,71.0,0.17373,0.08267,2013-02-16,36,13,12,0.14,168.00000000000003,24963.7,0.006729771628404444,0.009999999999999998,-156.0,31.200000000000003,-187.2,SL,0.07142857142857141
2013-01-18,2013-02-15,67.07,67.75,69.0,71.0,0.23352,0.05324,2013-02-22,35,28,12,0.29000000000000004,348.00000000000006,24752.100000000002,0.014059413140703214,0.03,-312.0,31.200000000000003,-343.20000000000005,SL,0.10344827586206895
2013-01-25,2013-02-20,67.0,67.19,69.0,71.0,0.2051,0.05007,2013-03-01,35,26,12,0.24999999999999997,299.99999999999994,24423.600000000006,0.012283201493637297,0.03,-263.99999999999994,31.200000000000003,-295.2,SL,0.12000000000000001
2013-02-08,2013-02-21,67.99,66.47,70.0,72.0,0.21084,0.05465,2013-03-16,36,13,12,0.24,288.0,24516.000000000007,0.011747430249632889,0.02,-264.0,31.200000000000003,-295.20000000000005,SL,0.08333333333333334
2013-02-15,2013-03-18,67.75,68.36,69.5,71.0,0.2173,0.07313,2013-03-22,35,31,12,0.25,300.0,23908.80000000001,0.012547681188516357,0.04,-252.0,31.200000000000003,-283.20000000000005,SL,0.16
2013-03-08,2013-03-19,68.77,68.23,70.5,72.0,0.19618,0.05528,2013-04-05,28,11,12,0.19,228.0,23890.800000000017,0.009543422572705804,0.030000000000000002,-192.0,31.200000000000003,-223.2,SL,0.15789473684210528
2013-02-22,2013-03-27,67.139,68.801,69.0,71.0,0.2191,0.03888,2013-03-28,34,33,12,0.28,336.00000000000006,23478.000000000015,0.014311270125223607,0.09000000000000001,-228.0,31.200000000000003,-259.2,EXP,0.32142857142857145
2013-03-01,2013-04-03,67.38,68.41,69.5,70.5,0.19257,0.08024,2013-04-05,35,33,12,0.18,216.0,23366.400000000016,0.009244042728019715,0.019999999999999997,-192.0,31.200000000000003,-223.2,SL,0.1111111111111111
2013-03-22,2013-04-05,68.59,67.861,71.0,72.0,0.16595,0.06609,2013-04-26,35,14,12,0.15,180.0,23012.400000000023,0.007821869948375651,0.010000000000000002,-167.99999999999997,31.200000000000003,-199.19999999999996,SL,0.06666666666666668
