date,qqq_close,cash,qqq_shares,open_spreads,equity
2013-01-02,67.2,12330.0,0,0,12330.0
2013-01-03,66.8521,12330.0,0,0,12330.0
2013-01-04,66.63,12199.6,0,1,12287.6
2013-01-07,66.6504,12199.6,0,1,12279.6
2013-01-08,66.52,12199.6,0,1,12263.6
2013-01-09,66.77,12199.6,0,1,12271.6
2013-01-10,67.17,12199.6,0,1,12295.6
2013-01-11,67.26,12077.2,0,2,12277.2
2013-01-14,66.96,12077.2,0,2,12205.2
2013-01-15,66.63,12077.2,0,2,12165.2
2013-01-16,66.9,12077.2,0,2,12165.2
2013-01-17,67.22,12077.2,0,2,12205.2
2013-01-18,67.07,11834.800000000001,0,3,12114.800000000001
2013-01-22,67.18,11834.800000000001,0,3,12074.800000000001
2013-01-23,67.59,11834.800000000001,0,3,12210.800000000001
2013-01-24,66.66,11834.800000000001,0,3,11930.800000000001
2013-01-25,67.0,11627.600000000002,0,2,11899.600000000002
2013-01-28,67.15,11627.600000000002,0,2,11923.600000000002
2013-01-29,67.16,11627.600000000002,0,2,11907.600000000002
2013-01-30,67.02,11627.600000000002,0,2,11883.600000000002
2013-01-31,66.87,11627.600000000002,0,2,11843.600000000002
2013-02-01,67.66,11353.200000000003,0,3,11937.200000000003
2013-02-04,66.48,11353.200000000003,0,3,11537.200000000003
2013-02-05,67.46,11353.200000000003,0,3,11817.200000000003
2013-02-06,67.24,11353.200000000003,0,3,11665.200000000003
2013-02-07,67.3,11353.200000000003,0,3,11681.200000000003
2013-02-08,67.99,11150.800000000003,0,4,11942.800000000003
2013-02-11,68.01,11150.800000000003,0,4,11854.800000000003
2013-02-12,67.73,11150.800000000003,0,4,11630.800000000003
2013-02-13,67.97,11150.800000000003,0,4,11750.800000000003
2013-02-14,67.95,11150.800000000003,0,4,11582.800000000003
2013-02-15,67.75,10954.000000000004,0,4,11370.000000000004
2013-02-19,68.24,10954.000000000004,0,4,11522.000000000004
2013-02-20,67.19,10954.000000000004,0,4,11122.000000000004
2013-02-21,66.47,10954.000000000004,0,4,11010.000000000004
2013-02-22,67.139,10728.400000000005,0,2,11000.400000000005
2013-02-25,66.31,10728.400000000005,0,2,10928.400000000005
2013-02-26,66.56,10728.400000000005,0,2,10928.400000000005
2013-02-27,67.239,10728.400000000005,0,2,11000.400000000005
2013-02-28,67.1,10728.400000000005,0,2,10952.400000000005
2013-03-01,67.38,10574.000000000005,0,3,10910.000000000005
2013-03-04,67.68,10574.000000000005,0,3,10950.000000000005
2013-03-05,68.68,10574.000000000005,0,3,11374.000000000005
2013-03-06,68.51,10574.000000000005,0,3,11262.000000000005
2013-03-07,68.69,10574.000000000005,0,3,11334.000000000005
2013-03-08,68.77,10411.600000000006,0,4,11251.600000000006
2013-03-11,68.97,10411.600000000006,0,4,11347.600000000006
2013-03-12,68.72,10411.600000000006,0,4,11139.600000000006
2013-03-13,68.63,10411.600000000006,0,4,11035.600000000006
2013-03-14,68.86,10411.600000000006,0,4,11067.600000000006
2013-03-15,68.51,10169.200000000006,0,5,10857.200000000006
2013-03-18,68.36,10169.200000000006,0,5,10793.200000000006
2013-03-19,68.23,10169.200000000006,0,5,10721.200000000006
2013-03-20,68.709,10169.200000000006,0,5,10769.200000000006
2013-03-21,67.93,10169.200000000006,0,5,10473.200000000006
2013-03-22,68.59,10028.400000000007,0,5,10660.400000000007
2013-03-25,68.34,10028.400000000007,0,5,10388.400000000007
2013-03-26,68.71,10028.400000000007,0,5,10476.400000000007
