date,equity,holding,shares,cash,stop_reference,entered_at_open
2016-06-01,99974.13229371294,GLD,862.2919629852333,0.0,115.97000122070312,True
2016-06-02,99741.3097795982,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-03,102509.26619132893,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-06,102543.7586593002,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-07,102457.53077875481,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-08,103975.16647566318,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-09,104552.90051195954,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-10,104975.42173176794,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-13,105751.48581420777,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-14,105863.58140104024,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-15,106648.27024516428,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-16,105527.28806177725,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-17,106881.08618051343,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-20,106242.99196995873,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-21,104199.35764932811,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-22,104251.09964066783,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-23,103569.88820045763,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-24,108648.7873361394,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-27,109235.14613411999,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-28,108062.42853815881,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-29,108510.81746425429,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-06-30,109054.06561134495,GLD,862.2919629852333,0.0,115.97000122070312,False
2016-07-01,110041.49514771537,SHY,1574.377127657797,0.0,69.91983891195677,True
2016-07-05,110093.05701589362,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-06,110041.49514771537,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-07,109989.88481913469,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-08,109989.88481913469,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-11,109873.76157982818,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-12,109835.07806359384,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-13,109860.9074580854,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-14,109796.35820205775,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-15,109744.75998857769,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-18,109809.26078420291,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-19,109822.1512512475,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-20,109770.55303776743,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-21,109847.93218533661,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-22,109809.26078420291,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-25,109731.79683092948,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-26,109744.75998857769,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-27,109822.1512512475,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-28,109809.26078420291,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-07-29,109951.12861229674,SHY,1574.377127657797,0.0,69.91983891195677,False
2016-08-01,110379.56414530937,TECL,27123.818599992926,0.0,4.050390113116167,True
2016-08-02,107865.89092055669,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-03,108925.5638215316,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-04,110601.337348937,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-05,113854.36883297554,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-08,114002.18745688994,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-09,114593.65595721622,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-10,113583.24084162744,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-11,114889.40960784625,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-12,114371.84395265486,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-15,115825.85721007721,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-16,113583.24084162744,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-17,113435.38341677931,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-18,113287.52599193118,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-19,113607.89236819852,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-22,113460.03494335039,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-23,114692.2232625668,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-24,113041.10126173247,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-25,113533.95072212987,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-26,113706.48554083824,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-29,114889.40960784625,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-30,113879.00742590205,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-08-31,113558.60224870095,TECL,27123.818599992926,0.0,4.050390113116167,False
2016-09-01,114371.84395265486,TECL,27123.818599992926,0.0,4.174863097042669,True
2016-09-02,115801.21861715072,TECL,27123.818599992926,0.0,4.174863097042669,False
