date,action,symbol,price,shares,cost,reason
2016-06-01,BUY,GLD,115.97000122070312,862.2919629852333,0.0,REBALANCE
2016-07-01,SELL,GLD,127.66000366210938,862.2919629852333,0.0,REBALANCE
2016-07-01,BUY,SHY,69.91983891195677,1574.377127657797,0.0,REBALANCE
2016-08-01,SELL,SHY,69.78127715232351,1574.377127657797,0.0,REBALANCE
2016-08-01,BUY,TECL,4.050390113116167,27123.818599992926,0.0,REBALANCE
2016-11-10,SELL,TECL,3.8824868045114687,27123.818599992926,0.0,STOP
2016-12-01,BUY,TECL,4.281165917181154,24597.94127104821,0.0,REBALANCE
2017-03-01,SELL,TECL,5.81482657989684,24597.94127104821,0.0,REBALANCE
2017-03-01,BUY,TQQQ,3.366425666779969,42488.020491611016,0.0,REBALANCE
2017-06-29,SELL,TQQQ,3.8107658908756354,42488.020491611016,0.0,STOP
2017-07-03,BUY,TQQQ,3.938591786821451,41109.083658279684,0.0,REBALANCE
2017-09-01,SELL,TQQQ,4.610212264754755,41109.083658279684,0.0,REBALANCE
2017-09-01,BUY,TECL,8.055350019861754,23527.41981502162,0.0,REBALANCE
2018-02-01,SELL,TECL,12.277195483333736,23527.41981502162,0.0,REBALANCE
2018-02-01,BUY,TQQQ,6.864007441582058,42081.93751912717,0.0,REBALANCE
2018-02-05,SELL,TQQQ,6.177606697423852,42081.93751912717,0.0,STOP
2018-03-01,BUY,TQQQ,6.60130052050355,39380.976256312264,0.0,REBALANCE
2018-03-23,SELL,TQQQ,5.941170468453195,39380.976256312264,0.0,STOP
2018-04-02,BUY,TQQQ,5.567916102339342,42020.94443458972,0.0,REBALANCE
2018-05-01,SELL,TQQQ,5.62893743035826,42020.94443458972,0.0,REBALANCE
2018-05-01,BUY,TECL,10.196437107696557,23197.63898787006,0.0,REBALANCE
2018-07-02,SELL,TECL,11.833040868876456,23197.63898787006,0.0,REBALANCE
2018-07-02,BUY,TQQQ,6.616358761329758,41487.86668118031,0.0,REBALANCE
2018-10-01,SELL,TQQQ,8.61814363510191,41487.86668118031,0.0,REBALANCE
2018-10-01,BUY,TECL,15.482121481602103,23094.276491581393,0.0,REBALANCE
2018-10-05,SELL,TECL,13.933909333441893,23094.276491581393,0.0,STOP
2018-11-01,BUY,SHY,69.8780462850912,4605.073722901005,0.0,REBALANCE
2018-12-03,SELL,SHY,70.08184690830629,4605.073722901005,0.0,REBALANCE
2018-12-03,BUY,GLD,116.5999984741211,2767.856568381014,0.0,REBALANCE
2019-05-01,SELL,GLD,121.02999877929688,2767.856568381014,0.0,REBALANCE
2019-05-01,BUY,TECL,15.575483153233645,21507.755091557112,0.0,REBALANCE
2019-05-06,SELL,TECL,14.01793483791028,21507.755091557112,0.0,STOP
2019-06-03,BUY,TECL,11.380675582854064,26491.776097844922,0.0,REBALANCE
2019-08-05,SELL,TECL,13.623514464868927,26491.776097844922,0.0,STOP
2019-09-03,BUY,TECL,14.354358441438702,25142.96242088866,0.0,REBALANCE
2019-10-02,SELL,TECL,13.920109755410072,25142.96242088866,0.0,STOP
2019-11-01,BUY,TECL,17.11028339116228,20455.113949526847,0.0,REBALANCE
2019-12-03,SELL,TECL,17.70774517939785,20455.113949526847,0.0,STOP
2020-01-02,BUY,TECL,22.75057935803476,15921.086656012812,0.0,REBALANCE
2020-02-25,SELL,TECL,22.247051115395582,15921.086656012812,0.0,STOP
2020-03-02,BUY,TECL,20.011360458555785,17699.8075359501,0.0,REBALANCE
2020-03-06,SELL,TECL,18.010224412700207,17699.8075359501,0.0,STOP
2020-04-01,BUY,IEF,104.28270979224332,3056.858672153288,0.0,REBALANCE
2020-05-01,SELL,IEF,104.10193757604301,3056.858672153288,0.0,REBALANCE
2020-05-01,BUY,TQQQ,7.780713809390128,40899.19234444,0.0,REBALANCE
2020-09-03,SELL,TQQQ,17.787480943401917,40899.19234444,0.0,STOP
2020-10-01,BUY,TECL,29.1956418873823,24917.8835400657,0.0,REBALANCE
2020-10-26,SELL,TECL,26.276077698644073,24917.8835400657,0.0,STOP
2020-11-02,BUY,TQQQ,14.269008115178773,45885.75734903683,0.0,REBALANCE
2021-02-01,SELL,TQQQ,22.286769770842888,45885.75734903683,0.0,REBALANCE
2021-02-01,BUY,TECL,37.27244571242063,27437.032645753126,0.0,REBALANCE
2021-03-01,SELL,TECL,38.90730917625997,27437.032645753126,0.0,REBALANCE
2021-03-01,BUY,TQQQ,22.24150425143637,47995.9044118392,0.0,REBALANCE
2021-03-04,SELL,TQQQ,20.00448627402437,47995.9044118392,0.0,STOP
2021-04-01,BUY,TECL,39.45072390963217,24337.535940160524,0.0,REBALANCE
2021-05-04,SELL,TECL,40.155597778598185,24337.535940160524,0.0,STOP
2021-06-01,BUY,TECL,42.79979091757465,22833.950427873813,0.0,REBALANCE
2021-07-01,SELL,TECL,51.195535261519396,22833.950427873813,0.0,REBALANCE
2021-07-01,BUY,TQQQ,29.08357249440754,40194.38514696863,0.0,REBALANCE
2021-08-02,SELL,TQQQ,32.051958422502416,40194.38514696863,0.0,REBALANCE
2021-08-02,BUY,TECL,57.90288868087292,22249.473055637973,0.0,REBALANCE
2021-09-20,SELL,TECL,56.41750218229444,22249.473055637973,0.0,STOP
2021-10-01,BUY,TECL,52.79163671449183,23777.62412368578,0.0,REBALANCE
2021-11-01,SELL,TECL,65.64357532108033,23777.62412368578,0.0,REBALANCE
2021-11-01,BUY,TQQQ,37.11681809075237,42052.31860940118,0.0,REBALANCE
2021-12-01,SELL,TQQQ,40.2281449374372,42052.31860940118,0.0,REBALANCE
2021-12-01,BUY,TECL,76.56724816395314,22094.130434880935,0.0,REBALANCE
2021-12-02,SELL,TECL,68.91052334755783,22094.130434880935,0.0,STOP
2022-01-03,BUY,TECL,80.36028394946982,18946.151212385004,0.0,REBALANCE
2022-01-05,SELL,TECL,72.32425555452284,18946.151212385004,0.0,STOP
2022-02-01,BUY,GLD,168.57000732421875,8128.76681807142,0.0,REBALANCE
2022-06-01,SELL,GLD,172.2100067138672,8128.76681807142,0.0,REBALANCE
2022-06-01,BUY,SHY,72.73563141045408,19245.794133772284,0.0,REBALANCE
2022-09-01,SELL,SHY,72.00665798028723,19245.794133772284,0.0,REBALANCE
2022-09-01,BUY,IEF,87.70115291166402,15801.677284053674,0.0,REBALANCE
2022-10-03,SELL,IEF,84.91369770984582,15801.677284053674,0.0,REBALANCE
2022-10-03,BUY,SHY,71.3388860213857,18808.519771453084,0.0,REBALANCE
2023-01-03,SELL,SHY,71.78540815399913,18808.519771453084,0.0,REBALANCE
2023-01-03,BUY,GLD,171.32000732421875,7881.025045785493,0.0,REBALANCE
2023-04-03,SELL,GLD,183.85000610351562,7881.025045785493,0.0,REBALANCE
2023-04-03,BUY,TECL,33.99343208592035,42623.719167496165,0.0,REBALANCE
2023-04-25,SELL,TECL,30.594088877328314,42623.719167496165,0.0,STOP
2023-05-01,BUY,TECL,33.87256390733866,38498.232848861335,0.0,REBALANCE
2023-08-04,SELL,TECL,47.718367109317846,38498.232848861335,0.0,STOP
2023-09-01,BUY,TQQQ,20.881491925916457,87976.12807837427,0.0,REBALANCE
2023-09-19,SELL,TQQQ,18.793342733324813,87976.12807837427,0.0,STOP
2023-10-02,BUY,TQQQ,17.298461853396137,95578.75962267532,0.0,REBALANCE
2023-10-26,SELL,TQQQ,15.568615668056523,95578.75962267532,0.0,STOP
2023-11-01,BUY,TQQQ,16.00362340893819,92980.75420619505,0.0,REBALANCE
2023-12-01,SELL,TQQQ,21.090840544884827,92980.75420619505,0.0,REBALANCE
2023-12-01,BUY,TECL,55.216412033304366,35515.56844228063,0.0,REBALANCE
2024-01-05,SELL,TECL,53.58118656845992,35515.56844228063,0.0,STOP
2024-02-01,BUY,TECL,66.56776333998953,28586.904581298575,0.0,REBALANCE
2024-03-01,SELL,TECL,74.71872934463049,28586.904581298575,0.0,REBALANCE
2024-03-01,BUY,TQQQ,29.59055245492654,72184.43080657002,0.0,REBALANCE
2024-04-01,SELL,TQQQ,30.26927179903729,72184.43080657002,0.0,REBALANCE
2024-04-01,BUY,TECL,75.17081256992546,29066.735891811248,0.0,REBALANCE
2024-04-15,SELL,TECL,67.65373131293292,29066.735891811248,0.0,STOP
2024-05-01,BUY,TQQQ,25.493256152105587,77136.99373809349,0.0,REBALANCE
2024-07-01,SELL,TQQQ,36.39137923681885,77136.99373809349,0.0,REBALANCE
2024-07-01,BUY,TECL,91.10707482688512,30811.23609384852,0.0,REBALANCE
2024-07-24,SELL,TECL,81.99636734419661,30811.23609384852,0.0,STOP
2024-08-01,BUY,TECL,78.56537437901183,32156.779663419828,0.0,REBALANCE
2024-08-01,SELL,TECL,70.70883694111065,32156.779663419828,0.0,STOP
2024-09-03,BUY,TQQQ,33.0054501192243,68890.69779562256,0.0,REBALANCE
2024-09-06,SELL,TQQQ,29.70490510730187,68890.69779562256,0.0,STOP
2024-10-01,BUY,TQQQ,35.58305764116357,57510.28091603488,0.0,REBALANCE
2024-11-01,SELL,TQQQ,34.50001113059394,57510.28091603488,0.0,REBALANCE
2024-11-01,BUY,TECL,76.61362224641107,25897.55285744543,0.0,REBALANCE
2024-12-02,SELL,TECL,87.37164581373521,25897.55285744543,0.0,REBALANCE
2024-12-02,BUY,TQQQ,39.61987988014289,57110.516804904764,0.0,REBALANCE
2025-02-28,SELL,TQQQ,34.90953282867441,57110.516804904764,0.0,STOP
2025-03-03,BUY,TQQQ,37.72148237197053,52853.21084690011,0.0,REBALANCE
2025-03-03,SELL,TQQQ,33.94933413477348,52853.21084690011,0.0,STOP
2025-04-01,BUY,GLD,288.5400085449219,6218.656900253374,0.0,REBALANCE
2025-06-02,SELL,GLD,309.2099914550781,6218.656900253374,0.0,REBALANCE
2025-06-02,BUY,TQQQ,34.28084098387002,56091.705798412775,0.0,REBALANCE
2025-07-01,SELL,TQQQ,40.795123973301955,56091.705798412775,0.0,REBALANCE
2025-07-01,BUY,TECL,87.13219874421442,26262.026264684042,0.0,REBALANCE
2025-11-05,SELL,TECL,127.87530160243286,26262.026264684042,0.0,STOP
2025-12-01,BUY,TECL,113.28594232117264,29644.14172207349,0.0,REBALANCE
2026-01-02,SELL,TECL,121.27387015298478,29644.14172207349,0.0,REBALANCE
2026-01-02,BUY,TQQQ,53.95634952779414,66629.04042734623,0.0,REBALANCE
2026-02-05,SELL,TQQQ,47.655302015906486,66629.04042734623,0.0,STOP
2026-03-02,BUY,TECL,96.95122928407655,32750.766215573225,0.0,REBALANCE
2026-03-26,SELL,TECL,87.25610635566889,32750.766215573225,0.0,STOP
2026-04-01,BUY,GLD,435.0,6569.435264679781,0.0,REBALANCE
2026-05-01,SELL,GLD,421.4100036621094,6569.435264679781,0.0,REBALANCE
2026-05-01,BUY,TQQQ,63.743236802374845,43430.893657467284,0.0,REBALANCE
2026-06-01,SELL,TQQQ,83.95669604998572,43430.893657467284,0.0,REBALANCE
2026-06-01,BUY,TECL,249.72222910546267,14601.480817469886,0.0,REBALANCE
2026-06-04,SELL,TECL,252.78955078125,14601.480817469886,0.0,END
