date,action,symbol,price,shares,cost,reason
2016-06-01,BUY,GLD,115.94000244140625,862.5150758517362,0.0,REBALANCE
2016-07-01,SELL,GLD,128.41000366210938,862.5150758517362,0.0,REBALANCE
2016-07-01,BUY,SHY,69.89525775912678,1584.5933987457647,0.0,REBALANCE
2016-08-01,SELL,SHY,69.81407370916457,1584.5933987457647,0.0,REBALANCE
2016-08-01,BUY,TQQQ,2.374645709991455,46586.70549194916,0.0,REBALANCE
2016-12-01,SELL,TQQQ,2.321946620941162,46586.70549194916,0.0,REBALANCE
2016-12-01,BUY,TECL,4.014047622680664,26948.32088852325,0.0,REBALANCE
2017-01-03,SELL,TECL,4.668214797973633,26948.32088852325,0.0,REBALANCE
2017-01-03,BUY,TQQQ,2.581679582595825,48728.181142392714,0.0,REBALANCE
2017-02-01,SELL,TQQQ,2.9733598232269287,48728.181142392714,0.0,REBALANCE
2017-02-01,BUY,TECL,5.12431526184082,28274.29786505108,0.0,REBALANCE
2017-03-01,SELL,TECL,5.970191478729248,28274.29786505108,0.0,REBALANCE
2017-03-01,BUY,TQQQ,3.4155592918395996,49421.7660294412,0.0,REBALANCE
2017-04-03,SELL,TQQQ,3.4876747131347656,49421.7660294412,0.0,REBALANCE
2017-04-03,BUY,TECL,6.064682960510254,28421.443426095055,0.0,REBALANCE
2017-07-03,SELL,TECL,6.388132095336914,28421.443426095055,0.0,REBALANCE
2017-07-03,BUY,TQQQ,3.764247179031372,48232.73454448327,0.0,REBALANCE
2017-09-01,SELL,TQQQ,4.572173595428467,48232.73454448327,0.0,REBALANCE
2017-09-01,BUY,TECL,7.977212905883789,27644.79749022879,0.0,REBALANCE
2017-10-02,SELL,TECL,8.167105674743652,27644.79749022879,0.0,REBALANCE
2017-10-02,BUY,TQQQ,4.539682388305664,49734.31247992071,0.0,REBALANCE
2017-12-01,SELL,TQQQ,5.359891891479492,49734.31247992071,0.0,REBALANCE
2017-12-01,BUY,TECL,9.967883110046387,26742.94383736948,0.0,REBALANCE
2018-03-01,SELL,TECL,11.346857070922852,26742.94383736948,0.0,REBALANCE
2018-03-01,BUY,TQQQ,6.269650459289551,48399.5660282366,0.0,REBALANCE
2018-05-01,SELL,TQQQ,5.8631134033203125,48399.5660282366,0.0,REBALANCE
2018-05-01,BUY,TECL,10.645691871643066,26656.05464788291,0.0,REBALANCE
2018-07-02,SELL,TECL,12.507287979125977,26656.05464788291,0.0,REBALANCE
2018-07-02,BUY,TQQQ,6.940876483917236,48033.55205079694,0.0,REBALANCE
2018-08-01,SELL,TQQQ,7.402094841003418,48033.55205079694,0.0,REBALANCE
2018-08-01,BUY,TECL,13.134157180786133,27070.55374290809,0.0,REBALANCE
2018-11-01,SELL,TECL,11.849568367004395,27070.55374290809,0.0,REBALANCE
2018-11-01,BUY,SHY,69.89489608610798,4589.38199026827,0.0,REBALANCE
2018-12-03,SELL,SHY,70.06497474698614,4589.38199026827,0.0,REBALANCE
2018-12-03,BUY,GLD,116.41000366210938,2762.262031927786,0.0,REBALANCE
2019-05-01,SELL,GLD,120.4000015258789,2762.262031927786,0.0,REBALANCE
2019-05-01,BUY,TQQQ,7.779090881347656,42752.59897739709,0.0,REBALANCE
2019-08-01,SELL,TQQQ,7.701693534851074,42752.59897739709,0.0,REBALANCE
2019-08-01,BUY,TECL,15.638594627380371,21054.795714559394,0.0,REBALANCE
2019-10-01,SELL,TECL,14.856426239013672,21054.795714559394,0.0,REBALANCE
2019-10-01,BUY,TQQQ,7.161098480224609,43680.31250717303,0.0,REBALANCE
2019-12-02,SELL,TQQQ,8.959111213684082,43680.31250717303,0.0,REBALANCE
2019-12-02,BUY,TECL,18.826072692871094,20786.95774655259,0.0,REBALANCE
2020-01-02,SELL,TECL,23.366722106933594,20786.95774655259,0.0,REBALANCE
2020-01-02,BUY,TQQQ,10.820575714111328,44888.837520800655,0.0,REBALANCE
2020-02-03,SELL,TQQQ,11.666304588317871,44888.837520800655,0.0,REBALANCE
2020-02-03,BUY,TECL,25.521854400634766,20519.15362075521,0.0,REBALANCE
2020-04-01,SELL,TECL,9.145489692687988,20519.15362075521,0.0,REBALANCE
2020-04-01,BUY,IEF,104.02655375954976,1803.9404475039719,0.0,REBALANCE
2020-05-01,SELL,IEF,104.03355474034372,1803.9404475039719,0.0,REBALANCE
2020-05-01,BUY,TQQQ,7.565112113952637,24807.34382608775,0.0,REBALANCE
2020-06-01,SELL,TQQQ,9.980802536010742,24807.34382608775,0.0,REBALANCE
2020-06-01,BUY,TECL,17.887203216552734,13842.141623458592,0.0,REBALANCE
2020-07-01,SELL,TECL,21.43399429321289,13842.141623458592,0.0,REBALANCE
2020-07-01,BUY,TQQQ,12.047477722167969,24626.92950385184,0.0,REBALANCE
2020-11-02,SELL,TQQQ,13.995038986206055,24626.92950385184,0.0,REBALANCE
2020-11-02,BUY,TECL,23.674945831298828,14557.787839214945,0.0,REBALANCE
2021-02-01,SELL,TECL,38.75969314575195,14557.787839214945,0.0,REBALANCE
2021-02-01,BUY,TQQQ,23.137264251708984,24387.29935356351,0.0,REBALANCE
2021-05-03,SELL,TQQQ,25.22894859313965,24387.29935356351,0.0,REBALANCE
2021-05-03,BUY,TECL,43.66704559326172,14089.937007588704,0.0,REBALANCE
2021-07-01,SELL,TECL,51.46308898925781,14089.937007588704,0.0,REBALANCE
