Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-06-01T13:31:00Z,GLD,115.94,859,Market On Close,Filled,99592.46,"Monthly rotation to GLD" 
2016-06-01T20:00:00Z,GLD,0,-859,Stop Market,Canceled,0,"Monthly stop reset" 
2016-07-01T19:50:00Z,GLD,0,-859,Stop Market,Canceled,0,"Monthly stop reset" 
2016-08-01T13:31:00Z,GLD,129.22,-859,Market On Close,Filled,-110999.98,"Monthly rotation to TECL" 
2016-08-01T13:31:00Z,TECL,4.0689390399,27438,Market On Close,Filled,111643.54937678,"Monthly rotation to TECL" 
2016-08-01T20:00:00Z,TECL,0,-27438,Stop Market,Canceled,0,"Monthly stop reset" 
2016-09-01T13:31:00Z,TECL,4.2161076321,-27438,Market On Close,Filled,-115681.56120956,"Monthly rotation to TQQQ" 
2016-09-01T13:31:00Z,TQQQ,2.418698742569,47481,Market On Close,Filled,114842.23499592,"Monthly rotation to TQQQ" 
2016-09-01T20:00:00Z,TQQQ,0,-47481,Stop Market,Canceled,0,"Monthly stop reset" 
2016-10-03T13:31:00Z,TQQQ,2.5419319190006,-47481,Market On Close,Filled,-120693.46944607,"Monthly rotation to TECL" 
2016-10-03T13:31:00Z,TECL,4.3678184648,27511,Market On Close,Filled,120163.05378511,"Monthly rotation to TECL" 
2016-10-03T20:00:00Z,TECL,0,-27511,Stop Market,Canceled,0,"Monthly stop reset" 
2016-11-01T13:31:00Z,TECL,4.1861288448,-27511,Market On Close,Filled,-115164.59064929,"Monthly rotation to TQQQ" 
2016-11-01T13:31:00Z,TQQQ,2.3802626714633,48997,Market On Close,Filled,116625.73011369,"Monthly rotation to TQQQ" 
2016-11-01T20:00:00Z,TQQQ,0,-48997,Stop Market,Canceled,0,"Monthly stop reset" 
2016-12-01T14:31:00Z,TQQQ,2.3220141925711,-48997,Market On Close,Filled,-113771.72939341,"Monthly rotation to TECL" 
2016-12-01T14:31:00Z,TECL,4.0135237058,27976,Market On Close,Filled,112282.33919346,"Monthly rotation to TECL" 
