date,equity,holding,shares,cash,stop_reference,entered_at_open
2012-12-28,6999.740273827731,IEF,86.94262506543937,0.0,80.47263058665825,True
2012-12-31,6962.816035515118,IEF,86.94262506543937,0.0,80.47263058665825,False
2013-01-02,7061.382922492817,TQQQ,12599.933607719731,0.0,0.5495387463363972,True
2013-01-03,6959.090232396136,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-04,6890.475288522129,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-07,6897.960650710238,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-08,6858.028455174574,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-09,6927.903601491809,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-10,7050.161262834472,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-11,7076.356650927303,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-14,6985.281865416134,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-15,6881.731976934493,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-16,6959.090232396136,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-17,7066.377920377146,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-18,7026.460745132821,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-22,7055.155509704235,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-23,7169.932314946189,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-24,6884.233606456775,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-25,6986.528549597157,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-28,7036.436471624709,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-29,7036.436471624709,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-30,6997.76297650314,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-01-31,6952.84930134535,TQQQ,12599.933607719731,0.0,0.5495387463363972,False
2013-02-01,7178.349074827857,TECL,6019.612455842947,0.0,1.177275088643466,True
2013-02-04,6881.646315263347,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-05,7144.166497774063,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-06,7118.188169769413,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-07,7120.92435463991,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-08,7300.041488958029,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-11,7323.282914498457,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-12,7264.489025484675,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-13,7257.652510073916,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-14,7207.062152515555,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-15,7187.921775109113,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-19,7326.0183817752295,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-20,7023.844687657174,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-21,6858.4013017542975,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-22,7107.249888630944,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-25,6802.340009642391,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-26,6928.1327543128245,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-27,7105.882154992557,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-02-28,7055.291797434196,TECL,6019.612455842947,0.0,1.177275088643466,False
2013-03-01,6941.15332584913,SHY,101.7695919783215,0.0,68.19651320271856,True
2013-03-04,6940.327902219525,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-05,6939.511093068026,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-06,6938.684886304045,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-07,6937.04265352294,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-08,6937.868077152544,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-11,6937.04265352294,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-12,6938.684886304045,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-13,6937.04265352294,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-14,6937.04265352294,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-15,6939.511093068026,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-18,6941.15332584913,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-19,6940.327902219525,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-20,6939.511093068026,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-21,6940.327902219525,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-22,6938.684886304045,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-25,6938.684886304045,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-26,6939.511093068026,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-27,6941.15332584913,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-03-28,6941.977183209989,SHY,101.7695919783215,0.0,68.19651320271856,False
2013-04-01,6942.629534143066,SHY,101.7695919783215,0.0,68.1625563175262,True
2013-04-02,6942.629534143066,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-03,6941.810375588447,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-04,6944.277248864784,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-05,6944.277248864784,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-08,6942.629534143066,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-09,6942.629534143066,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-10,6942.629534143066,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-11,6942.629534143066,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-12,6943.454174638297,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-15,6944.277248864784,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-16,6944.277248864784,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-17,6944.277248864784,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-18,6944.277248864784,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-19,6944.277248864784,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-22,6945.101106225646,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-23,6944.277248864784,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-24,6945.101106225646,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-25,6944.277248864784,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-26,6945.919481645889,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-29,6947.559365023876,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-04-30,6946.7355076630165,SHY,101.7695919783215,0.0,68.1625563175262,False
2013-05-01,6793.9781899763075,TECL,5282.718281317143,0.0,1.3137874131618,True
2013-05-02,7032.7633023952485,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-03,7229.551077536925,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-06,7331.54524067366,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-07,7313.545122342361,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-08,7479.135127406278,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-09,7419.1389312959,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-10,7509.132595712374,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-13,7445.536124036098,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-14,7513.932543300841,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-15,7571.5293953660785,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-16,7692.722089358497,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-17,7931.5065720283455,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-20,7923.106978623074,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-21,7863.111412261789,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-22,7608.726785054875,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-23,7606.326811260642,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-24,7558.329224623246,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-28,7677.121315072338,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-29,7606.326811260642,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-30,7726.31983323049,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-05-31,7521.131205185356,TECL,5282.718281317143,0.0,1.3137874131618,False
2013-06-03,7568.289173723499,TQQQ,10529.685355230962,0.0,0.7161832746121416,True
2013-06-04,7454.646981980463,TQQQ,10529.685355230962,0.0,0.7161832746121416,False
2013-06-05,7168.968377716879,TQQQ,10529.685355230962,0.0,0.7161832746121416,False
2013-06-06,7256.547470329124,TQQQ,10529.685355230962,0.0,0.7161832746121416,False
2013-06-07,7559.950638913575,TQQQ,10529.685355230962,0.0,0.7161832746121416,False
2013-06-10,7563.074922090137,TQQQ,10529.685355230962,0.0,0.7161832746121416,False
2013-06-11,7344.126562941369,TQQQ,10529.685355230962,0.0,0.7161832746121416,False
2013-06-12,7089.727192296402,TQQQ,10529.685355230962,0.0,0.7161832746121416,False
2013-06-13,7344.126562941369,TQQQ,10529.685355230962,0.0,0.7161832746121416,False
2013-06-14,7214.839105825628,TQQQ,10529.685355230962,0.0,0.7161832746121416,False
2013-06-17,7415.02042689775,TQQQ,10529.685355230962,0.0,0.7161832746121416,False
