date,action,symbol,price,shares,cost,reason
2016-06-01,BUY,GLD,115.94000244140625,862.5150758517362,0.0,REBALANCE
2016-06-30,SELL,GLD,126.47000122070312,862.5150758517362,0.0,REBALANCE
2016-06-30,BUY,SHY,69.8706562986785,1561.2030639807667,0.0,REBALANCE
2016-07-29,SELL,SHY,69.8378594815279,1561.2030639807667,0.0,REBALANCE
2016-07-29,BUY,TECL,4.043120861053467,26967.05934633146,0.0,REBALANCE
2016-11-14,SELL,TECL,3.868586111068726,26967.05934633146,0.0,STOP
2016-11-30,BUY,TECL,4.2811665534973145,24368.215985047496,0.0,REBALANCE
2017-02-28,SELL,TECL,5.733963966369629,24368.215985047496,0.0,REBALANCE
2017-02-28,BUY,TQQQ,3.3085763454437256,42231.59987690581,0.0,REBALANCE
2017-06-29,SELL,TQQQ,3.7882996559143067,42231.59987690581,0.0,STOP
2017-06-30,BUY,TQQQ,3.869647264480591,41343.80845274984,0.0,REBALANCE
2017-08-31,SELL,TQQQ,4.575344085693359,41343.80845274984,0.0,REBALANCE
2017-08-31,BUY,TECL,7.987209796905518,23683.132695176624,0.0,REBALANCE
2018-01-31,SELL,TECL,12.44452953338623,23683.132695176624,0.0,REBALANCE
2018-01-31,BUY,TQQQ,7.019330978393555,41987.68303922911,0.0,REBALANCE
2018-02-05,SELL,TQQQ,6.250632598528159,41987.68303922911,0.0,STOP
2018-02-28,BUY,TQQQ,6.586639881134033,39845.746097855124,0.0,REBALANCE
2018-03-23,SELL,TQQQ,5.92797589302063,39845.746097855124,0.0,STOP
2018-03-29,BUY,TQQQ,5.702637195587158,41420.2436883565,0.0,REBALANCE
2018-04-02,SELL,TQQQ,5.132373476028443,41420.2436883565,0.0,STOP
2018-04-30,BUY,TECL,10.254640579223633,20730.532526655355,0.0,REBALANCE
2018-06-29,SELL,TECL,12.144654273986816,20730.532526655355,0.0,REBALANCE
2018-06-29,BUY,TQQQ,6.788721084594727,37085.799713171975,0.0,REBALANCE
2018-09-28,SELL,TQQQ,8.456480026245117,37085.799713171975,0.0,REBALANCE
2018-09-28,BUY,TECL,15.245970726013184,20570.374308581402,0.0,REBALANCE
2018-10-08,SELL,TECL,13.721373653411865,20570.374308581402,0.0,STOP
2018-10-31,BUY,SHY,69.85618937792697,4040.497980094162,0.0,REBALANCE
2018-11-30,SELL,SHY,70.12234224390254,4040.497980094162,0.0,REBALANCE
2018-11-30,BUY,GLD,115.54000091552734,2452.2172403573463,0.0,REBALANCE
2019-04-30,SELL,GLD,121.19999694824219,2452.2172403573463,0.0,REBALANCE
2019-04-30,BUY,TECL,15.168439865112305,19593.8886721846,0.0,REBALANCE
2019-05-07,SELL,TECL,13.651595878601075,19593.8886721846,0.0,STOP
2019-05-31,BUY,TECL,11.341341972351074,23585.202747176576,0.0,REBALANCE
2019-08-05,SELL,TECL,13.623514464868927,23585.202747176576,0.0,STOP
2019-08-30,BUY,TECL,14.704689025878906,21851.080986312892,0.0,REBALANCE
2019-10-02,SELL,TECL,13.736454963684082,21851.080986312892,0.0,STOP
2019-10-31,BUY,TECL,16.885169982910156,17776.332141168572,0.0,REBALANCE
2020-02-25,SELL,TECL,22.118510055541993,17776.332141168572,0.0,STOP
