date,equity,holding,shares,cash,stop_reference,entered_at_open
2016-06-01,100000.0,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-02,99767.11724445806,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-03,102535.78984828599,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-06,102570.2912409762,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-07,102484.04104948459,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-08,104002.06942551462,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-09,104579.95294702302,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-10,105002.58349165939,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-13,105778.84837601951,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-14,105890.97296691182,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-15,106675.86484456145,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-16,105554.59261376708,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-17,106908.74101963559,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-20,106270.48170603628,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-21,104226.31860729927,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-22,104278.07398656847,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-23,103596.68628698947,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-24,108676.89955731877,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-27,109263.41007211666,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-28,108090.38904252087,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-29,108538.89398655795,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-30,109082.28269584393,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-07-01,110755.56404874599,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-05,111669.82792339913,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-06,112325.33464310964,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-07,111902.71067894108,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-08,112575.47138523059,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-11,111514.5683660593,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-12,109668.79321064183,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-13,110677.94085054389,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-14,109824.04618751384,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-15,109401.40906240969,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-18,109573.91602586072,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-19,109720.54200944323,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-20,108150.76483461178,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-21,109798.17178811315,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-22,108978.77851777332,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-25,108219.7676199922,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-26,108676.89955731877,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-27,110427.80410842295,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-28,110108.67774185719,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-07-29,111247.19079829498,GLD,862.5150758517362,0.0,126.47000122070312,False
2016-08-01,111454.19915443621,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-02,108916.09215365186,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-03,109986.08195925757,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-04,111678.17070586805,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-05,114962.80818946724,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-08,115112.10514433423,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-09,115709.35826163058,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-10,114689.10581192154,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-11,116007.93911179887,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-12,115485.37365063306,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-15,116953.49084581168,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-16,114689.10581192154,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-17,114539.79579748887,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-18,114390.51190218757,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-19,114713.98428454415,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-22,114564.71344880853,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-23,115808.85909255531,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-24,114141.64881856744,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-25,114639.34886667633,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-26,114813.49817503456,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-29,116007.93911179887,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-30,114987.68666208984,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-08-31,114664.21427973326,TECL,27387.89428736995,0.0,4.069469451904297,False
2016-09-01,115485.37365063306,GLD,921.7445351324985,0.0,125.29000091552734,False
2016-09-02,116665.20553042623,GLD,921.7445351324985,0.0,125.29000091552734,False
2016-09-06,118637.74530537428,GLD,921.7445351324985,0.0,125.29000091552734,False
2016-09-07,118232.1754595631,GLD,921.7445351324985,0.0,125.29000091552734,False
2016-09-08,117605.38186202619,GLD,921.7445351324985,0.0,125.29000091552734,False
2016-09-09,116831.11982804419,GLD,921.7445351324985,0.0,125.29000091552734,False
2016-09-12,116683.63732689369,GLD,921.7445351324985,0.0,125.29000091552734,False
2016-09-13,115909.37529291169,GLD,921.7445351324985,0.0,125.29000091552734,False
2016-09-14,116305.72572431277,GLD,921.7445351324985,0.0,125.29000091552734,False
