date,action,symbol,price,shares,cost,reason
2016-06-01,BUY,GLD,115.94000244140625,862.5150758517362,0.0,REBALANCE
2016-08-01,SELL,GLD,129.22000122070312,862.5150758517362,0.0,REBALANCE
2016-08-01,BUY,TECL,4.069469928741455,27387.891078213495,0.0,REBALANCE
2016-11-04,SELL,TECL,3.9675278663635254,27387.891078213495,0.0,STOP
2016-12-01,BUY,TECL,4.014047622680664,27070.48626921226,0.0,REBALANCE
2017-04-03,SELL,TECL,6.064682960510254,27070.48626921226,0.0,REBALANCE
2017-04-03,BUY,TQQQ,3.4876747131347656,47072.600030997964,0.0,REBALANCE
2017-06-29,SELL,TQQQ,3.7882996559143067,47072.600030997964,0.0,STOP
2017-08-01,BUY,TQQQ,4.38435697555542,40673.037230922724,0.0,REBALANCE
2017-10-02,SELL,TQQQ,4.539682388305664,40673.037230922724,0.0,REBALANCE
2017-10-02,BUY,TECL,8.167105674743652,22608.091305481485,0.0,REBALANCE
2018-02-01,SELL,TECL,12.460898399353027,22608.091305481485,0.0,REBALANCE
2018-02-01,BUY,TQQQ,6.843799591064453,41163.84838748388,0.0,REBALANCE
2018-02-05,SELL,TQQQ,6.159419631958008,41163.84838748388,0.0,STOP
2018-04-02,BUY,TQQQ,5.19624662399292,48793.9534498039,0.0,REBALANCE
2018-06-01,SELL,TQQQ,6.952763557434082,48793.9534498039,0.0,REBALANCE
2018-06-01,BUY,TECL,13.013825416564941,26068.647035721406,0.0,REBALANCE
2018-08-01,SELL,TECL,13.134157180786133,26068.647035721406,0.0,REBALANCE
2018-08-01,BUY,TQQQ,7.402094841003418,46255.78501925619,0.0,REBALANCE
2018-10-01,SELL,TQQQ,8.505216598510742,46255.78501925619,0.0,REBALANCE
2018-10-01,BUY,TECL,15.469356536865234,25431.922109065657,0.0,REBALANCE
2018-10-05,SELL,TECL,13.922420883178711,25431.922109065657,0.0,STOP
2018-12-03,BUY,GLD,116.41000366210938,3041.6107923023683,0.0,REBALANCE
2019-06-03,SELL,GLD,125.11000061035156,3041.6107923023683,0.0,REBALANCE
2019-06-03,BUY,TECL,10.730324745178223,35463.59845748366,0.0,REBALANCE
2019-08-05,SELL,TECL,13.623514464868927,35463.59845748366,0.0,STOP
2019-10-01,BUY,TECL,14.856426239013672,32520.529418648934,0.0,REBALANCE
2020-02-25,SELL,TECL,22.118510055541993,32520.529418648934,0.0,STOP
2020-04-01,BUY,IEF,104.02655375954976,6914.6350711623245,0.0,REBALANCE
2020-06-01,SELL,IEF,104.18904092606049,6914.6350711623245,0.0,REBALANCE
2020-06-01,BUY,TQQQ,9.980802536010742,72181.48979691719,0.0,REBALANCE
2020-10-01,SELL,TQQQ,16.32258415222168,72181.48979691719,0.0,REBALANCE
2020-10-01,BUY,TECL,28.955211639404297,40690.03038608598,0.0,REBALANCE
2020-10-28,SELL,TECL,25.958106088541687,40690.03038608598,0.0,STOP
2020-12-01,BUY,TQQQ,19.56256103515625,53992.732526678,0.0,REBALANCE
2021-02-01,SELL,TQQQ,23.137264251708984,53992.732526678,0.0,REBALANCE
2021-02-01,BUY,TECL,38.75969314575195,32230.49561935215,0.0,REBALANCE
2021-03-04,SELL,TECL,34.88372383117676,32230.49561935215,0.0,STOP
2021-04-01,BUY,TECL,40.39178466796875,27835.356059892893,0.0,REBALANCE
2021-05-12,SELL,TECL,36.352606201171874,27835.356059892893,0.0,STOP
2021-06-01,BUY,TECL,41.637306213378906,24302.430424510738,0.0,REBALANCE
2021-12-03,SELL,TECL,66.61046447753907,24302.430424510738,0.0,STOP
2022-02-01,BUY,GLD,168.22999572753906,9622.518097970456,0.0,REBALANCE
2022-06-01,SELL,GLD,172.22999572753906,9622.518097970456,0.0,REBALANCE
2022-06-01,BUY,SHY,72.63951218826776,22815.217241633578,0.0,REBALANCE
2023-02-01,SELL,SHY,72.36141641805543,22815.217241633578,0.0,REBALANCE
2023-02-01,BUY,GLD,181.6699981689453,9087.5843679755,0.0,REBALANCE
2023-04-03,SELL,GLD,184.5399932861328,9087.5843679755,0.0,REBALANCE
2023-04-03,BUY,TECL,34.393245697021484,48760.23545514337,0.0,REBALANCE
2023-04-24,SELL,TECL,30.953921127319337,48760.23545514337,0.0,STOP
2023-06-01,BUY,TECL,44.14683532714844,34188.64503521637,0.0,REBALANCE
2023-08-04,SELL,TECL,48.12034721374512,34188.64503521637,0.0,STOP
2023-10-02,BUY,TQQQ,17.686429977416992,93018.74216349698,0.0,REBALANCE
2023-10-25,SELL,TQQQ,15.917786979675293,93018.74216349698,0.0,STOP
2023-12-01,BUY,TECL,56.063175201416016,26410.42926228138,0.0,REBALANCE
2024-04-15,SELL,TECL,67.28430404663087,26410.42926228138,0.0,STOP
2024-06-03,BUY,TQQQ,30.865659713745117,57572.31074811724,0.0,REBALANCE
2024-08-01,SELL,TQQQ,31.09166717529297,57572.31074811724,0.0,REBALANCE
2024-08-01,BUY,TECL,70.48751831054688,25394.838223793264,0.0,REBALANCE
2024-08-02,SELL,TECL,63.43876647949219,25394.838223793264,0.0,STOP
2024-10-01,BUY,TQQQ,34.17509460449219,47140.09516309988,0.0,REBALANCE
2025-02-27,SELL,TQQQ,36.77214660644531,47140.09516309988,0.0,STOP
2025-04-01,BUY,GLD,287.57000732421875,6027.897368396054,0.0,REBALANCE
2025-06-02,SELL,GLD,311.6700134277344,6027.897368396054,0.0,REBALANCE
2025-06-02,BUY,TQQQ,35.474727630615234,52959.246743522366,0.0,REBALANCE
2025-08-01,SELL,TQQQ,41.19253921508789,52959.246743522366,0.0,REBALANCE
2025-08-01,BUY,TECL,90.73960876464844,24041.6051819475,0.0,REBALANCE
2025-11-20,SELL,TECL,105.15329818725586,24041.6051819475,0.0,STOP
2025-12-01,BUY,TECL,116.80880737304688,21642.66664005799,0.0,REBALANCE
2026-02-02,SELL,TECL,118.2996597290039,21642.66664005799,0.0,REBALANCE
2026-02-02,BUY,TQQQ,54.88268280029297,46650.78251483466,0.0,REBALANCE
2026-02-04,SELL,TQQQ,49.39441452026367,46650.78251483466,0.0,STOP
2026-04-01,BUY,GLD,437.82000732421875,5263.094538130638,0.0,REBALANCE
2026-06-01,SELL,GLD,411.260009765625,5263.094538130638,0.0,REBALANCE
2026-06-01,BUY,TECL,263.4402770996094,8216.284673624887,0.0,REBALANCE
2026-06-05,SELL,TECL,236.34390052756868,8216.284673624887,0.0,STOP
