date,equity,holding,shares,cash,stop_reference,entered_at_open
2016-06-01,100000.0,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-02,99767.11724445806,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-03,102535.78984828599,GLD,862.5150758517362,0.0,115.94000244140625,False
2016-06-06,102570.2912409762,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-07,102718.6508374017,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-08,102839.19806261716,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-09,102996.828449446,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-10,103358.53300836065,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-13,103562.54429717828,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-14,103534.73192596826,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-15,103850.08253286626,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-16,103961.3589676784,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-17,103608.90723251898,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-20,103163.74759332622,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-21,102931.93291662264,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-22,103135.97115541235,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-23,102644.44858087887,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-24,104063.32867879105,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-27,104962.91874757993,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-28,104944.38615009731,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-29,104517.78605835926,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-06-30,104749.62768503494,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-07-01,105026.38593188186,IEF,1167.439546180913,0.0,87.85918857770244,False
2016-07-05,105602.18106918054,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-06,105620.75858328334,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-07,105481.40027754018,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-08,105685.75293267108,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-11,105128.56225944731,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-12,104506.33232021562,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-13,104775.65237476215,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-14,104339.14367661435,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-15,103939.82593996833,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-18,103911.97763546217,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-19,104190.63136368028,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-20,103976.99893482201,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-21,104209.08311124663,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-22,104125.54718105221,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-25,104041.9304009415,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-26,104106.98763359745,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-27,104552.70423888035,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-28,104608.48169780897,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-07-29,105007.81740110306,IEF,1167.439546180913,0.0,89.96301887790116,False
2016-08-01,104643.22021184937,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-02,102260.18071685603,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-03,103264.78320453453,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-04,104853.4680268683,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-05,107937.44188177677,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-08,108077.5784816398,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-09,108638.30880348213,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-10,107680.40421068318,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-11,108918.69235664232,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-12,108428.02420398516,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-15,109806.47347279268,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-16,107680.40421068318,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-17,107540.2308263421,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-18,107400.05744200104,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-19,107703.77461573515,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-22,107563.60123139407,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-23,108731.75363921195,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-24,107166.43922193014,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-25,107633.67566207192,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-26,107797.24397445034,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-29,108918.69235664232,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-30,107960.80002533605,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-08-31,107657.0460671239,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-09-01,108428.02420398516,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-09-02,109783.1153292334,TECL,25714.21390112394,0.0,4.069469928741455,False
2016-09-06,111441.88684373772,TECL,25714.21390112394,0.0,4.269355297088623,False
2016-09-07,112119.37109889844,TECL,25714.21390112394,0.0,4.269355297088623,False
2016-09-08,109572.84299122912,TECL,25714.21390112394,0.0,4.269355297088623,False
2016-09-09,101582.65354647093,TECL,25714.21390112394,0.0,4.269355297088623,False
2016-09-12,106792.65987901085,TECL,25714.21390112394,0.0,4.269355297088623,False
2016-09-13,104246.0214179074,TECL,25714.21390112394,0.0,4.269355297088623,False
2016-09-14,105928.17559895637,TECL,25714.21390112394,0.0,4.269355297088623,False
