date,action,symbol,price,shares,cost,reason
2010-03-01,BUY,TQQQ,0.23050928115844727,433822.01140639576,0.0,REBALANCE
2010-04-01,SELL,TQQQ,0.2748192846775055,433822.01140639576,0.0,REBALANCE
2010-04-01,BUY,TECL,0.853504478931427,139686.0330496766,0.0,REBALANCE
2010-05-06,SELL,TECL,0.8111663103103638,139686.0330496766,0.0,STOP
2010-06-01,BUY,TQQQ,0.21914729475975037,517043.13372892473,0.0,REBALANCE
2010-06-08,SELL,TQQQ,0.19723256528377534,517043.13372892473,0.0,STOP
2010-07-01,BUY,GLD,117.04000091552734,871.3067569208199,0.0,REBALANCE
2010-08-02,SELL,GLD,115.54000091552734,871.3067569208199,0.0,REBALANCE
2010-08-02,BUY,TQQQ,0.23466795682907104,428992.4574818023,0.0,REBALANCE
2010-08-12,SELL,TQQQ,0.20313141926563621,428992.4574818023,0.0,STOP
2010-09-01,BUY,IEF,69.30506681155018,1257.3661746764062,0.0,REBALANCE
2010-10-01,SELL,IEF,69.84314769273784,1257.3661746764062,0.0,REBALANCE
2010-10-01,BUY,TECL,0.7484711408615112,117330.39077591636,0.0,REBALANCE
2010-11-01,SELL,TECL,0.9062784314155579,117330.39077591636,0.0,REBALANCE
2010-11-01,BUY,TQQQ,0.3242035508155823,327985.31121041987,0.0,REBALANCE
2010-12-01,SELL,TQQQ,0.3391052484512329,327985.31121041987,0.0,REBALANCE
2010-12-01,BUY,TECL,0.9131882190704346,121794.76051451976,0.0,REBALANCE
2011-01-03,SELL,TECL,1.0420198440551758,121794.76051451976,0.0,REBALANCE
2011-01-03,BUY,TQQQ,0.3825978934764862,331712.6401425866,0.0,REBALANCE
2011-03-01,SELL,TQQQ,0.4107675552368164,331712.6401425866,0.0,REBALANCE
2011-03-01,BUY,TECL,1.1202547550201416,121630.18244012748,0.0,REBALANCE
2011-03-15,SELL,TECL,0.9611099734099399,121630.18244012748,0.0,STOP
2011-04-01,BUY,TECL,1.0684744119644165,109408.3116094035,0.0,REBALANCE
