date,action,symbol,price,shares,cost,reason
2016-06-01,BUY,GLD,115.94000244140625,862.5150758517362,0.0,REBALANCE
2016-07-01,SELL,GLD,128.41000366210938,862.5150758517362,0.0,REBALANCE
2016-07-01,BUY,SHY,69.89525775912678,1584.5933987457647,0.0,REBALANCE
2016-08-01,SELL,SHY,69.81407370916457,1584.5933987457647,0.0,REBALANCE
2016-08-01,BUY,TECL,4.069469928741455,27184.60199392737,0.0,REBALANCE
2016-09-01,SELL,TECL,4.2166571617126465,27184.60199392737,0.0,REBALANCE
2016-09-01,BUY,TQQQ,2.418627977371216,47393.87279005595,0.0,REBALANCE
2016-10-03,SELL,TQQQ,2.5418577194213867,47393.87279005595,0.0,REBALANCE
2016-10-03,BUY,TECL,4.368388652801514,27577.326785569017,0.0,REBALANCE
2016-11-01,SELL,TECL,4.18667459487915,27577.326785569017,0.0,REBALANCE
2016-11-01,BUY,TQQQ,2.3801937103271484,48507.519764831646,0.0,REBALANCE
2016-12-01,SELL,TQQQ,2.321946620941162,48507.519764831646,0.0,REBALANCE
2016-12-01,BUY,TECL,4.014047622680664,28059.42584531909,0.0,REBALANCE
2017-01-03,SELL,TECL,4.668214797973633,28059.42584531909,0.0,REBALANCE
2017-01-03,BUY,TQQQ,2.581679582595825,50737.290497551694,0.0,REBALANCE
2017-02-01,SELL,TQQQ,2.9733598232269287,50737.290497551694,0.0,REBALANCE
2017-02-01,BUY,TECL,5.12431526184082,29440.074116482003,0.0,REBALANCE
2017-06-09,SELL,TECL,6.599281826019287,29440.074116482003,0.0,STOP
2017-07-03,BUY,TECL,6.388132095336914,30413.16979268161,0.0,REBALANCE
2017-08-01,SELL,TECL,7.502034664154053,30413.16979268161,0.0,REBALANCE
2017-08-01,BUY,TQQQ,4.38435697555542,52039.7073741005,0.0,REBALANCE
2017-09-01,SELL,TQQQ,4.572173595428467,52039.7073741005,0.0,REBALANCE
2017-09-01,BUY,TECL,7.977212905883789,29826.780202167087,0.0,REBALANCE
2017-10-02,SELL,TECL,8.167105674743652,29826.780202167087,0.0,REBALANCE
2017-10-02,BUY,TQQQ,4.539682388305664,53659.80370696553,0.0,REBALANCE
2017-11-01,SELL,TQQQ,5.142357349395752,53659.80370696553,0.0,REBALANCE
2017-11-01,BUY,TECL,9.778901100158691,28217.67836011448,0.0,REBALANCE
2017-12-05,SELL,TECL,9.305030326843262,28217.67836011448,0.0,STOP
2018-01-02,BUY,TQQQ,5.778714179992676,45436.812535744226,0.0,REBALANCE
2018-02-01,SELL,TQQQ,6.843799591064453,45436.812535744226,0.0,REBALANCE
2018-02-01,BUY,TECL,12.460898399353027,24954.897238191403,0.0,REBALANCE
2018-02-02,SELL,TECL,11.464026527404785,24954.897238191403,0.0,STOP
2018-03-01,BUY,TQQQ,6.269650459289551,45629.91282925593,0.0,REBALANCE
2018-03-23,SELL,TQQQ,5.768078422546387,45629.91282925593,0.0,STOP
2018-04-02,BUY,TQQQ,5.19624662399292,50651.35176568216,0.0,REBALANCE
2018-05-01,SELL,TQQQ,5.8631134033203125,50651.35176568216,0.0,REBALANCE
2018-05-01,BUY,TECL,10.645691871643066,27896.2253477122,0.0,REBALANCE
2018-07-02,SELL,TECL,12.507287979125977,27896.2253477122,0.0,REBALANCE
2018-07-02,BUY,TQQQ,6.940876483917236,50268.30901873611,0.0,REBALANCE
2018-08-01,SELL,TQQQ,7.402094841003418,50268.30901873611,0.0,REBALANCE
2018-08-01,BUY,TECL,13.134157180786133,28330.008978260223,0.0,REBALANCE
2018-09-06,SELL,TECL,14.165645637512208,28330.008978260223,0.0,STOP
2018-10-01,BUY,TECL,15.469356536865234,25942.440924236213,0.0,REBALANCE
2018-10-05,SELL,TECL,14.231808013916016,25942.440924236213,0.0,STOP
2018-11-01,BUY,SHY,69.89489608610798,5282.32903002298,0.0,REBALANCE
2018-12-03,SELL,SHY,70.06497474698614,5282.32903002298,0.0,REBALANCE
2018-12-03,BUY,GLD,116.41000366210938,3179.3337209068295,0.0,REBALANCE
2019-05-01,SELL,GLD,120.4000015258789,3179.3337209068295,0.0,REBALANCE
2019-05-01,BUY,TQQQ,7.779090881347656,49207.77899205432,0.0,REBALANCE
2019-05-09,SELL,TQQQ,7.1396648658453445,49207.77899205432,0.0,STOP
2019-06-03,BUY,TQQQ,5.597659587860107,62763.20402866074,0.0,REBALANCE
2019-08-01,SELL,TQQQ,7.701693534851074,62763.20402866074,0.0,REBALANCE
2019-08-01,BUY,TECL,15.638594627380371,30909.616510409352,0.0,REBALANCE
2019-08-05,SELL,TECL,13.623514464868927,30909.616510409352,0.0,STOP
2019-09-03,BUY,TQQQ,6.993203639984131,60215.26460711915,0.0,REBALANCE
2019-10-02,SELL,TQQQ,6.751435813903809,60215.26460711915,0.0,STOP
2019-11-01,BUY,TECL,17.47723388671875,23261.089062905718,0.0,REBALANCE
2019-12-03,SELL,TECL,17.84235364450089,23261.089062905718,0.0,STOP
2020-01-02,BUY,TQQQ,10.820575714111328,38355.868318110224,0.0,REBALANCE
2020-02-03,SELL,TQQQ,11.666304588317871,38355.868318110224,0.0,REBALANCE
2020-02-03,BUY,TECL,25.521854400634766,17532.865579601304,0.0,REBALANCE
2020-02-24,SELL,TECL,23.480106048583984,17532.865579601304,0.0,STOP
