date,equity,holding,shares,cash,stop_reference,entered_at_open
2026-06-15,100000.0,TECL,418.4072636971941,0.0,239.0015869140625,False
2026-06-16,91919.23519115624,TECL,418.4072636971941,0.0,239.0015869140625,False
2026-06-17,90702.72832998195,TECL,418.4072636971941,0.0,239.0015869140625,False
2026-06-18,98862.92131216032,TECL,418.4072636971941,0.0,239.0015869140625,False
2026-06-22,100275.90133515433,TECL,418.4072636971941,0.0,239.0015869140625,False
2026-06-23,88396.90438893488,CASH,0.0,88396.90438893488,,False
2026-06-24,88396.90438893488,CASH,0.0,88396.90438893488,,False
2026-06-25,88396.90438893488,CASH,0.0,88396.90438893488,,False
2026-06-26,88396.90438893488,CASH,0.0,88396.90438893488,,False
2026-06-29,88396.90438893488,CASH,0.0,88396.90438893488,,False
2026-06-30,88396.90438893488,CASH,0.0,88396.90438893488,,False
2026-07-01,88396.90438893488,TECL,414.83366609461325,0.0,213.08999633789062,False
2026-07-02,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-06,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-07,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-08,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-09,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-10,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-13,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-14,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-15,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-16,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-17,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-20,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-21,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-22,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-23,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-24,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-27,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-28,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-29,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-30,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-07-31,79557.21395004139,CASH,0.0,79557.21395004139,,False
2026-08-03,79557.21395004139,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-04,91474.99042156326,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-05,89982.52720343758,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-06,89293.35591227519,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-07,92901.6122351859,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-10,90417.09386917074,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-11,89964.9650302324,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-12,93959.50878757841,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-13,96825.9206957243,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-14,95548.54386431292,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-17,96088.4634752575,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-18,88713.9314586288,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-19,85768.5031670727,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-20,85215.41527522753,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-21,85513.90523965003,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-24,80860.92734325399,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-25,83152.29529404492,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-26,84587.69819427015,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-27,92471.43276375075,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-28,88011.5918865658,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-08-31,89297.74310657321,TECL,438.96055803773464,0.0,181.24000549316406,False
2026-09-01,85180.29762682373,TQQQ,1231.819172049412,0.0,69.1500015258789,False
