date,equity,holding,shares,cash,stop_reference,entered_at_open
2011-09-06,100000.0,CASH,0.0,100000.0,,False
2011-09-07,100000.0,CASH,0.0,100000.0,,False
2011-09-08,100000.0,CASH,0.0,100000.0,,False
2011-09-09,100000.0,CASH,0.0,100000.0,,False
2011-09-12,100000.0,CASH,0.0,100000.0,,False
2011-09-13,100000.0,CASH,0.0,100000.0,,False
2011-09-14,100000.0,CASH,0.0,100000.0,,False
2011-09-15,100000.0,CASH,0.0,100000.0,,False
2011-09-16,100000.0,CASH,0.0,100000.0,,False
2011-09-19,100000.0,CASH,0.0,100000.0,,False
2011-09-20,100000.0,CASH,0.0,100000.0,,False
2011-09-21,100000.0,CASH,0.0,100000.0,,False
2011-09-22,100000.0,CASH,0.0,100000.0,,False
2011-09-23,100000.0,CASH,0.0,100000.0,,False
2011-09-26,100000.0,CASH,0.0,100000.0,,False
2011-09-27,100000.0,CASH,0.0,100000.0,,False
2011-09-28,100000.0,CASH,0.0,100000.0,,False
2011-09-29,100000.0,CASH,0.0,100000.0,,False
2011-09-30,100000.0,CASH,0.0,100000.0,,False
2011-10-03,100000.0,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-04,97937.37128122727,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-05,99068.09149016345,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-06,99708.00124186213,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-07,98894.12651351947,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-10,101435.13758837011,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-11,100708.25008828123,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-12,101428.9187978585,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-13,100832.50266028673,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-14,101515.89654624871,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-17,101031.30487952278,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-18,100546.71321279687,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-19,99322.80594482245,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-20,98018.13971896945,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-21,99105.36631377875,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-24,100037.2748236153,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-25,102876.48448738822,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-26,104000.98590581282,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-27,105336.72712449668,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-28,105380.21125875998,GLD,621.272339891029,0.0,160.9600067138672,False
2011-10-31,103963.71108219754,GLD,621.272339891029,0.0,160.9600067138672,False
2011-11-01,103988.56728451679,GLD,621.272339891029,0.0,167.33999633789062,False
