date,action,symbol,price,shares,cost,reason
2011-10-03,BUY,GLD,160.9600067138672,621.272339891029,0.0,REBALANCE
2011-12-14,SELL,GLD,152.2663543701172,621.272339891029,0.0,STOP
2012-01-03,BUY,GLD,155.9199981689453,606.7141827676127,0.0,REBALANCE
2012-02-01,SELL,GLD,169.55999755859375,606.7141827676127,0.0,REBALANCE
2012-02-01,BUY,TQQQ,0.4375018775463104,235140.6031119287,0.0,REBALANCE
2012-03-01,SELL,TQQQ,0.5254784822463989,235140.6031119287,0.0,REBALANCE
2012-03-01,BUY,TECL,1.307881474494934,94474.40738884613,0.0,REBALANCE
2012-04-02,SELL,TECL,1.532978892326355,94474.40738884613,0.0,REBALANCE
2012-04-02,BUY,TQQQ,0.6103837490081787,237272.49067078548,0.0,REBALANCE
2012-04-16,SELL,TQQQ,0.54629345536232,237272.49067078548,0.0,STOP
2012-05-01,BUY,TECL,1.3710267543792725,94542.5815921823,0.0,REBALANCE
2012-05-07,SELL,TECL,1.2192961577309922,94542.5815921823,0.0,STOP
2012-06-01,BUY,TECL,0.9660333395004272,119328.60053973916,0.0,REBALANCE
2012-07-12,SELL,TECL,0.983119102716446,119328.60053973916,0.0,STOP
2012-08-01,BUY,TQQQ,0.5014168620109558,233965.45983823395,0.0,REBALANCE
2012-09-04,SELL,TQQQ,0.5853822827339172,233965.45983823395,0.0,REBALANCE
2012-09-04,BUY,TECL,1.293117642402649,105913.97910751717,0.0,REBALANCE
2012-10-01,SELL,TECL,1.3369556665420532,105913.97910751717,0.0,REBALANCE
2012-10-01,BUY,TQQQ,0.5978582501411438,236849.27740042377,0.0,REBALANCE
2012-10-19,SELL,TQQQ,0.5350831338763237,236849.27740042377,0.0,STOP
2012-11-01,BUY,GLD,166.07000732421875,763.1363161220219,0.0,REBALANCE
2012-12-03,SELL,GLD,166.1300048828125,763.1363161220219,0.0,REBALANCE
2012-12-03,BUY,TECL,1.1109498739242554,114118.41605037788,0.0,REBALANCE
2013-01-02,SELL,TECL,1.2061222791671753,114118.41605037788,0.0,REBALANCE
2013-01-02,BUY,TQQQ,0.5604304075241089,245598.3155334209,0.0,REBALANCE
2013-03-01,SELL,TQQQ,0.5608266592025757,245598.3155334209,0.0,REBALANCE
2013-03-01,BUY,GLD,152.44000244140625,903.5560259803278,0.0,REBALANCE
2013-04-15,SELL,GLD,136.0,903.5560259803278,0.0,STOP
2013-05-01,BUY,TQQQ,0.6372672915458679,192829.0078017913,0.0,REBALANCE
2013-06-03,SELL,TQQQ,0.7187573909759521,192829.0078017913,0.0,REBALANCE
2013-06-03,BUY,TECL,1.445075511932373,95910.05688468351,0.0,REBALANCE
2013-06-21,SELL,TECL,1.2933425831794738,95910.05688468351,0.0,STOP
2013-07-01,BUY,TECL,1.3160587549209595,94254.57659873003,0.0,REBALANCE
2013-11-01,SELL,TECL,1.7240052223205566,94254.57659873003,0.0,REBALANCE
2013-11-01,BUY,TQQQ,1.0226367712020874,158898.43477153056,0.0,REBALANCE
2013-12-02,SELL,TQQQ,1.1218509674072266,158898.43477153056,0.0,REBALANCE
2013-12-02,BUY,TECL,1.8505231142044067,96329.7142303326,0.0,REBALANCE
