date,action,symbol,price,shares,cost,reason
2016-06-01,BUY,GLD,115.97000122070312,861.8610324689988,49.97501249375312,REBALANCE
2016-07-01,SELL,GLD,127.66000366210938,861.8610324689988,55.01259128061088,REBALANCE
2016-07-01,BUY,SHY,69.91983891195677,1572.0175285610248,54.95760618187963,REBALANCE
2016-08-01,SELL,SHY,69.78127715232351,1572.0175285610248,54.84869542441376,REBALANCE
2016-08-01,BUY,TECL,4.050390113116167,27056.09712121091,54.79387413963173,REBALANCE
2016-11-10,SELL,TECL,3.8824868045114687,27056.09712121091,52.52247002734105,STOP
2016-12-01,BUY,TECL,4.281165917181154,24512.00202022184,52.469973805424665,REBALANCE
2017-03-01,SELL,TECL,5.81482657989684,24512.00202022184,71.26652043683549,REBALANCE
2017-03-01,BUY,TQQQ,3.366425666779969,42297.25921734098,71.19528953185115,REBALANCE
2017-06-29,SELL,TQQQ,3.8107658908756354,42297.25921734098,80.59247635148405,STOP
2017-07-03,BUY,TQQQ,3.938591786821451,40883.6094264077,80.5119241512327,REBALANCE
2017-09-01,SELL,TQQQ,4.610212264754755,40883.6094264077,94.24105880253394,REBALANCE
2017-09-01,BUY,TECL,8.055350019861754,23374.990437058146,94.14686484071233,REBALANCE
2018-02-01,SELL,TECL,12.277195483333736,23374.990437058146,143.4896635084098,REBALANCE
2018-02-01,BUY,TQQQ,6.864007441582058,41767.50878371406,143.34624555387865,REBALANCE
2018-02-05,SELL,TQQQ,6.177606697423852,41767.50878371406,129.01162099849077,STOP
2018-03-01,BUY,TQQQ,6.60130052050355,39047.66142694403,128.88267385106602,REBALANCE
2018-03-23,SELL,TQQQ,5.941170468453195,39047.66142694403,115.99440646595941,STOP
2018-04-02,BUY,TQQQ,5.567916102339342,41623.64083719819,115.8784700277126,REBALANCE
2018-05-01,SELL,TQQQ,5.62893743035826,41623.64083719819,117.14843494814676,REBALANCE
2018-05-01,BUY,TECL,10.196437107696557,22955.34093370812,117.0313450581436,REBALANCE
2018-07-02,SELL,TECL,11.833040868876456,22955.34093370812,135.8157437137804,REBALANCE
