date,action,symbol,price,shares,cost,reason
2016-06-01,BUY,GLD,115.94000244140625,862.5150758517362,0.0,REBALANCE
2016-07-01,SELL,GLD,128.41000366210938,862.5150758517362,0.0,REBALANCE
2016-07-01,BUY,SHY,69.89525775912678,1584.5933987457647,0.0,REBALANCE
2016-08-01,SELL,SHY,69.81407370916457,1584.5933987457647,0.0,REBALANCE
2016-08-01,BUY,TECL,4.069469928741455,27184.60199392737,0.0,REBALANCE
2016-11-04,SELL,TECL,3.9545546913146974,27184.60199392737,0.0,STOP
2016-12-01,BUY,TECL,4.014047622680664,26781.69405344913,0.0,REBALANCE
2017-03-01,SELL,TECL,5.970191478729248,26781.69405344913,0.0,REBALANCE
2017-03-01,BUY,TQQQ,3.4155592918395996,46812.78466043521,0.0,REBALANCE
2017-06-12,SELL,TQQQ,3.8724840927124027,46812.78466043521,0.0,STOP
2017-07-03,BUY,TQQQ,3.764247179031372,48158.83636519176,0.0,REBALANCE
2017-09-01,SELL,TQQQ,4.572173595428467,48158.83636519176,0.0,REBALANCE
2017-09-01,BUY,TECL,7.977212905883789,27602.442433632812,0.0,REBALANCE
2017-12-05,SELL,TECL,9.305030326843262,27602.442433632812,0.0,STOP
2018-01-02,BUY,TECL,10.580212593078613,24275.652467316188,0.0,REBALANCE
2018-02-01,SELL,TECL,12.460898399353027,24275.652467316188,0.0,REBALANCE
2018-02-01,BUY,TQQQ,6.843799591064453,44200.07262751856,0.0,REBALANCE
2018-02-05,SELL,TQQQ,6.250632598528159,44200.07262751856,0.0,STOP
2018-03-01,BUY,TQQQ,6.269650459289551,44065.999630573715,0.0,REBALANCE
2018-03-23,SELL,TQQQ,5.768078422546387,44065.999630573715,0.0,STOP
2018-04-02,BUY,TQQQ,5.19624662399292,48915.334476894845,0.0,REBALANCE
2018-05-01,SELL,TQQQ,5.8631134033203125,48915.334476894845,0.0,REBALANCE
2018-05-01,BUY,TECL,10.645691871643066,26940.11405339632,0.0,REBALANCE
2018-07-02,SELL,TECL,12.507287979125977,26940.11405339632,0.0,REBALANCE
2018-07-02,BUY,TQQQ,6.940876483917236,48545.42008305019,0.0,REBALANCE
2018-09-06,SELL,TQQQ,7.906821174621582,48545.42008305019,0.0,STOP
2018-10-01,BUY,TECL,15.469356536865234,24812.923183251143,0.0,REBALANCE
2018-10-05,SELL,TECL,14.231808013916016,24812.923183251143,0.0,STOP
2018-11-01,BUY,SHY,69.89489608610798,5052.3397097984,0.0,REBALANCE
2018-12-03,SELL,SHY,70.06497474698614,5052.3397097984,0.0,REBALANCE
2018-12-03,BUY,GLD,116.41000366210938,3040.9075083247512,0.0,REBALANCE
2019-05-01,SELL,GLD,120.4000015258789,3040.9075083247512,0.0,REBALANCE
2019-05-01,BUY,TECL,15.053191184997559,24322.10314363426,0.0,REBALANCE
2019-05-07,SELL,TECL,13.848935890197755,24322.10314363426,0.0,STOP
2019-06-03,BUY,TECL,10.730324745178223,31390.96487292506,0.0,REBALANCE
2019-08-02,SELL,TECL,14.591158447265625,31390.96487292506,0.0,STOP
2019-09-03,BUY,TECL,14.191542625427246,32274.894587762243,0.0,REBALANCE
2019-10-02,SELL,TECL,14.041709518432619,32274.894587762243,0.0,STOP
2019-11-01,BUY,TECL,17.47723388671875,25930.573309073865,0.0,REBALANCE
2019-12-03,SELL,TECL,17.84235364450089,25930.573309073865,0.0,STOP
2020-01-02,BUY,TECL,23.366722106933594,19800.05826524834,0.0,REBALANCE
2020-02-25,SELL,TECL,22.610032501220704,19800.05826524834,0.0,STOP
2020-03-02,BUY,TECL,22.269023895263672,20103.259263130265,0.0,REBALANCE
2020-03-03,SELL,TECL,20.48750198364258,20103.259263130265,0.0,STOP
2020-04-01,BUY,IEF,104.02655375954976,3959.2349178755017,0.0,REBALANCE
2020-05-01,SELL,IEF,104.03355474034372,3959.2349178755017,0.0,REBALANCE
2020-05-01,BUY,TQQQ,7.565112113952637,54446.42146135682,0.0,REBALANCE
2020-09-03,SELL,TQQQ,17.683041610717773,54446.42146135682,0.0,STOP
2020-10-01,BUY,TECL,28.955211639404297,33250.606082451595,0.0,REBALANCE
2020-10-02,SELL,TECL,26.638794708251954,33250.606082451595,0.0,STOP
2020-11-02,BUY,TQQQ,13.995038986206055,63290.71824868873,0.0,REBALANCE
2021-02-01,SELL,TQQQ,23.137264251708984,63290.71824868873,0.0,REBALANCE
2021-02-01,BUY,TECL,38.75969314575195,37780.84793637914,0.0,REBALANCE
2021-02-23,SELL,TECL,35.6589176940918,37780.84793637914,0.0,STOP
2021-03-01,BUY,TQQQ,23.108675003051758,58299.49777728172,0.0,REBALANCE
2021-03-03,SELL,TQQQ,21.259981002807617,58299.49777728172,0.0,STOP
2021-04-01,BUY,TECL,40.39178466796875,30685.601673875346,0.0,REBALANCE
2021-05-04,SELL,TECL,40.530175628662114,30685.601673875346,0.0,STOP
2021-06-01,BUY,TECL,41.637306213378906,29869.67549581083,0.0,REBALANCE
2021-07-01,SELL,TECL,51.46308898925781,29869.67549581083,0.0,REBALANCE
2021-07-01,BUY,TQQQ,29.19792366027832,52647.09182771092,0.0,REBALANCE
2021-08-02,SELL,TQQQ,31.613609313964844,52647.09182771092,0.0,REBALANCE
2021-08-02,BUY,TECL,56.48207473754883,29467.129178440544,0.0,REBALANCE
