date,action,symbol,price,shares,cost,reason
2016-06-01,BUY,GLD,115.94000244140625,862.5150758517362,0.0,REBALANCE
2016-07-01,SELL,GLD,128.41000366210938,862.5150758517362,0.0,REBALANCE
2016-07-01,BUY,SHY,69.89525775912678,1584.5933987457647,0.0,REBALANCE
2016-08-01,SELL,SHY,69.81407370916457,1584.5933987457647,0.0,REBALANCE
2016-08-01,BUY,TQQQ,2.374645709991455,46586.70549194916,0.0,REBALANCE
2017-03-01,SELL,TQQQ,3.4155592918395996,46586.70549194916,0.0,REBALANCE
2017-03-01,BUY,TECL,5.970191478729248,26652.353678460306,0.0,REBALANCE
2017-06-29,SELL,TECL,6.455819177627563,26652.353678460306,0.0,STOP
2017-07-03,BUY,TECL,6.388132095336914,26934.7554869624,0.0,REBALANCE
2017-09-01,SELL,TECL,7.977212905883789,26934.7554869624,0.0,REBALANCE
2017-09-01,BUY,TQQQ,4.572173595428467,46993.902266146426,0.0,REBALANCE
2018-02-01,SELL,TQQQ,6.843799591064453,46993.902266146426,0.0,REBALANCE
2018-02-01,BUY,TECL,12.460898399353027,25810.085180397124,0.0,REBALANCE
2018-02-05,SELL,TECL,10.994909184263905,25810.085180397124,0.0,STOP
2018-03-01,BUY,TECL,11.346857070922852,25009.528261688236,0.0,REBALANCE
2018-03-23,SELL,TECL,10.212171363830567,25009.528261688236,0.0,STOP
2018-04-02,BUY,TECL,9.682615280151367,26377.33514626755,0.0,REBALANCE
2018-05-01,SELL,TECL,10.645691871643066,26377.33514626755,0.0,REBALANCE
2018-05-01,BUY,TQQQ,5.8631134033203125,47893.49327666152,0.0,REBALANCE
2018-07-02,SELL,TQQQ,6.940876483917236,47893.49327666152,0.0,REBALANCE
2018-07-02,BUY,TECL,12.507287979125977,26578.329512475037,0.0,REBALANCE
2018-10-01,SELL,TECL,15.469356536865234,26578.329512475037,0.0,REBALANCE
2018-10-01,BUY,TQQQ,8.505216598510742,48340.88004939885,0.0,REBALANCE
2018-10-05,SELL,TQQQ,7.654694938659668,48340.88004939885,0.0,STOP
2018-11-01,BUY,SHY,69.89489608610798,5294.158952445086,0.0,REBALANCE
2018-12-03,SELL,SHY,70.06497474698614,5294.158952445086,0.0,REBALANCE
2018-12-03,BUY,GLD,116.41000366210938,3186.453926986107,0.0,REBALANCE
2019-05-01,SELL,GLD,120.4000015258789,3186.453926986107,0.0,REBALANCE
2019-05-01,BUY,TQQQ,7.779090881347656,49317.98117838757,0.0,REBALANCE
2019-05-09,SELL,TQQQ,7.001181793212891,49317.98117838757,0.0,STOP
2019-06-03,BUY,TQQQ,5.597659587860107,61683.663767796126,0.0,REBALANCE
2019-08-05,SELL,TQQQ,6.8991356059267845,61683.663767796126,0.0,STOP
2019-09-03,BUY,TQQQ,6.993203639984131,60853.93517946859,0.0,REBALANCE
2019-10-03,SELL,TQQQ,6.604665470123291,60853.93517946859,0.0,STOP
2019-11-01,BUY,TQQQ,8.474483489990234,47427.06559941866,0.0,REBALANCE
2020-02-27,SELL,TQQQ,9.803318425649607,47427.06559941866,0.0,STOP
2020-03-02,BUY,TQQQ,10.42391586303711,44603.45154108026,0.0,REBALANCE
2020-03-03,SELL,TQQQ,9.3815242767334,44603.45154108026,0.0,STOP
2020-04-01,BUY,IEF,104.02655375954976,4022.514909279422,0.0,REBALANCE
2020-05-01,SELL,IEF,104.03355474034372,4022.514909279422,0.0,REBALANCE
2020-05-01,BUY,TECL,13.505335807800293,30986.014043921037,0.0,REBALANCE
2020-09-03,SELL,TECL,30.96390151977539,30986.014043921037,0.0,STOP
2020-10-01,BUY,TQQQ,16.32258415222168,58780.391535966264,0.0,REBALANCE
2020-10-28,SELL,TQQQ,14.690325736999512,58780.391535966264,0.0,STOP
2020-11-02,BUY,TECL,23.674945831298828,36473.287194184086,0.0,REBALANCE
2021-02-01,SELL,TECL,38.75969314575195,36473.287194184086,0.0,REBALANCE
2021-02-01,BUY,TQQQ,23.137264251708984,61100.28412538185,0.0,REBALANCE
2021-02-23,SELL,TQQQ,20.823537826538086,61100.28412538185,0.0,STOP
2021-03-01,BUY,TECL,40.51541519165039,31403.456478938417,0.0,REBALANCE
2021-03-03,SELL,TECL,36.463873672485356,31403.456478938417,0.0,STOP
2021-04-01,BUY,TQQQ,22.846614837646484,50120.846263864376,0.0,REBALANCE
2021-05-04,SELL,TQQQ,23.08341865539551,50120.846263864376,0.0,STOP
2021-06-01,BUY,TQQQ,24.202163696289062,47804.01009554757,0.0,REBALANCE
2021-07-01,SELL,TQQQ,29.19792366027832,47804.01009554757,0.0,REBALANCE
2021-07-01,BUY,TECL,51.46308898925781,27121.921066889725,0.0,REBALANCE
2021-08-02,SELL,TECL,56.48207473754883,27121.921066889725,0.0,REBALANCE
2021-08-02,BUY,TQQQ,31.613609313964844,48457.05397040098,0.0,REBALANCE
2021-09-20,SELL,TQQQ,32.05220375061035,48457.05397040098,0.0,STOP
2021-10-01,BUY,TQQQ,30.217561721801758,51399.09637027477,0.0,REBALANCE
2021-11-01,SELL,TQQQ,37.3288459777832,51399.09637027477,0.0,REBALANCE
2021-11-01,BUY,TECL,65.5328598022461,29277.96768816522,0.0,REBALANCE
2021-12-01,SELL,TECL,70.92089080810547,29277.96768816522,0.0,REBALANCE
2021-12-01,BUY,TQQQ,36.950050354003906,56195.31041506699,0.0,REBALANCE
