date,action,symbol,price,shares,cost,reason
2016-06-01,BUY,GLD,115.94000244140625,862.5150758517362,0.0,REBALANCE
2016-06-06,SELL,GLD,118.91999816894531,862.5150758517362,0.0,REBALANCE
2016-06-06,BUY,IEF,87.85918857770244,1167.439546180913,0.0,REBALANCE
2016-07-11,SELL,IEF,90.05054060688465,1167.439546180913,0.0,REBALANCE
2016-07-11,BUY,TQQQ,2.0891575813293457,50321.03044737931,0.0,REBALANCE
2016-07-18,SELL,TQQQ,2.180490255355835,50321.03044737931,0.0,REBALANCE
2016-07-18,BUY,TECL,3.7614662647247314,29170.67675416321,0.0,REBALANCE
2016-09-19,SELL,TECL,4.235738754272461,29170.67675416321,0.0,REBALANCE
2016-09-19,BUY,TQQQ,2.432297468185425,50799.44687363562,0.0,REBALANCE
2016-10-03,SELL,TQQQ,2.5418577194213867,50799.44687363562,0.0,REBALANCE
2016-10-03,BUY,TECL,4.368388652801514,29558.946431031847,0.0,REBALANCE
2016-11-07,SELL,TECL,4.218475341796875,29558.946431031847,0.0,REBALANCE
2016-11-07,BUY,TQQQ,2.385343551635742,52274.93815861211,0.0,REBALANCE
2016-11-14,SELL,TQQQ,2.2676618099212646,52274.93815861211,0.0,REBALANCE
2016-11-14,BUY,TECL,3.907745361328125,30335.10884598471,0.0,REBALANCE
2016-11-28,SELL,TECL,4.433805465698242,30335.10884598471,0.0,REBALANCE
2016-11-28,BUY,TQQQ,2.514913320541382,53480.957099119616,0.0,REBALANCE
2016-12-05,SELL,TQQQ,2.385146379470825,53480.957099119616,0.0,REBALANCE
2016-12-05,BUY,TECL,4.173046112060547,30567.577680710972,0.0,REBALANCE
2016-12-12,SELL,TECL,4.546466827392578,30567.577680710972,0.0,REBALANCE
2016-12-12,BUY,TQQQ,2.5297718048095703,54935.57863791574,0.0,REBALANCE
2016-12-27,SELL,TQQQ,2.6710307598114014,54935.57863791574,0.0,REBALANCE
2016-12-27,BUY,TECL,4.780877590179443,30691.9843861561,0.0,REBALANCE
2017-02-21,SELL,TECL,5.767580986022949,30691.9843861561,0.0,REBALANCE
2017-02-21,BUY,TQQQ,3.3426513671875,52957.51369902814,0.0,REBALANCE
2017-02-27,SELL,TQQQ,3.3347277641296387,52957.51369902814,0.0,REBALANCE
2017-02-27,BUY,TECL,5.807559013366699,30408.45402430938,0.0,REBALANCE
2017-03-06,SELL,TECL,5.857529163360596,30408.45402430938,0.0,REBALANCE
2017-03-06,BUY,TQQQ,3.3557279109954834,53078.91789333506,0.0,REBALANCE
