date,spy_price,long_strike,short_strike,debit,pnl,roi,win
2010-01-04,85.77,81,88,4.72,-3.51,-0.74,false
2010-01-05,86.0,82,89,4.42,-3.87,-0.88,false
2010-01-08,86.71,82,89,4.71,-4.21,-0.89,false
2010-01-11,86.83,82,89,4.77,-4.58,-0.96,false
2010-01-12,86.02,82,89,4.42,-4.15,-0.94,false
2010-01-15,86.0,82,89,4.41,-3.5,-0.79,false
2010-01-19,87.08,83,90,4.45,-2.89,-0.65,false
2010-01-22,82.65,79,85,4.0,1.45,0.36,true
2010-01-25,83.07,79,86,4.47,1.8,0.4,true
2010-01-26,82.73,79,85,4.0,2.26,0.57,true
2010-01-29,81.27,77,84,4.51,3.74,0.83,true
2010-02-01,82.54,78,85,4.62,3.8,0.82,true
2010-02-02,83.54,79,86,4.62,2.35,0.51,true
2010-02-05,80.72,77,83,4.0,5.44,1.36,true
2010-02-08,80.14,76,83,4.48,6.0,1.34,true
2010-02-09,81.14,77,84,4.48,4.95,1.1,true
2010-02-12,81.76,78,84,4.0,4.99,1.25,true
2010-02-19,84.11,80,87,4.46,3.62,0.81,true
2010-02-22,84.13,80,87,4.46,3.63,0.81,true
2010-02-23,83.1,79,86,4.46,5.22,1.17,true
2010-02-26,83.81,80,86,4.02,4.81,1.2,true
2010-03-01,84.68,80,87,4.69,5.31,1.13,true
2010-03-02,84.91,81,87,4.05,3.49,0.86,true
2010-03-05,86.46,82,89,4.61,2.27,0.49,true
2010-03-08,86.48,82,89,4.62,3.18,0.69,true
2010-03-09,86.62,82,89,4.68,3.72,0.79,true
2010-03-12,87.38,83,90,4.58,2.47,0.54,true
2010-03-15,87.4,83,90,4.59,2.09,0.46,true
2010-03-16,88.1,84,91,4.46,-0.29,-0.07,false
2010-03-19,88.13,84,91,4.47,0.84,0.19,true
2010-03-22,88.6,84,91,4.68,-4.45,-0.95,false
2010-03-23,89.22,85,92,4.52,-5.66,-1.25,false
2010-03-26,88.59,84,91,4.67,-2.39,-0.51,false
