date,action,asset,price,shares,pnl,reason
2020-09-16,BUY,QQQ,270.47335910313967,369.7221801496057,,GLB/RT-kicker proxy entry
2020-09-18,SELL,QQQ,262.65525804629056,369.7221801496057,-2890.5253673681873,Confirmed-Down proxy exit
2020-09-29,BUY,QQQ,267.322941207844,363.26652023901323,,GLB/RT-kicker proxy entry
2020-10-29,SELL,QQQ,263.82462976777094,363.26652023901323,-1270.8194235476694,Confirmed-Down proxy exit
2020-11-05,BUY,QQQ,283.66458590369433,337.8590771342246,,GLB/RT-kicker proxy entry
2021-02-26,SELL,QQQ,305.78771702281585,337.8590771342246,7474.500663225845,Confirmed-Down proxy exit
2021-03-12,BUY,QQQ,303.86106196290876,340.0012992942184,,GLB/RT-kicker proxy entry
2021-03-15,SELL,QQQ,305.7295988118373,340.0012992942184,635.3049564148387,Confirmed-Down proxy exit
2021-03-16,BUY,QQQ,310.8607663565972,334.38912876346257,,GLB/RT-kicker proxy entry
2021-03-19,SELL,QQQ,301.93444221012976,334.38912876346257,-2984.8657543974987,Confirmed-Down proxy exit
2021-03-23,BUY,QQQ,309.93500711765904,325.75731284204056,,GLB/RT-kicker proxy entry
2021-03-25,SELL,QQQ,300.4739755782604,325.75731284204056,-3082.0002109882917,Confirmed-Down proxy exit
2021-04-01,BUY,QQQ,313.17272268188594,312.54827695439184,,GLB/RT-kicker proxy entry
2021-05-11,SELL,QQQ,309.90599292569743,312.54827695439184,-1021.0107565723592,Confirmed-Down proxy exit
2021-05-21,BUY,QQQ,320.30721556639253,302.39900757618005,,GLB/RT-kicker proxy entry
2021-05-24,SELL,QQQ,319.2797272359701,302.39900757618005,-310.7114514158602,Confirmed-Down proxy exit
2021-05-25,BUY,QQQ,323.8357164110421,298.1446077825487,,GLB/RT-kicker proxy entry
2021-09-21,SELL,QQQ,357.12791752385976,298.1446077825487,9925.890242998765,Confirmed-Down proxy exit
2021-09-24,BUY,QQQ,360.11062893099836,295.6751463138614,,GLB/RT-kicker proxy entry
2021-09-29,SELL,QQQ,350.90020673587804,295.6751463138614,-2723.292930154639,Confirmed-Down proxy exit
2021-10-15,BUY,QQQ,357.4194230091557,290.2821259535669,,GLB/RT-kicker proxy entry
2021-12-06,SELL,QQQ,372.7216973458385,290.2821259535669,4441.97672637699,Confirmed-Down proxy exit
2021-12-08,BUY,QQQ,386.8481656391627,279.68194321358527,,GLB/RT-kicker proxy entry
2021-12-17,SELL,QQQ,372.4301505475138,279.68194321358527,-4032.4584781151643,Confirmed-Down proxy exit
2021-12-23,BUY,QQQ,383.58727222666715,271.5470396392766,,GLB/RT-kicker proxy entry
2022-01-06,SELL,QQQ,372.020529806364,271.5470396392766,-3140.9146625033754,Confirmed-Down proxy exit
2022-07-20,BUY,QQQ,291.52497556868116,346.52630827561313,,GLB/RT-kicker proxy entry
2022-07-27,SELL,QQQ,291.82753909562643,346.52630827561313,104.84622201119782,Confirmed-Down proxy exit
2022-08-26,BUY,QQQ,312.55518091065204,323.5458119149615,,GLB/RT-kicker proxy entry
2022-08-29,SELL,QQQ,297.2729198727488,323.5458119149615,-4944.511555404781,Confirmed-Down proxy exit
2022-09-13,BUY,QQQ,294.5209158923819,326.5690245772037,,GLB/RT-kicker proxy entry
2022-09-14,SELL,QQQ,287.7580500540228,326.5690245772037,-2208.542500179421,Confirmed-Down proxy exit
2022-11-11,BUY,QQQ,276.24055218615365,340.1849039783765,,GLB/RT-kicker proxy entry
2022-11-30,SELL,QQQ,274.5589724039487,340.1849039783765,-572.0480567413615,Confirmed-Down proxy exit
2022-12-09,BUY,QQQ,276.4849459273226,337.81520129559084,,GLB/RT-kicker proxy entry
2022-12-12,SELL,QQQ,275.90812369116725,337.81520129559084,-194.85931981858448,Confirmed-Down proxy exit
2022-12-13,BUY,QQQ,290.0153218239279,321.3828764550826,,GLB/RT-kicker proxy entry
2022-12-16,SELL,QQQ,270.0227941935211,321.3828764550826,-6425.256037467843,Confirmed-Down proxy exit
2023-02-24,BUY,QQQ,285.91766516763073,303.51640656926156,,GLB/RT-kicker proxy entry
2023-03-13,SELL,QQQ,280.9883548940412,303.51640656926156,-1496.126541104837,Confirmed-Down proxy exit
2023-03-15,BUY,QQQ,288.8084733222772,295.2980388150867,,GLB/RT-kicker proxy entry
2023-08-17,SELL,QQQ,357.7140701632501,295.2980388150867,20347.68761052232,Confirmed-Down proxy exit
2023-08-24,BUY,QQQ,366.24505871732504,288.41962740936003,,GLB/RT-kicker proxy entry
2023-08-25,SELL,QQQ,355.85649237018794,288.41962740936003,-2996.2664351586864,Confirmed-Down proxy exit
2023-08-30,BUY,QQQ,368.44663740934226,278.5640755531807,,GLB/RT-kicker proxy entry
2023-09-21,SELL,QQQ,355.12154499734396,278.5640755531807,-3711.8920494090125,Confirmed-Down proxy exit
2023-10-09,BUY,QQQ,356.5980204354887,277.4106955792776,,GLB/RT-kicker proxy entry
2023-10-16,SELL,QQQ,360.8500317257421,277.4106955792776,1179.5534096401389,Confirmed-Down proxy exit
2023-11-03,BUY,QQQ,359.0094151473788,278.8329611348729,,GLB/RT-kicker proxy entry
