date,equity
2016-01-04,100000.0
2016-01-05,100000.0
2016-01-06,100000.0
2016-01-07,100000.0
2016-01-08,100000.0
2016-01-11,100000.0
2016-01-12,100000.0
2016-01-13,100000.0
2016-01-14,100000.0
2016-01-15,100000.0
2016-01-19,100000.0
2016-01-20,100000.0
2016-01-21,100000.0
2016-01-22,100000.0
2016-01-25,100000.0
2016-01-26,100000.0
2016-01-27,98078.98472737358
2016-01-28,99463.6685138885
2016-01-29,101540.6982025194
2016-02-01,101813.72552099211
2016-02-02,96048.03474234787
2016-02-03,97859.2329731317
2016-02-04,97859.2329731317
2016-02-05,97859.2329731317
2016-02-08,97859.2329731317
2016-02-09,97859.2329731317
2016-02-10,97859.2329731317
2016-02-11,97859.2329731317
2016-02-12,97859.2329731317
2016-02-16,97859.2329731317
2016-02-17,97859.2329731317
2016-02-18,97859.2329731317
2016-02-19,97859.2329731317
2016-02-22,97859.2329731317
2016-02-23,96810.87879871434
2016-02-24,97735.3713750788
2016-02-25,99977.46781057754
2016-02-26,99748.02138920712
2016-02-29,97109.52559785247
2016-03-01,106401.73981918074
2016-03-02,106516.44922442545
2016-03-03,105919.9299451839
2016-03-04,106103.44566595869
2016-03-07,104130.30998297696
2016-03-08,101377.04956461555
2016-03-09,103315.7889925525
2016-03-10,102925.75078438355
2016-03-11,108260.18680507856
2016-03-14,108891.12304752566
2016-03-15,108822.30292655506
2016-03-16,111598.51488977377
2016-03-17,111277.26228897415
2016-03-18,111919.71917153159
2016-03-21,113250.45319371794
2016-03-22,114259.9829341465
2016-03-23,111541.1325762704
2016-03-24,111506.71561306482
2016-03-28,111105.17747294634
2016-03-29,116416.69646238534
2016-03-30,118160.37882127639
2016-03-31,117472.05336260566
2016-04-01,121384.01820888768
2016-04-04,119881.18556523298
2016-04-05,116657.58759394324
2016-04-06,122244.34565094314
2016-04-07,116967.31265191227
2016-04-08,116692.04597347036
2016-04-11,115441.53536612054
2016-04-12,118137.48940090141
2016-04-13,122749.21061060115
2016-04-14,122829.47544175925
2016-04-15,121888.78653046208
2016-04-18,123689.81668925523
2016-04-19,121556.07541403447
2016-04-20,121854.32815093498
2016-04-21,121888.78653046208
2016-04-22,116370.79337267074
