date,action,asset,price,shares,pnl,reason
2016-01-27,BUY,QQQ,95.1566947314919,1050.8982082887042,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2016-02-02,SELL,QQQ,96.43720043135552,1050.8982082887042,1345.6811456901487,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-02-02,BUY,TQQQ,1.7737528171198218,57136.30454453788,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-02-03,SELL,TQQQ,1.712732976926259,57136.30454453788,-3486.4481725584483,TQQQ 5% loss exit
2016-02-23,BUY,QQQ,95.27730901918379,1027.099043628825,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2016-02-25,SELL,QQQ,95.3515596370458,1027.099043628825,76.2627385949163,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-02-25,BUY,TQQQ,1.6913362311543414,57904.21437663248,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-04-28,SELL,TQQQ,1.9393800733900646,57904.21437663248,14362.783815620918,TQQQ Confirmed-Down proxy exit
2016-05-17,BUY,QQQ,99.32910897983224,1130.5676722636115,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2016-05-31,SELL,QQQ,102.6329445404949,1130.5676722636115,3735.2096793601377,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-05-31,BUY,TQQQ,2.069346207158123,56072.535762905965,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-06-14,SELL,TQQQ,1.9253132268872521,56072.535762905965,-8076.294437276345,TQQQ 5% loss exit
2016-07-05,BUY,QQQ,100.32151956678429,1076.112036935046,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2016-07-12,SELL,QQQ,104.14736407341591,1076.112036935046,4117.037325028126,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-07-12,BUY,TQQQ,2.1279884869064905,52666.74739269127,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-09-01,SELL,TQQQ,2.409514618354369,52666.74739269127,14827.065649407028,TQQQ Confirmed-Down proxy exit
2016-09-16,BUY,TQQQ,2.4612239408481553,51560.24026815512,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-10-12,SELL,TQQQ,2.474497326474751,51560.24026815512,684.3789520791615,TQQQ Confirmed-Down proxy exit
2016-10-28,BUY,QQQ,109.9182356604681,1160.732574802705,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2016-11-18,SELL,QQQ,110.29244723430051,1160.732574802705,434.3595636154787,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-11-18,BUY,TQQQ,2.4717245377589854,51793.812095109846,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2016-12-02,SELL,TQQQ,2.3241256244382353,51793.812095109846,-7644.710381977333,TQQQ 5% loss exit
2017-06-30,BUY,QQQ,130.08116822272046,925.3862609188851,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2017-07-17,SELL,QQQ,134.1255776645461,925.3862609188851,3742.6409309960727,"TQQQ entry: Confirmed Up, RT <= 1.40"
2017-07-17,BUY,TQQQ,4.277374949014901,29017.32213987104,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2017-08-04,SELL,TQQQ,4.396244694290627,29017.32213987104,3449.2816913501447,TQQQ Confirmed-Down proxy exit
2017-08-17,BUY,TQQQ,4.379998452114539,29124.95287260756,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2017-08-21,SELL,TQQQ,4.153748843007985,29124.95287260756,-6589.509202674264,TQQQ 5% loss exit
2017-09-01,BUY,TQQQ,4.610213707167516,26241.243244140984,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2017-09-19,SELL,TQQQ,4.571380986243114,26241.243244140984,-1019.0188756090938,TQQQ Confirmed-Down proxy exit
2017-10-09,BUY,TQQQ,4.750875578670509,25249.813099760457,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-01-29,SELL,TQQQ,7.168316159675483,25249.813099760457,61039.92285015194,TQQQ 50% profit exit
2018-02-21,BUY,TQQQ,6.473315846572645,27960.7310320923,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-03-23,SELL,TQQQ,6.030721442638419,27960.7310320923,-12375.263084714097,TQQQ 5% loss exit
2018-04-12,BUY,QQQ,152.91811911750943,1102.7037290296932,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2018-04-13,SELL,QQQ,154.59662744431162,1102.7037290296932,1850.897391172155,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-04-13,BUY,TQQQ,5.943946229727782,28680.319604113232,,"TQQQ entry: Confirmed Up, RT <= 1.40"
