date,action,asset,price,shares,pnl,reason
2018-01-03,BUY,TQQQ,5.802092499655328,17235.161281199926,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-02-09,SELL,TQQQ,5.357119341069347,17235.161281199926,-7669.18415403433,TQQQ 5% loss exit
2018-02-21,BUY,TQQQ,6.473317310783197,14263.292128776351,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-03-23,SELL,TQQQ,6.030720925798751,14263.292128776351,-6312.881534173517,TQQQ 5% loss exit
2018-04-12,BUY,QQQ,152.91808878054334,562.5098704656104,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2018-04-13,SELL,QQQ,154.59662744431162,562.5098704656104,944.1945663278166,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-04-13,BUY,TQQQ,5.943945737941308,14630.370584143218,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-04-25,SELL,TQQQ,5.455386567045987,14630.370584143218,-7147.801722480304,TQQQ 5% loss exit
2018-05-10,BUY,TQQQ,6.478469212342187,12319.936166955105,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-07-05,SELL,TQQQ,6.833892979819826,12319.936166955105,4378.798127543196,TQQQ Confirmed-Down proxy exit
2018-07-11,BUY,TQQQ,7.31056511840972,11516.637075178332,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-07-30,SELL,TQQQ,7.4829280270661584,11516.637075178332,1985.0410642183124,TQQQ Confirmed-Down proxy exit
2018-09-21,BUY,TQQQ,8.351875024040863,10318.421444207128,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-10-08,SELL,TQQQ,7.5887234827016306,10318.421444207128,-7874.519229334459,TQQQ 5% loss exit
2018-10-25,BUY,QQQ,159.86191966261035,489.8205106214606,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2018-11-08,SELL,QQQ,166.3835704991917,489.8205106214606,3194.438342869151,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-11-08,BUY,TQQQ,6.750683770982804,12072.567494754816,,"TQQQ entry: Confirmed Up, RT <= 1.40"
