date,equity
2016-02-08,100000.0
2016-02-09,100000.0
2016-02-10,100000.0
2016-02-11,100000.0
2016-02-12,100000.0
2016-02-16,100000.0
2016-02-17,100000.0
2016-02-18,100000.0
2016-02-19,100000.0
2016-02-22,100000.0
2016-02-23,98928.71204630719
2016-02-24,99873.38053279913
2016-02-25,100857.01383174886
2016-02-26,100730.39020260892
2016-02-29,99824.69453614
2016-03-01,103028.8096610081
2016-03-02,103230.97624634719
2016-03-03,102872.32064003304
2016-03-04,102961.99033497603
2016-03-07,101721.64259315513
2016-03-08,99943.3462020497
2016-03-09,101258.40517180604
2016-03-10,101004.3777274424
2016-03-11,104456.37710788944
2016-03-14,104770.15731318096
2016-03-15,104725.3630192606
2016-03-16,106578.35905157258
2016-03-17,106458.830356259
2016-03-18,106862.2802564935
2016-03-21,107639.36740350751
2016-03-22,108237.11516063554
2016-03-23,106354.19060757957
2016-03-24,106413.97812869416
2016-03-28,106144.96904386519
2016-03-29,109402.72850106319
2016-03-30,110628.07142896095
2016-03-31,110284.40904984104
2016-04-01,112555.81344939506
2016-04-04,111659.19760706747
2016-04-05,109641.78589169036
2016-04-06,113168.53126025954
2016-04-07,109761.37252064845
2016-04-08,109761.37252064845
2016-04-11,108909.56255897011
2016-04-12,110777.51705828962
2016-04-13,113586.95121423049
2016-04-14,113572.01592068074
2016-04-15,112974.25657682381
2016-04-18,114169.75209107986
2016-04-19,112765.03501310945
2016-04-20,112899.55693561726
2016-04-21,112959.30969654517
2016-04-22,109596.94525085443
2016-04-25,109582.06789094917
2016-04-26,108580.81229994215
2016-04-27,106712.83462716482
2016-04-28,106981.85327645125
2016-04-29,106981.85327645125
2016-05-02,106981.85327645125
2016-05-03,106981.85327645125
2016-05-04,106981.85327645125
2016-05-05,106981.85327645125
2016-05-06,106981.85327645125
2016-05-09,106981.85327645125
2016-05-10,106981.85327645125
2016-05-11,105395.48891987487
2016-05-12,105939.36808286641
2016-05-13,105939.36808286641
2016-05-16,105939.36808286641
2016-05-17,104698.62784171115
2016-05-18,105075.80790199713
2016-05-19,104529.88018589145
2016-05-20,105681.29935812597
2016-05-23,105542.30102382603
2016-05-24,107656.56154383649
2016-05-25,108833.79080003074
2016-05-26,109441.1192992096
2016-05-27,110566.96899088104
2016-05-31,111011.36158050846
2016-06-01,110952.1184237718
2016-06-02,111485.37574850422
2016-06-03,110389.18209225233
2016-06-06,111144.67591169156
2016-06-07,110700.24886501292
2016-06-08,110996.52207711495
2016-06-09,110611.37264422418
2016-06-10,108137.52865164443
2016-06-13,106256.2770260037
2016-06-14,105871.11456756646
2016-06-15,105871.11456756646
2016-06-16,105871.11456756646
2016-06-17,105871.11456756646
2016-06-20,105871.11456756646
2016-06-21,105871.11456756646
2016-06-22,105871.11456756646
2016-06-23,105871.11456756646
2016-06-24,104808.65311618536
2016-06-27,103433.71113936852
2016-06-28,103433.71113936852
2016-06-29,103433.71113936852
2016-06-30,103433.71113936852
2016-07-01,104495.09653435949
2016-07-05,103186.54781488377
2016-07-06,104858.60357186977
2016-07-07,105527.42362126532
2016-07-08,108784.24973029691
2016-07-11,110063.69580346296
2016-07-12,111110.56858002648
2016-07-13,110630.7523602263
2016-07-14,112026.51888267654
2016-07-15,111706.6601811336
2016-07-18,113189.70084152994
2016-07-19,112346.37758421946
2016-07-20,114992.58893647489
2016-07-21,114483.7264053366
2016-07-22,115385.1535523176
2016-07-25,115443.3137769597
2016-07-26,115734.08109918727
2016-07-27,117217.13302657791
2016-07-28,118118.56017355892
2016-07-29,118569.28501404374
2016-08-01,119805.17288719691
2016-08-02,117987.73910259428
2016-08-03,118816.48286926413
2016-08-04,119470.72342801905
2016-08-05,121738.91585408944
2016-08-08,121506.27495552103
2016-08-09,122058.76328863806
2016-08-10,121433.55777422694
2016-08-11,122451.31663748645
2016-08-12,122611.28542273802
2016-08-15,123658.10186432996
2016-08-16,122305.96114385845
2016-08-17,122669.4231133915
2016-08-18,122785.74356267569
2016-08-19,122683.93500206624
2016-08-22,122829.36936465443
2016-08-23,123251.0140928182
2016-08-24,121637.16362845154
2016-08-25,121230.0195219682
2016-08-26,121608.02718115893
2016-08-29,121956.98852901153
2016-08-30,121157.34740865136
2016-08-31,120837.44363913118
2016-09-01,121462.66042053662
2016-09-02,122233.24396256436
2016-09-06,123774.43358060849
2016-09-07,123977.99436685584
2016-09-08,122480.41928379613
2016-09-09,116272.04627663523
2016-09-12,115036.21924912391
