date,action,asset,price,shares,pnl,reason
2016-02-23,BUY,QQQ,95.27733215522096,1049.5675911357919,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2016-03-02,SELL,QQQ,98.04248361811275,1049.5675911357919,2902.2133600329544,"QLD entry: Confirmed Up, RT <= 1.40"
2016-03-02,BUY,QLD,4.234810309502618,24299.131682268646,,"QLD entry: Confirmed Up, RT <= 1.40"
2016-04-28,SELL,QLD,4.402702725156106,24299.131682268646,4079.639916418295,QLD Confirmed-Down proxy exit
2016-05-11,BUY,QLD,4.354733210194942,24566.798495483985,,"QLD entry: Confirmed Up, RT <= 1.40"
2016-05-12,SELL,QLD,4.3122984910850635,24566.798495483985,-1042.485193584842,QLD Confirmed-Down proxy exit
2016-05-17,BUY,QQQ,99.32911669963958,1066.5489798244707,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2016-05-25,SELL,QQQ,101.32070027837891,1066.5489798244707,2124.121434139597,"QLD entry: Confirmed Up, RT <= 1.40"
2016-05-25,BUY,QLD,4.4863404224123675,24087.224629043812,,"QLD entry: Confirmed Up, RT <= 1.40"
2016-06-14,SELL,QLD,4.395322258916851,24087.224629043812,-2192.374949439545,QLD Confirmed-Down proxy exit
2016-06-24,BUY,QLD,4.169496258746906,25391.82385533182,,"QLD entry: Confirmed Up, RT <= 1.40"
2016-06-27,SELL,QLD,4.073504594576389,25391.82385533182,-2437.4034281979402,QLD Confirmed-Down proxy exit
2016-07-01,BUY,QLD,4.3774795223383585,23628.599656844628,,"QLD entry: Confirmed Up, RT <= 1.40"
2016-09-12,SELL,QLD,4.86851615922151,23628.599656844628,11602.508109755392,QLD Confirmed-Down proxy exit
2016-09-13,BUY,QLD,5.045731099083788,22798.721729347086,,"QLD entry: Confirmed Up, RT <= 1.40"
2016-11-01,SELL,QLD,5.181104077313319,22798.721729347086,3086.330860328031,QLD Confirmed-Down proxy exit
2016-11-09,BUY,QLD,5.04203892719159,23427.53632313705,,"QLD entry: Confirmed Up, RT <= 1.40"
2016-11-11,SELL,QLD,5.0020432925030205,23427.53632313705,-936.9991844333854,QLD Confirmed-Down proxy exit
2016-11-17,BUY,QLD,5.14172372700807,22791.10219584045,,"QLD entry: Confirmed Up, RT <= 1.40"
2016-12-02,SELL,QLD,5.021733719208974,22791.10219584045,-2734.7045302288752,QLD Confirmed-Down proxy exit
2016-12-08,BUY,QLD,5.270327441044123,21716.078872722836,,"QLD entry: Confirmed Up, RT <= 1.40"
2017-04-26,SELL,QLD,6.876619767870059,21716.078872722836,34882.37086200151,QLD 30% profit exit
2017-06-30,BUY,QQQ,130.08118351920157,1148.0001428088774,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2017-07-11,SELL,QQQ,130.53362277876877,1148.0001428088774,519.4003345954989,"QLD entry: Confirmed Up, RT <= 1.40"
2017-07-11,BUY,QLD,7.1911296685806025,20838.536432755613,,"QLD entry: Confirmed Up, RT <= 1.40"
2017-08-11,SELL,QLD,7.4633522991269885,20838.536432755613,5672.721204461413,QLD Confirmed-Down proxy exit
